**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

side,anchor,sigma_rank_q,sub_motif_shape,measure_shape,n_total,n_is,n_oos,P_is,ci_is_lo,ci_is_hi,mean_is,sign_match,P_oos,ci_oos_lo,ci_oos_hi,mean_oos
above,low,1,STEEP_LINEAR_UP,STEEP_LINEAR_UP,60,48,12,0.66,0.5246,0.7833,18.12,1,0.6429,0.3857,0.8614,12.06
above,low,2,GENTLE_CONVEX_DOWN,NOISE,10,8,2,0.6,0.2993,0.863,4.44,-1,,,,
above,low,2,NOISE,NOISE,15,14,1,0.75,0.5191,0.9221,9.43,-1,,,,
above,low,2,NOISE,STEEP_LINEAR_UP,11,11,0,0.4615,0.2109,0.7233,11.23,-1,,,,
above,low,2,STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,26,18,8,0.35,0.1629,0.5655,-60.85,1,0.4,0.137,0.7007,-30.25
above,low,2,STEEP_CONCAVE_UP,STEEP_LINEAR_UP,16,14,2,0.5,0.2659,0.7341,-14.73,-1,,,,
above,low,2,STEEP_CONVEX_DOWN,STEEP_CONCAVE_UP,10,7,3,0.7778,0.4735,0.9681,18.89,-1,,,,
above,low,2,STEEP_CONVEX_DOWN,STEEP_LINEAR_UP,11,6,5,0.375,0.099,0.7096,-49.38,0,0.7143,0.3588,0.9567,43.5
above,low,2,STEEP_LINEAR_DOWN,STEEP_CONVEX_DOWN,17,14,3,0.625,0.3838,0.8366,38.79,-1,,,,
above,low,2,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,12,9,3,0.7273,0.4439,0.9333,5.72,-1,,,,
above,low,2,STEEP_LINEAR_UP,FLATLINE,11,6,5,0.75,0.4213,0.9633,42.79,1,0.5714,0.2228,0.8819,29.05
above,low,2,STEEP_LINEAR_UP,NOISE,12,8,4,0.7,0.3999,0.9251,34.66,-1,,,,
above,low,2,STEEP_LINEAR_UP,STEEP_CONCAVE_UP,29,24,5,0.4231,0.244,0.6133,-17.73,0,0.7143,0.3588,0.9567,19.85
above,low,2,STEEP_LINEAR_UP,STEEP_LINEAR_UP,58,46,12,0.625,0.4852,0.7549,19.41,0,0.5,0.2513,0.7487,3.54
above,low,3,GENTLE_CONCAVE_UP,STEEP_CONCAVE_UP,12,10,2,0.3333,0.1093,0.6097,-10.1,-1,,,,
above,low,3,STEEP_CONCAVE_UP,NOISE,15,10,5,0.6667,0.3903,0.8907,-3.2,1,0.7143,0.3588,0.9567,21.2
above,low,3,STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,13,10,3,0.4167,0.1675,0.6921,-4.28,-1,,,,
above,low,3,STEEP_CONCAVE_UP,STEEP_CONVEX_DOWN,13,11,2,0.4615,0.2109,0.7233,-60.32,-1,,,,
above,low,3,STEEP_CONCAVE_UP,STEEP_LINEAR_UP,20,17,3,0.5263,0.3076,0.7398,0.25,-1,,,,
above,low,3,STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,13,11,2,0.7692,0.5159,0.9451,58.98,-1,,,,
above,low,3,STEEP_LINEAR_UP,FLATLINE,12,10,2,0.5,0.2338,0.7662,-3.0,-1,,,,
above,low,3,STEEP_LINEAR_UP,NOISE,10,6,4,0.625,0.2904,0.901,13.08,-1,,,,
above,low,3,STEEP_LINEAR_UP,STEEP_CONCAVE_UP,27,20,7,0.5,0.2978,0.7022,10.19,0,0.7778,0.4735,0.9681,29.18
above,low,3,STEEP_LINEAR_UP,STEEP_LINEAR_UP,47,40,7,0.5238,0.3742,0.6712,-3.97,1,0.6667,0.3491,0.9148,14.57
above,low,4,GENTLE_CONCAVE_UP,NOISE,11,10,1,0.25,0.0602,0.5178,-12.0,-1,,,,
