side,anchor,sigma_rank_q,measure_shape,n_total,n_is,n_oos,P_is,ci_is_lo,ci_is_hi,mean_is,sign_match,P_oos,ci_oos_lo,ci_oos_hi,mean_oos
below,high,2,STEEP_CONCAVE_UP,82,64,18,0.4242,0.3085,0.5444,-8.27,0,0.5,0.2886,0.7114,-9.68
below,high,2,STEEP_CONVEX_DOWN,106,80,26,0.5488,0.4409,0.6544,12.3,1,0.5357,0.3533,0.7133,7.29
below,high,2,STEEP_LINEAR_DOWN,154,128,26,0.3385,0.2599,0.4217,-23.27,0,0.5357,0.3533,0.7133,3.91
below,high,2,STEEP_LINEAR_UP,38,31,7,0.4848,0.3189,0.6526,-1.02,0,0.5556,0.2449,0.843,-13.43
below,high,3,FLATLINE,26,21,5,0.4348,0.2439,0.6365,-26.04,0,0.5714,0.2228,0.8819,-18.15
below,high,3,NOISE,58,53,5,0.4909,0.3608,0.6216,0.29,0,0.5714,0.2228,0.8819,17.3
below,high,3,STEEP_CONCAVE_DOWN,22,18,4,0.45,0.2445,0.665,-19.29,-1,,,,
below,high,3,STEEP_CONCAVE_UP,81,63,18,0.4154,0.2994,0.5363,-6.81,0,0.55,0.335,0.7555,-12.53
below,high,3,STEEP_CONVEX_DOWN,74,61,13,0.4762,0.355,0.5988,20.08,1,0.4667,0.2304,0.7114,-19.9
below,high,3,STEEP_LINEAR_DOWN,112,94,18,0.4896,0.3905,0.589,-10.26,1,0.3,0.1258,0.512,-41.18
below,high,3,STEEP_LINEAR_UP,54,46,8,0.5417,0.4012,0.6789,-9.1,1,0.6,0.2993,0.863,22.22
below,high,4,FLATLINE,31,26,5,0.5357,0.3533,0.7133,-0.69,1,0.7143,0.3588,0.9567,-4.45
below,high,4,NOISE,59,52,7,0.6296,0.498,0.7521,17.48,0,0.4444,0.157,0.7551,-3.43
below,high,4,STEEP_CONCAVE_DOWN,20,14,6,0.4375,0.2127,0.6771,5.16,1,0.375,0.099,0.7096,-38.62
below,high,4,STEEP_CONCAVE_UP,55,45,10,0.5532,0.4111,0.691,10.61,0,0.5,0.2338,0.7662,-0.2
below,high,4,STEEP_CONVEX_DOWN,68,56,12,0.6034,0.4757,0.7244,15.02,1,0.6429,0.3857,0.8614,16.6
below,high,4,STEEP_LINEAR_DOWN,118,88,30,0.4778,0.3759,0.5806,-12.86,1,0.3125,0.1668,0.4804,-66.07
below,high,4,STEEP_LINEAR_UP,25,21,4,0.4348,0.2439,0.6365,-2.26,-1,,,,
below,low,1,STEEP_CONVEX_DOWN,11,10,1,0.75,0.4822,0.9398,26.23,-1,,,,
below,low,1,STEEP_LINEAR_DOWN,27,25,2,0.4444,0.2659,0.6308,-23.3,-1,,,,
below,low,2,STEEP_CONVEX_DOWN,21,18,3,0.5,0.2886,0.7114,3.29,-1,,,,
below,low,2,STEEP_LINEAR_DOWN,44,40,4,0.3571,0.2212,0.5059,-24.73,-1,,,,
below,low,3,FLATLINE,19,13,6,0.4,0.1766,0.6486,-13.31,0,0.5,0.1841,0.8159,-26.38
