side,anchor,sigma_rank_q,measure_shape,n_total,n_is,n_oos,P_is,ci_is_lo,ci_is_hi,mean_is,sign_match,P_oos,ci_oos_lo,ci_oos_hi,mean_oos,edge
above,low,0,STEEP_CONVEX_DOWN,61,52,9,0.6852,0.5566,0.8008,8.24,1,0.6364,0.3475,0.8784,2.53,0.18520000000000003
below,high,1,STEEP_CONCAVE_DOWN,27,21,6,0.3478,0.172,0.5487,-8.89,1,0.375,0.099,0.7096,-51.08,0.1522
above,low,4,FLATLINE,38,29,9,0.6452,0.4719,0.8007,18.8,1,0.5455,0.2624,0.8129,22.89,0.1452
below,high,1,STEEP_CONCAVE_UP,82,71,11,0.3699,0.2636,0.4829,-22.03,1,0.3846,0.1517,0.6511,-30.57,0.1301
below,low,3,STEEP_LINEAR_DOWN,83,62,21,0.375,0.2615,0.496,-28.21,1,0.3043,0.1386,0.5022,-49.89,0.125
above,low,2,NOISE,73,59,14,0.623,0.499,0.7393,5.87,1,0.75,0.5191,0.9221,18.45,0.123
below,high,1,FLATLINE,49,43,6,0.3778,0.2436,0.5223,-39.28,1,0.375,0.099,0.7096,-43.62,0.12219999999999998
above,low,1,STEEP_LINEAR_UP,146,122,24,0.6129,0.5259,0.6964,7.65,1,0.6538,0.465,0.8203,5.46,0.1129
below,high,0,STEEP_LINEAR_DOWN,182,153,29,0.3871,0.3122,0.4648,-16.44,1,0.4194,0.2546,0.594,-19.66,0.1129
above,low,0,STEEP_LINEAR_UP,154,121,33,0.6098,0.5224,0.6938,8.76,1,0.6,0.4356,0.7535,6.31,0.10980000000000001
above,low,3,STEEP_LINEAR_DOWN,37,26,11,0.6071,0.4237,0.7761,-5.11,1,0.5385,0.2767,0.7891,-10.14,0.10709999999999997
below,low,4,STEEP_LINEAR_DOWN,97,74,23,0.3947,0.2885,0.5062,-29.82,1,0.28,0.1262,0.4671,-66.96,0.1053
above,low,1,FLATLINE,52,41,11,0.6047,0.4564,0.7437,17.93,1,0.5385,0.2767,0.7891,-7.25,0.10470000000000002
below,high,4,STEEP_CONVEX_DOWN,68,56,12,0.6034,0.4757,0.7244,15.02,1,0.6429,0.3857,0.8614,16.6,0.10340000000000005
above,high,3,STEEP_CONCAVE_UP,59,45,14,0.4043,0.27,0.5463,-14.56,1,0.4375,0.2127,0.6771,4.23,0.09570000000000001
above,low,3,STEEP_CONVEX_DOWN,66,52,14,0.5926,0.46,0.7186,0.11,1,0.6875,0.449,0.8818,15.07,0.09260000000000002
above,low,1,NOISE,71,61,10,0.5873,0.4645,0.7049,5.03,1,0.5833,0.3079,0.8325,12.88,0.08730000000000004
below,high,0,NOISE,85,68,17,0.4143,0.3024,0.5308,-11.86,1,0.3158,0.1334,0.5348,-14.01,0.0857
below,low,4,NOISE,18,12,6,0.5714,0.3158,0.8078,-4.48,1,0.75,0.4213,0.9633,71.38,0.07140000000000002
above,low,1,STEEP_CONVEX_DOWN,55,40,15,0.5714,0.4211,0.7153,9.43,1,0.5294,0.2988,0.7535,7.97,0.07140000000000002
