**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

side,anchor,sigma_rank_q,slope_q,motif_shape,measure_shape,n_total,n_is,n_oos,P_is,ci_is_lo,ci_is_hi,mean_is,sign_match,P_oos,ci_oos_lo,ci_oos_hi,mean_oos
above,low,4,3,GENTLE_LINEAR_UP,STEEP_LINEAR_UP,16,15,1,0.3529,0.152,0.5866,-44.43,-1,,,,
above,low,4,3,STEEP_LINEAR_UP,STEEP_LINEAR_UP,10,9,1,0.7273,0.4439,0.9333,29.67,-1,,,,
above,low,4,4,STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,15,9,6,0.0909,0.0025,0.3085,-38.78,0,0.625,0.2904,0.901,13.54
above,low,4,4,STEEP_CONCAVE_UP,STEEP_CONVEX_DOWN,13,9,4,0.3636,0.1216,0.6525,-23.06,-1,,,,
above,low,4,4,STEEP_CONCAVE_UP,STEEP_LINEAR_UP,12,9,3,0.6364,0.3475,0.8784,-18.78,-1,,,,
above,low,4,4,STEEP_LINEAR_UP,STEEP_CONCAVE_UP,10,6,4,0.5,0.1841,0.8159,-16.21,-1,,,,
above,low,4,4,STEEP_LINEAR_UP,STEEP_LINEAR_UP,17,11,6,0.8462,0.6152,0.9791,276.55,1,0.75,0.4213,0.9633,92.96
below,high,0,0,FLATLINE,STEEP_LINEAR_DOWN,14,11,3,0.5385,0.2767,0.7891,-2.3,-1,,,,
below,high,0,0,NOISE,STEEP_CONVEX_DOWN,12,9,3,0.5455,0.2624,0.8129,26.0,-1,,,,
below,high,0,0,STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,18,18,0,0.45,0.2445,0.665,13.17,-1,,,,
below,high,0,0,STEEP_CONVEX_DOWN,STEEP_LINEAR_DOWN,12,10,2,0.4167,0.1675,0.6921,8.6,-1,,,,
below,high,0,0,STEEP_LINEAR_DOWN,STEEP_CONVEX_DOWN,11,11,0,0.2308,0.0549,0.4841,-35.89,-1,,,,
below,high,0,1,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,10,9,1,0.2727,0.0667,0.5561,-34.14,-1,,,,
below,high,0,2,GENTLE_LINEAR_DOWN,STEEP_LINEAR_DOWN,16,12,4,0.2857,0.0909,0.5381,-7.04,-1,,,,
below,high,1,0,STEEP_CONCAVE_UP,STEEP_LINEAR_DOWN,10,10,0,0.4167,0.1675,0.6921,-19.9,-1,,,,
below,high,1,0,STEEP_CONVEX_DOWN,STEEP_LINEAR_DOWN,11,11,0,0.3846,0.1517,0.6511,-82.18,-1,,,,
below,high,1,0,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,12,11,1,0.2308,0.0549,0.4841,-40.8,-1,,,,
below,high,1,2,GENTLE_LINEAR_DOWN,NOISE,10,8,2,0.6,0.2993,0.863,1.28,-1,,,,
below,high,1,2,GENTLE_LINEAR_DOWN,STEEP_LINEAR_DOWN,17,17,0,0.4737,0.2602,0.6924,0.74,-1,,,,
below,high,2,0,STEEP_CONVEX_DOWN,STEEP_LINEAR_DOWN,10,8,2,0.3,0.0749,0.6001,-53.94,-1,,,,
below,high,2,0,STEEP_LINEAR_DOWN,NOISE,10,8,2,0.6,0.2993,0.863,6.0,-1,,,,
below,high,2,0,STEEP_LINEAR_DOWN,STEEP_CONVEX_DOWN,17,5,12,0.4286,0.1181,0.7772,24.95,1,0.4286,0.1922,0.6842,-1.04
below,high,2,0,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,16,12,4,0.2143,0.0504,0.4545,-68.62,-1,,,,
below,high,2,1,GENTLE_LINEAR_DOWN,STEEP_LINEAR_DOWN,10,6,4,0.125,0.0036,0.4096,-17.08,-1,,,,
below,high,2,2,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,14,12,2,0.2143,0.0504,0.4545,-27.02,-1,,,,
below,high,3,0,STEEP_CONVEX_DOWN,STEEP_CONCAVE_UP,11,11,0,0.3846,0.1517,0.6511,8.05,-1,,,,
below,high,3,0,STEEP_CONVEX_DOWN,STEEP_LINEAR_UP,12,10,2,0.5,0.2338,0.7662,-51.9,-1,,,,
below,high,3,0,STEEP_LINEAR_DOWN,STEEP_CONVEX_DOWN,13,7,6,0.6667,0.3491,0.9148,76.25,0,0.375,0.099,0.7096,-52.21
below,high,3,0,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,20,15,5,0.4118,0.1975,0.6457,-31.4,1,0.1429,0.0042,0.4593,-94.1
below,high,3,1,STEEP_CONVEX_DOWN,STEEP_LINEAR_DOWN,14,13,1,0.4667,0.2304,0.7114,4.21,-1,,,,
below,high,4,0,STEEP_CONVEX_DOWN,STEEP_CONCAVE_UP,14,8,6,0.5,0.212,0.788,6.97,0,0.375,0.099,0.7096,-0.71
below,high,4,0,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,13,6,7,0.25,0.0367,0.5787,-83.21,1,0.2222,0.0319,0.5265,-72.18
below,high,4,1,GENTLE_CONVEX_DOWN,NOISE,11,9,2,0.6364,0.3475,0.8784,17.72,-1,,,,
below,high,4,1,GENTLE_CONVEX_DOWN,STEEP_CONVEX_DOWN,10,9,1,0.6364,0.3475,0.8784,6.47,-1,,,,
below,high,4,1,GENTLE_CONVEX_DOWN,STEEP_LINEAR_DOWN,11,9,2,0.5455,0.2624,0.8129,-4.36,-1,,,,
below,high,4,1,GENTLE_LINEAR_DOWN,STEEP_LINEAR_DOWN,15,13,2,0.6,0.3514,0.8234,31.88,-1,,,,
below,high,4,1,STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,11,6,5,0.875,0.5904,0.9964,35.71,1,0.8571,0.5407,0.9958,44.9
below,high,4,1,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,13,5,8,0.2857,0.0433,0.6412,-76.15,1,0.1,0.0028,0.3363,-163.94
below,low,2,0,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,11,9,2,0.1818,0.0252,0.445,-68.39,-1,,,,
below,low,3,0,STEEP_CONVEX_DOWN,STEEP_LINEAR_DOWN,14,12,2,0.2143,0.0504,0.4545,-46.83,-1,,,,
below,low,3,0,STEEP_LINEAR_DOWN,STEEP_CONVEX_DOWN,12,8,4,0.5,0.212,0.788,24.06,-1,,,,
below,low,3,0,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,24,16,8,0.6111,0.3833,0.8156,24.36,0,0.3,0.0749,0.6001,-67.81
below,low,3,1,STEEP_CONVEX_DOWN,STEEP_LINEAR_DOWN,12,11,1,0.3846,0.1517,0.6511,-16.09,-1,,,,
below,low,3,1,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,14,11,3,0.1538,0.0209,0.3848,-75.36,-1,,,,
below,low,4,0,STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,11,10,1,0.5833,0.3079,0.8325,37.65,-1,,,,
below,low,4,0,STEEP_CONVEX_DOWN,STEEP_LINEAR_DOWN,15,10,5,0.4167,0.1675,0.6921,-4.85,1,0.2857,0.0433,0.6412,-13.6
below,low,4,0,STEEP_LINEAR_DOWN,STEEP_CONVEX_DOWN,18,11,7,0.3846,0.1517,0.6511,-24.07,1,0.4444,0.157,0.7551,-14.82
below,low,4,0,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,34,26,8,0.3571,0.194,0.5396,-46.88,1,0.3,0.0749,0.6001,-53.88
below,low,4,1,GENTLE_LINEAR_DOWN,STEEP_LINEAR_DOWN,10,9,1,0.1818,0.0252,0.445,-10.72,-1,,,,
