**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

side,anchor,sigma_rank_q,slope_q,motif_shape,measure_shape,n_total,n_is,n_oos,P_is,ci_is_lo,ci_is_hi,mean_is,sign_match,P_oos,ci_oos_lo,ci_oos_hi,mean_oos
above,high,3,4,STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,16,15,1,0.2353,0.0727,0.4565,-45.0,-1,,,,
above,high,3,4,STEEP_LINEAR_UP,STEEP_CONCAVE_UP,18,11,7,0.7692,0.5159,0.9451,30.09,1,0.5556,0.2449,0.843,29.64
above,high,3,4,STEEP_LINEAR_UP,STEEP_LINEAR_UP,16,12,4,0.5714,0.3158,0.8078,24.94,-1,,,,
above,high,4,3,GENTLE_LINEAR_UP,STEEP_LINEAR_UP,11,8,3,0.2,0.0281,0.4825,-19.19,-1,,,,
above,high,4,4,STEEP_LINEAR_UP,STEEP_CONCAVE_UP,16,9,7,0.6364,0.3475,0.8784,45.78,0,0.4444,0.157,0.7551,-11.14
above,high,4,4,STEEP_LINEAR_UP,STEEP_LINEAR_UP,28,18,10,0.8,0.6042,0.9395,80.97,1,0.6667,0.3903,0.8907,24.85
above,low,0,2,NOISE,NOISE,12,10,2,0.9167,0.7151,0.9977,11.03,-1,,,,
above,low,0,3,GENTLE_CONCAVE_UP,STEEP_LINEAR_UP,14,8,6,0.9,0.6637,0.9972,11.84,0,0.375,0.099,0.7096,-3.71
above,low,0,4,FLATLINE,STEEP_LINEAR_UP,11,11,0,0.6923,0.4281,0.9008,38.18,-1,,,,
above,low,0,4,NOISE,STEEP_LINEAR_UP,10,9,1,0.6364,0.3475,0.8784,-10.53,-1,,,,
above,low,0,4,STEEP_LINEAR_UP,STEEP_CONCAVE_UP,11,9,2,0.7273,0.4439,0.9333,88.53,-1,,,,
above,low,0,4,STEEP_LINEAR_UP,STEEP_LINEAR_UP,13,11,2,0.6923,0.4281,0.9008,26.02,-1,,,,
above,low,1,3,GENTLE_LINEAR_UP,STEEP_LINEAR_UP,13,13,0,0.6667,0.419,0.8724,-9.65,-1,,,,
above,low,1,3,NOISE,STEEP_LINEAR_UP,10,10,0,0.5,0.2338,0.7662,21.38,-1,,,,
above,low,1,4,STEEP_LINEAR_UP,STEEP_CONCAVE_UP,14,9,5,0.6364,0.3475,0.8784,140.69,1,0.8571,0.5407,0.9958,81.1
above,low,1,4,STEEP_LINEAR_UP,STEEP_LINEAR_UP,12,11,1,0.6923,0.4281,0.9008,31.2,-1,,,,
above,low,2,3,GENTLE_CONCAVE_UP,STEEP_CONCAVE_UP,15,13,2,0.4667,0.2304,0.7114,-43.08,-1,,,,
above,low,2,3,GENTLE_CONCAVE_UP,STEEP_LINEAR_UP,11,10,1,0.25,0.0602,0.5178,-29.95,-1,,,,
above,low,2,3,GENTLE_LINEAR_UP,STEEP_CONCAVE_UP,15,14,1,0.5625,0.3229,0.7873,5.84,-1,,,,
above,low,2,3,GENTLE_LINEAR_UP,STEEP_LINEAR_UP,15,13,2,0.8667,0.6613,0.9822,18.71,-1,,,,
above,low,2,4,STEEP_LINEAR_UP,STEEP_CONVEX_DOWN,11,8,3,0.8,0.5175,0.9719,80.66,-1,,,,
above,low,3,2,GENTLE_CONCAVE_UP,STEEP_LINEAR_UP,11,10,1,0.5833,0.3079,0.8325,3.2,-1,,,,
above,low,3,3,GENTLE_LINEAR_UP,NOISE,12,12,0,0.4286,0.1922,0.6842,-13.23,-1,,,,
above,low,3,3,GENTLE_LINEAR_UP,STEEP_CONCAVE_UP,12,10,2,0.5,0.2338,0.7662,2.55,-1,,,,
above,low,3,4,STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,10,6,4,0.25,0.0367,0.5787,-26.0,-1,,,,
above,low,3,4,STEEP_CONCAVE_UP,STEEP_CONVEX_DOWN,13,11,2,0.6154,0.3489,0.8483,45.77,-1,,,,
above,low,3,4,STEEP_CONCAVE_UP,STEEP_LINEAR_UP,16,11,5,0.3846,0.1517,0.6511,-28.39,0,0.5714,0.2228,0.8819,13.4
above,low,3,4,STEEP_LINEAR_UP,STEEP_LINEAR_UP,10,7,3,0.4444,0.157,0.7551,-6.0,-1,,,,
above,low,4,2,GENTLE_CONCAVE_UP,STEEP_LINEAR_UP,12,11,1,0.5385,0.2767,0.7891,-5.82,-1,,,,
above,low,4,3,GENTLE_CONCAVE_UP,NOISE,15,14,1,0.3125,0.1182,0.551,-4.96,-1,,,,
above,low,4,3,GENTLE_CONCAVE_UP,STEEP_CONVEX_DOWN,11,10,1,0.4167,0.1675,0.6921,-15.68,-1,,,,
above,low,4,3,GENTLE_CONCAVE_UP,STEEP_LINEAR_UP,16,11,5,0.3077,0.0992,0.5719,-11.98,1,0.2857,0.0433,0.6412,-14.0
above,low,4,3,GENTLE_LINEAR_UP,NOISE,13,12,1,0.6429,0.3857,0.8614,13.42,-1,,,,
