**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

motif_shape,sub_motif_shape,measure_shape,n_total,n_is,n_oos,P_is,ci_is_lo,ci_is_hi,mean_is,sign_match,P_oos,ci_oos_lo,ci_oos_hi,mean_oos
GENTLE_LINEAR_DOWN,FLATLINE,STEEP_LINEAR_DOWN,11,7,4,0.3333,0.0852,0.6509,0.54,-1,,,,
GENTLE_LINEAR_DOWN,GENTLE_CONVEX_DOWN,NOISE,13,11,2,0.3077,0.0992,0.5719,-10.41,-1,,,,
GENTLE_LINEAR_DOWN,GENTLE_LINEAR_DOWN,STEEP_LINEAR_DOWN,21,19,2,0.3333,0.1539,0.5428,-1.49,-1,,,,
GENTLE_LINEAR_DOWN,STEEP_CONVEX_DOWN,NOISE,16,15,1,0.6471,0.4134,0.848,30.53,-1,,,,
GENTLE_LINEAR_DOWN,STEEP_CONVEX_DOWN,STEEP_CONCAVE_UP,12,11,1,0.5385,0.2767,0.7891,3.84,-1,,,,
GENTLE_LINEAR_DOWN,STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,34,31,3,0.6061,0.4369,0.763,15.16,-1,,,,
GENTLE_LINEAR_DOWN,STEEP_CONVEX_DOWN,STEEP_LINEAR_DOWN,24,23,1,0.64,0.4468,0.812,15.82,-1,,,,
GENTLE_LINEAR_DOWN,STEEP_LINEAR_DOWN,NOISE,16,12,4,0.2857,0.0909,0.5381,-13.54,-1,,,,
GENTLE_LINEAR_DOWN,STEEP_LINEAR_DOWN,STEEP_CONVEX_DOWN,25,22,3,0.625,0.4273,0.8029,0.06,-1,,,,
GENTLE_LINEAR_DOWN,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,52,49,3,0.3137,0.1952,0.4461,1.43,-1,,,,
GENTLE_LINEAR_DOWN,STEEP_LINEAR_UP,STEEP_CONCAVE_UP,11,8,3,0.8,0.5175,0.9719,41.59,-1,,,,
GENTLE_LINEAR_UP,GENTLE_CONCAVE_UP,NOISE,19,19,0,0.5238,0.3153,0.728,-3.93,-1,,,,
GENTLE_LINEAR_UP,GENTLE_CONCAVE_UP,STEEP_CONCAVE_UP,14,13,1,0.4667,0.2304,0.7114,2.87,-1,,,,
GENTLE_LINEAR_UP,GENTLE_CONCAVE_UP,STEEP_CONVEX_DOWN,11,8,3,0.4,0.137,0.7007,-12.06,-1,,,,
GENTLE_LINEAR_UP,GENTLE_LINEAR_UP,NOISE,14,13,1,0.6,0.3514,0.8234,4.67,-1,,,,
GENTLE_LINEAR_UP,GENTLE_LINEAR_UP,STEEP_CONCAVE_UP,10,9,1,0.6364,0.3475,0.8784,-2.22,-1,,,,
GENTLE_LINEAR_UP,GENTLE_LINEAR_UP,STEEP_LINEAR_UP,12,12,0,0.6429,0.3857,0.8614,9.1,-1,,,,
GENTLE_LINEAR_UP,STEEP_CONCAVE_UP,NOISE,12,12,0,0.5714,0.3158,0.8078,5.04,-1,,,,
GENTLE_LINEAR_UP,STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,27,22,5,0.625,0.4273,0.8029,5.26,0,0.1429,0.0042,0.4593,-48.05
GENTLE_LINEAR_UP,STEEP_CONCAVE_UP,STEEP_LINEAR_UP,27,17,10,0.4737,0.2602,0.6924,-9.59,1,0.1667,0.0228,0.4128,-42.85
GENTLE_LINEAR_UP,STEEP_CONVEX_DOWN,STEEP_LINEAR_UP,10,8,2,0.9,0.6637,0.9972,43.75,-1,,,,
GENTLE_LINEAR_UP,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,12,11,1,0.7692,0.5159,0.9451,25.91,-1,,,,
GENTLE_LINEAR_UP,STEEP_LINEAR_UP,FLATLINE,12,10,2,0.75,0.4822,0.9398,25.98,-1,,,,
GENTLE_LINEAR_UP,STEEP_LINEAR_UP,NOISE,23,21,2,0.4348,0.2439,0.6365,-9.23,-1,,,,
GENTLE_LINEAR_UP,STEEP_LINEAR_UP,STEEP_CONCAVE_UP,44,37,7,0.5897,0.4339,0.7369,11.26,1,0.5556,0.2449,0.843,4.93
GENTLE_LINEAR_UP,STEEP_LINEAR_UP,STEEP_LINEAR_UP,65,58,7,0.4833,0.3589,0.6088,-14.22,0,0.5556,0.2449,0.843,-16.04
NOISE,FLATLINE,NOISE,11,11,0,0.5385,0.2767,0.7891,-57.14,-1,,,,
NOISE,FLATLINE,STEEP_CONVEX_DOWN,13,11,2,0.4615,0.2109,0.7233,-17.84,-1,,,,
NOISE,FLATLINE,STEEP_LINEAR_DOWN,13,10,3,0.5833,0.3079,0.8325,25.05,-1,,,,
NOISE,GENTLE_CONCAVE_UP,STEEP_CONCAVE_UP,15,15,0,0.2353,0.0727,0.4565,-13.98,-1,,,,
NOISE,GENTLE_CONVEX_DOWN,NOISE,20,19,1,0.619,0.4078,0.8088,7.21,-1,,,,
NOISE,GENTLE_CONVEX_DOWN,STEEP_CONVEX_DOWN,10,9,1,0.6364,0.3475,0.8784,9.14,-1,,,,
NOISE,GENTLE_LINEAR_DOWN,NOISE,10,7,3,0.2222,0.0319,0.5265,-16.71,-1,,,,
