20241231;21273.25;21320.00;21243.75;21267.50;24545
20250101;21267.50;21490.75;20983.25;21163.25;1971743
20250102;21163.75;21559.25;21153.25;21490.25;1331923
20250104;21532.00;21543.00;21502.00;21525.25;21797
20250105;21525.75;21897.00;21478.75;21771.25;1493626
20250106;21771.25;21806.25;21279.50;21393.00;1828907
20250107;21392.25;21448.25;21166.00;21315.25;1843602
20250108;21315.25;21347.00;21211.50;21238.00;292931
20250109;21238.25;21372.50;20874.75;20996.25;2119763
20250111;21027.50;21028.75;20942.75;21000.25;31658
20250112;20999.50;21088.75;20693.50;21045.50;1904794
20250113;21046.00;21143.75;20773.25;20948.00;1847329
20250114;20948.00;21452.75;20908.75;21415.50;1498112
20250115;21415.00;21566.75;21171.75;21234.50;1643982
20250116;21234.50;21680.00;21226.75;21590.25;1489486
20250118;21601.00;21618.75;21527.25;21545.25;30640
20250119;21546.00;21780.00;21535.50;21732.00;601787
20250120;21732.50;21820.00;21370.25;21809.50;1490400
20250121;21809.75;22094.00;21804.25;21965.50;1184012
20250122;21965.50;22051.25;21855.50;22010.75;1170782
20250123;22011.25;22078.00;21843.25;21908.50;1264390
20250125;21773.75;21774.00;21632.25;21666.00;60142
20250126;21665.75;21673.25;20763.75;21327.50;2597740
20250127;21327.25;21626.00;21160.75;21545.50;1797397
20250128;21547.25;21697.25;21368.00;21538.50;1829669
20250129;21538.50;21748.75;21419.00;21698.50;1810096
20250130;21698.25;21965.75;21531.50;21571.25;1773042
20250201;21280.25;21280.25;20940.25;21113.25;111165
20250202;21113.25;21600.00;20975.50;21571.50;2217470
20250203;21571.25;21694.75;21240.75;21567.25;1416163
20250204;21567.50;21795.50;21429.00;21773.75;1322878
20250205;21772.75;21882.00;21706.00;21854.00;1248119
20250206;21853.25;21967.75;21553.00;21575.50;1560983
20250208;21464.75;21656.50;21415.00;21646.50;46923
20250209;21645.25;21893.75;21642.00;21795.25;987726
20250210;21795.50;21871.25;21669.50;21811.00;1124964
20250211;21810.50;21898.75;21510.00;21888.25;1421501
20250212;21888.00;22123.75;21752.75;22084.50;1449042
20250213;22084.75;22224.00;22042.50;22203.00;1121155
20250215;22238.00;22240.00;22196.00;22211.50;21625
20250216;22211.00;22281.75;22192.00;22220.50;307959
20250217;22220.25;22320.00;22103.00;22250.50;1141723
20250218;22249.50;22299.75;22118.00;22217.50;1141237
20250219;22217.75;22229.50;21950.75;22161.50;1323631
20250220;22161.00;22245.75;21652.25;21659.50;1627720
20250222;21700.75;21775.00;21677.75;21758.00;40291
20250223;21758.00;21813.00;21366.50;21385.25;1736908
20250224;21385.50;21452.00;20990.50;21225.50;2152082
20250225;21225.25;21409.75;21064.75;21213.00;1797701
20250226;21212.50;21386.50;20582.50;20674.00;2519885
20250227;20673.00;20944.25;20460.25;20910.00;2411243
20250301;21000.00;21036.00;20949.00;20968.75;48663
20250302;20968.50;21120.75;20317.50;20514.50;2456559
