date,event
2025-01-15,CPI
2025-02-12,CPI
2025-03-12,CPI
2025-04-10,CPI
2025-05-13,CPI
2025-06-11,CPI
2025-07-15,CPI
2025-08-12,CPI
2025-09-11,CPI
2025-10-15,CPI
2025-11-13,CPI
2025-12-10,CPI
2026-01-14,CPI
2026-02-11,CPI
2026-03-11,CPI
2026-04-14,CPI
2026-05-13,CPI
2026-06-10,CPI
2026-07-15,CPI
2026-08-12,CPI
2026-09-10,CPI
2026-10-14,CPI
2026-11-12,CPI
2026-12-10,CPI
