side,entry_ts,entry_utc,entry_price,exit_ts,exit_utc,exit_price,exit_reason,duration_min,realized_pnl_dollars,peak_pnl_ticks,worst_pnl_ticks,entry_pos_in_band,entry_z_1h_high,entry_z_15m_crm,entry_slope_15s_long,entry_slope_15s_short,entry_slope_15m,entry_sig_above_1h_low
LONG,1752824700,2025-07-18 07:45:00,23280.0,1752831900,2025-07-18 09:45:00,23277.25,time_stop,120.0,-5.5,34.0,-46.0,0.74,-0.343,-0.851,0.328,1.963,0.015,1.201
LONG,1752835080,2025-07-18 10:38:00,23259.0,1752842280,2025-07-18 12:38:00,23265.75,time_stop,120.0,13.5,52.0,-23.0,-0.273,-2.204,-2.617,0.345,0.696,-0.089,-0.566
LONG,1752844080,2025-07-18 13:08:00,23279.0,1752844680,2025-07-18 13:18:00,23261.5,hard_stop,10.0,-35.0,12.0,-70.0,0.611,-0.615,3.208,1.261,1.346,-0.054,1.246
LONG,1752848520,2025-07-18 14:22:00,23221.5,1752848700,2025-07-18 14:25:00,23201.0,hard_stop,3.0,-41.0,5.0,-82.0,-1.568,-4.611,-2.768,-2.289,0.746,-0.169,-3.665
LONG,1752851340,2025-07-18 15:09:00,23208.75,1752855960,2025-07-18 16:26:00,23186.75,hard_stop,77.0,-44.0,167.0,-88.0,-1.815,-5.503,-1.356,-1.931,0.629,-0.331,-2.368
LONG,1752857760,2025-07-18 16:56:00,23199.25,1752858060,2025-07-18 17:01:00,23175.25,hard_stop,5.0,-48.0,0.0,-96.0,-1.259,-4.798,-1.095,-0.51,0.333,-0.338,-1.436
LONG,1752859860,2025-07-18 17:31:00,23221.75,1752860640,2025-07-18 17:44:00,23206.0,hard_stop,13.0,-31.5,0.0,-63.0,-0.726,-2.947,0.495,0.896,0.625,0.093,-0.804
LONG,1752862980,2025-07-18 18:23:00,23215.0,1752864960,2025-07-18 18:56:00,23198.5,hard_stop,33.0,-33.0,37.0,-66.0,-0.547,-2.351,0.216,0.546,1.592,-0.025,-0.58
LONG,1752868080,2025-07-18 19:48:00,23213.25,1753048800,2025-07-20 22:00:00,23218.5,time_stop,3012.0,10.5,62.0,0.0,-0.374,-2.032,0.709,0.356,0.679,0.008,-0.418
LONG,1753050600,2025-07-20 22:30:00,23234.75,1753057800,2025-07-21 00:30:00,23255.75,time_stop,120.0,42.0,108.0,-13.0,0.238,-0.871,1.765,1.442,2.979,0.088,0.285
LONG,1753099620,2025-07-21 12:07:00,23273.5,1753102380,2025-07-21 12:53:00,23258.5,hard_stop,46.0,-30.0,24.0,-60.0,0.779,-0.692,-2.068,0.329,0.667,-0.067,1.051
LONG,1753104180,2025-07-21 13:23:00,23246.0,1753104960,2025-07-21 13:36:00,23320.5,target_1h_rail,13.0,149.0,298.0,-12.0,-1.016,-2.669,-1.317,0.781,0.783,-0.393,-1.413
LONG,1753128480,2025-07-21 20:08:00,23350.75,1753135680,2025-07-21 22:08:00,23345.75,time_stop,120.0,-10.0,8.0,-42.0,0.672,-0.217,-1.651,0.729,0.329,-0.34,0.495
LONG,1753142460,2025-07-22 00:01:00,23350.75,1753146180,2025-07-22 01:03:00,23335.25,hard_stop,62.0,-31.0,39.0,-62.0,0.368,-0.51,1.659,0.5,1.0,0.012,0.282
LONG,1753147980,2025-07-22 01:33:00,23355.25,1753154100,2025-07-22 03:15:00,23338.25,hard_stop,102.0,-34.0,41.0,-68.0,0.355,-0.627,1.232,0.64,1.408,0.017,0.289
LONG,1753156380,2025-07-22 03:53:00,23327.0,1753157700,2025-07-22 04:15:00,23307.0,hard_stop,22.0,-40.0,18.0,-80.0,-0.925,-1.991,-2.104,-0.405,0.254,-0.104,-1.142
LONG,1753161780,2025-07-22 05:23:00,23301.5,1753168980,2025-07-22 07:23:00,23340.0,time_stop,120.0,77.0,172.0,0.0,-1.352,-2.361,-1.352,-0.341,0.171,-0.276,-1.424
LONG,1753171740,2025-07-22 08:09:00,23309.25,1753172580,2025-07-22 08:23:00,23292.5,hard_stop,14.0,-33.5,11.0,-67.0,-0.368,-1.946,-0.627,0.966,3.488,-0.012,-0.542
LONG,1753175100,2025-07-22 09:05:00,23280.75,1753182300,2025-07-22 11:05:00,23315.25,time_stop,120.0,69.0,138.0,-42.0,-1.391,-3.354,-1.455,-0.758,1.008,-0.204,-1.577
LONG,1753184100,2025-07-22 11:35:00,23308.25,1753191180,2025-07-22 13:33:00,23288.5,hard_stop,118.0,-39.5,151.0,-79.0,0.058,-0.992,1.703,0.531,0.525,0.111,0.059
LONG,1753193220,2025-07-22 14:07:00,23164.25,1753200420,2025-07-22 16:07:00,23211.75,time_stop,120.0,95.0,279.0,-10.0,-3.165,-7.314,-2.6,-1.433,2.471,-0.871,-2.567
LONG,1753202880,2025-07-22 16:48:00,23173.5,1753210080,2025-07-22 18:48:00,23240.0,time_stop,120.0,133.0,293.0,0.0,-1.399,-3.378,-0.808,-1.03,0.833,-0.569,-1.074
