entry_utc,exit_utc,entry_px,exit_px,pnl,dur_min,reason,entry_z_lo,entry_slope_15m,peak_pnl,worst_pnl
2026-01-02 15:31:00,2026-01-02 15:32:00,25480.5,25514.75,68.5,1.0,target_20t,-4.19,-1.139,137.0,0.0
2026-01-02 16:03:00,2026-01-02 16:04:00,25359.5,25351.5,-16.0,1.0,stop_20t,-2.929,-1.822,0.0,-32.0
2026-01-02 16:53:00,2026-01-02 16:54:00,25323.25,25317.75,-11.0,1.0,stop_20t,-3.316,-1.826,0.0,-22.0
2026-01-08 14:46:00,2026-01-08 14:47:00,25654.25,25672.5,36.5,1.0,target_20t,-2.627,-0.847,73.0,0.0
2026-01-14 10:48:00,2026-01-14 10:49:00,25747.0,25728.75,-36.5,1.0,stop_20t,-5.377,-0.639,0.0,-73.0
2026-01-14 15:50:00,2026-01-14 15:51:00,25484.75,25475.25,-19.0,1.0,stop_20t,-3.167,-1.221,0.0,-38.0
2026-01-16 15:20:00,2026-01-16 15:21:00,25686.25,25692.5,12.5,1.0,target_20t,-4.438,-0.646,25.0,0.0
2026-01-16 15:51:00,2026-01-16 15:52:00,25631.25,25623.25,-16.0,1.0,stop_20t,-6.657,-1.24,0.0,-32.0
2026-01-18 23:16:00,2026-01-18 23:17:00,25419.5,25412.75,-13.5,1.0,stop_20t,-3.747,-1.421,0.0,-27.0
2026-01-18 23:47:00,2026-01-18 23:48:00,25437.0,25430.75,-12.5,1.0,stop_20t,-3.523,-1.488,0.0,-25.0
2026-01-20 08:40:00,2026-01-20 08:41:00,25183.25,25177.25,-12.0,1.0,stop_20t,-3.15,-0.944,0.0,-24.0
2026-01-20 09:35:00,2026-01-20 09:36:00,25105.75,25110.75,10.0,1.0,target_20t,-3.221,-0.888,20.0,0.0
2026-01-21 11:59:00,2026-01-21 12:00:00,25047.75,25036.0,-23.5,1.0,stop_20t,-3.343,-0.596,0.0,-47.0
2026-01-28 16:49:00,2026-01-28 16:51:00,26127.75,26111.0,-33.5,2.0,stop_20t,-2.979,-0.769,6.0,-67.0
2026-01-29 14:45:00,2026-01-29 14:46:00,25952.0,25928.0,-48.0,1.0,stop_20t,-6.622,-1.346,0.0,-96.0
2026-01-29 15:17:00,2026-01-29 15:18:00,25748.0,25765.5,35.0,1.0,target_20t,-4.132,-2.728,70.0,0.0
2026-01-29 15:55:00,2026-01-29 15:56:00,25576.0,25605.75,59.5,1.0,target_20t,-5.832,-2.985,119.0,0.0
2026-02-01 23:11:00,2026-02-01 23:12:00,25407.25,25432.25,50.0,1.0,target_20t,-3.411,-0.569,100.0,0.0
2026-02-03 14:45:00,2026-02-03 14:46:00,25761.5,25776.75,30.5,1.0,target_20t,-7.671,-1.112,61.0,0.0
2026-02-03 15:16:00,2026-02-03 15:17:00,25580.25,25570.5,-19.5,1.0,stop_20t,-3.554,-2.299,0.0,-39.0
2026-02-03 15:47:00,2026-02-03 15:48:00,25565.25,25580.5,30.5,1.0,target_20t,-3.71,-2.554,61.0,0.0
2026-02-04 14:54:00,2026-02-04 14:55:00,25303.25,25277.5,-51.5,1.0,stop_20t,-2.984,-0.719,0.0,-103.0
2026-02-04 15:38:00,2026-02-04 15:39:00,25227.75,25201.5,-52.5,1.0,stop_20t,-2.217,-1.015,0.0,-105.0
2026-02-04 16:47:00,2026-02-04 16:48:00,24968.25,24952.5,-31.5,1.0,stop_20t,-3.666,-2.301,0.0,-63.0
2026-02-04 17:40:00,2026-02-04 17:41:00,24820.75,24843.5,45.5,1.0,target_20t,-3.069,-2.758,91.0,0.0
2026-02-05 12:37:00,2026-02-05 12:39:00,24845.0,24835.25,-19.5,2.0,stop_20t,-2.934,-0.917,0.0,-39.0
2026-02-09 10:37:00,2026-02-09 10:39:00,25000.25,24988.25,-24.0,2.0,stop_20t,-3.159,-0.561,13.0,-48.0
2026-02-10 20:58:00,2026-02-10 21:00:00,25218.25,25229.5,22.5,2.0,target_20t,-2.913,-0.714,45.0,0.0
2026-02-12 15:00:00,2026-02-12 15:01:00,25187.75,25236.25,97.0,1.0,target_20t,-2.826,-0.89,194.0,0.0
2026-02-12 15:42:00,2026-02-12 15:43:00,25100.0,25085.75,-28.5,1.0,stop_20t,-4.892,-0.731,0.0,-57.0
2026-02-12 16:14:00,2026-02-12 16:15:00,24940.0,24912.75,-54.5,1.0,stop_20t,-3.553,-1.924,0.0,-109.0
2026-02-12 16:45:00,2026-02-12 16:46:00,24892.25,24858.75,-67.0,1.0,stop_20t,-4.045,-2.978,0.0,-134.0
2026-02-16 14:40:00,2026-02-16 14:41:00,24735.75,24741.25,11.0,1.0,target_20t,-3.443,-0.585,22.0,0.0
2026-02-20 13:45:00,2026-02-20 13:46:00,24748.25,24733.0,-30.5,1.0,stop_20t,-3.2,-1.0,0.0,-61.0
2026-02-23 16:10:00,2026-02-23 16:11:00,24700.25,24687.75,-25.0,1.0,stop_20t,-2.791,-0.894,0.0,-50.0
2026-02-26 14:50:00,2026-02-26 14:51:00,25230.5,25214.5,-32.0,1.0,stop_20t,-3.195,-0.506,0.0,-64.0
2026-02-26 15:22:00,2026-02-26 15:23:00,24927.0,24940.5,27.0,1.0,target_20t,-7.802,-1.653,54.0,0.0
2026-02-26 15:54:00,2026-02-26 15:55:00,25009.25,24996.5,-25.5,1.0,stop_20t,-6.147,-2.208,0.0,-51.0
2026-02-27 13:32:00,2026-02-27 13:33:00,24848.5,24840.0,-17.0,1.0,stop_20t,-3.271,-0.771,0.0,-34.0
