side,entry_ts,entry_utc,entry_price,exit_ts,exit_utc,exit_price,exit_reason,duration_min,realized_pnl_dollars,peak_pnl_ticks,worst_pnl_ticks,entry_pos_in_band,entry_z_1h_high,entry_z_15m_crm,entry_slope_15s_long,entry_slope_15s_short,entry_slope_15m,entry_sig_above_1h_low
SHORT,1767365700,2026-01-02 14:55:00,25741.0,1767366000,2026-01-02 15:00:00,25766.5,hard_stop,5.0,-51.0,31.0,-102.0,3.176,1.147,3.604,9.259,-1.808,-0.207,2.278
LONG,1767367980,2026-01-02 15:33:00,25532.75,1767369000,2026-01-02 15:50:00,25510.0,hard_stop,17.0,-45.5,250.0,-91.0,-3.731,-2.961,-2.151,-5.558,1.263,-1.139,-4.096
LONG,1767370800,2026-01-02 16:20:00,25333.5,1767372720,2026-01-02 16:52:00,25315.75,hard_stop,32.0,-35.5,343.0,-71.0,-3.409,-6.816,-2.165,2.591,3.079,-1.793,-2.827
LONG,1767375060,2026-01-02 17:31:00,25396.5,1767375240,2026-01-02 17:34:00,25376.25,hard_stop,3.0,-40.5,0.0,-81.0,-2.594,-3.039,-0.576,-0.85,0.688,-1.661,-1.663
LONG,1767377040,2026-01-02 18:04:00,25342.5,1767377280,2026-01-02 18:08:00,25320.5,hard_stop,4.0,-44.0,0.0,-88.0,-2.687,-2.582,-0.802,0.424,2.083,-2.274,-1.547
LONG,1767379140,2026-01-02 18:39:00,25335.25,1767379680,2026-01-02 18:48:00,25311.5,hard_stop,9.0,-47.5,58.0,-95.0,-2.772,-2.639,-0.634,-0.929,0.9,-0.874,-1.596
LONG,1767381480,2026-01-02 19:18:00,25374.75,1767388680,2026-01-02 21:18:00,25393.0,time_stop,120.0,36.5,301.0,-24.0,-1.657,-1.758,0.679,5.824,3.887,0.04,-0.897
LONG,1767567660,2026-01-04 23:01:00,25448.25,1767567960,2026-01-04 23:06:00,25427.75,hard_stop,5.0,-41.0,4.0,-82.0,-0.671,-0.779,2.605,0.627,4.633,0.549,-0.396
LONG,1767570900,2026-01-04 23:55:00,25450.5,1767578100,2026-01-05 01:55:00,25463.5,time_stop,120.0,26.0,138.0,-34.0,-0.248,-0.766,1.754,0.401,3.542,-0.007,-0.146
LONG,1767580620,2026-01-05 02:37:00,25460.75,1767587820,2026-01-05 04:37:00,25475.5,time_stop,120.0,29.5,85.0,-23.0,0.543,-0.39,-0.077,0.399,0.95,0.039,0.473
LONG,1767642720,2026-01-05 19:52:00,25568.5,1767649920,2026-01-05 21:52:00,25578.75,time_stop,120.0,20.5,177.0,-5.0,0.533,-0.588,-1.586,0.392,1.138,-0.651,0.67
LONG,1767654120,2026-01-05 23:02:00,25586.25,1767655800,2026-01-05 23:30:00,25569.75,hard_stop,28.0,-33.0,33.0,-66.0,0.342,-0.823,0.002,0.384,0.596,-0.19,0.594
LONG,1767657840,2026-01-06 00:04:00,25576.75,1767658320,2026-01-06 00:12:00,25559.75,hard_stop,8.0,-34.0,6.0,-68.0,0.088,-1.171,-0.751,0.523,1.346,-0.061,0.166
LONG,1767660660,2026-01-06 00:51:00,25559.0,1767667860,2026-01-06 02:51:00,25624.75,time_stop,120.0,131.5,263.0,0.0,-0.057,-1.563,-1.528,0.364,0.492,-0.226,-0.106
LONG,1767688680,2026-01-06 08:38:00,25550.5,1767695880,2026-01-06 10:38:00,25588.25,time_stop,120.0,75.5,178.0,-19.0,-1.56,-2.482,-2.615,-1.746,0.629,-0.515,-1.402
LONG,1767697680,2026-01-06 11:08:00,25598.5,1767704880,2026-01-06 13:08:00,25634.0,time_stop,120.0,71.0,202.0,-29.0,0.237,-0.963,1.636,0.404,0.429,-0.303,0.223
LONG,1767708000,2026-01-06 14:00:00,25612.0,1767710700,2026-01-06 14:45:00,25688.0,target_1h_rail,45.0,152.0,304.0,-57.0,0.528,-1.124,-0.205,0.61,2.529,0.135,0.607
LONG,1767761280,2026-01-07 04:48:00,25793.25,1767762300,2026-01-07 05:05:00,25775.75,hard_stop,17.0,-35.0,0.0,-70.0,0.535,-0.489,-0.972,0.446,1.583,-0.169,0.387
LONG,1767764280,2026-01-07 05:38:00,25792.25,1767767820,2026-01-07 06:37:00,25776.25,hard_stop,59.0,-32.0,25.0,-64.0,0.372,-0.587,-0.461,0.416,1.225,-0.132,0.256
LONG,1767773340,2026-01-07 08:09:00,25774.75,1767776280,2026-01-07 08:58:00,25759.75,hard_stop,49.0,-30.0,48.0,-60.0,-1.189,-2.159,-0.426,-0.411,0.233,-0.111,-1.65
LONG,1767778080,2026-01-07 09:28:00,25743.25,1767785280,2026-01-07 11:28:00,25740.25,time_stop,120.0,-6.0,68.0,-55.0,-2.143,-3.218,-2.349,-0.914,0.558,-0.299,-2.565
LONG,1767787080,2026-01-07 11:58:00,25764.25,1767794280,2026-01-07 13:58:00,25787.75,time_stop,120.0,47.0,115.0,-39.0,-0.55,-1.366,2.142,0.441,1.083,-0.083,-0.467
LONG,1767796200,2026-01-07 14:30:00,25777.25,1767796500,2026-01-07 14:35:00,25825.5,target_1h_rail,5.0,96.5,193.0,0.0,0.792,-0.594,0.324,0.62,3.408,0.272,0.924
LONG,1767818940,2026-01-07 20:49:00,25835.0,1767826800,2026-01-07 23:00:00,25844.0,time_stop,131.0,18.0,36.0,-56.0,0.498,-0.286,-1.78,0.407,0.492,-0.897,0.333
LONG,1767829320,2026-01-07 23:42:00,25831.25,1767831960,2026-01-08 00:26:00,25812.75,hard_stop,44.0,-37.0,6.0,-74.0,0.203,-0.551,-0.595,0.328,0.783,-0.386,0.157
