side,entry_utc,exit_utc,entry_px,exit_px,pnl,dur_min,reason,entry_z_15m,entry_pos,slope_long,slope_short,peak_ticks,worst_ticks
LONG,2025-09-08 02:11:00,2025-09-08 02:18:00,23754.25,23744.25,-20.0,7.0,stop_z_extension,-1.725,0.656,-0.906,0.192,16.0,-40.0
SHORT,2025-09-08 10:01:00,2025-09-08 10:46:00,23780.25,23779.5,1.5,45.0,time_stop,1.81,1.265,1.008,-0.808,23.0,-35.0
LONG,2025-09-08 12:19:00,2025-09-08 12:50:00,23749.75,23772.0,44.5,31.0,target_15m_mean,-2.053,0.074,-0.796,0.117,89.0,-21.0
SHORT,2025-09-08 13:27:00,2025-09-08 13:34:00,23791.75,23820.25,-57.0,7.0,stop_z_extension,1.709,1.511,0.55,-0.45,33.0,-114.0
SHORT,2025-09-08 13:49:00,2025-09-08 13:50:00,23849.25,23833.0,32.5,1.0,stop_z_extension,3.48,3.072,0.47,-1.054,65.0,0.0
SHORT,2025-09-08 14:13:00,2025-09-08 14:58:00,23845.0,23862.75,-35.5,45.0,time_stop,2.17,3.138,1.07,-1.221,143.0,-162.0
LONG,2025-09-08 16:31:00,2025-09-08 16:33:00,23820.75,23807.0,-27.5,2.0,stop_z_extension,-2.037,1.669,-0.598,0.212,0.0,-55.0
LONG,2025-09-08 16:53:00,2025-09-08 17:05:00,23811.0,23786.5,-49.0,12.0,stop_z_extension,-2.149,1.046,-0.46,1.229,28.0,-98.0
LONG,2025-09-08 17:58:00,2025-09-08 18:43:00,23776.5,23793.75,34.5,45.0,time_stop,-1.888,0.361,-1.895,0.287,169.0,0.0
LONG,2025-09-08 19:21:00,2025-09-08 19:40:00,23769.5,23796.25,53.5,19.0,target_15m_mean,-1.963,-0.008,-1.981,0.196,107.0,-26.0
SHORT,2025-09-08 22:11:00,2025-09-08 22:56:00,23815.75,23822.25,-13.0,45.0,time_stop,1.554,0.745,1.476,-0.296,21.0,-50.0
LONG,2025-09-09 01:32:00,2025-09-09 01:53:00,23797.25,23812.75,31.0,21.0,target_15m_mean,-1.791,0.229,-0.809,0.633,62.0,-8.0
