**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

side,entry_ts,entry_utc,entry_price,exit_ts,exit_utc,exit_price,exit_reason,duration_min,realized_pnl_dollars,peak_pnl_ticks,worst_pnl_ticks,entry_pos_in_band,entry_z_1h_high,entry_z_15m_crm,entry_slope_15s,entry_slope_15m,entry_sig_above_1h_low
LONG,1751356860,2025-07-01 08:01:00,22838.75,1751356920,2025-07-01 08:02:00,22822.0,hard_stop,1.0,-33.5,0.0,-67.0,-0.597,-1.798,-0.658,0.59,-0.079,-0.68
LONG,1751361780,2025-07-01 09:23:00,22841.5,1751362260,2025-07-01 09:31:00,22826.5,hard_stop,8.0,-30.0,0.0,-60.0,-0.507,-1.585,0.481,0.599,-0.096,-0.57
LONG,1751376720,2025-07-01 13:32:00,22814.5,1751377380,2025-07-01 13:43:00,22788.5,hard_stop,11.0,-52.0,0.0,-104.0,-0.842,-1.938,-0.009,0.417,-0.135,-0.828
LONG,1751386380,2025-07-01 16:13:00,22690.0,1751386860,2025-07-01 16:21:00,22675.0,hard_stop,8.0,-30.0,55.0,-60.0,-2.152,-3.683,-0.543,0.651,-0.751,-1.58
LONG,1751389740,2025-07-01 17:09:00,22732.0,1751391060,2025-07-01 17:31:00,22715.0,hard_stop,22.0,-34.0,38.0,-68.0,-0.596,-2.01,0.593,0.855,-0.453,-0.444
LONG,1751407380,2025-07-01 22:03:00,22705.75,1751414580,2025-07-02 00:03:00,22716.0,time_stop,120.0,20.5,87.0,-42.0,-0.308,-1.441,0.055,0.528,-0.285,-0.286
SHORT,1751433900,2025-07-02 05:25:00,22760.5,1751436180,2025-07-02 06:03:00,22777.75,hard_stop,38.0,-34.5,49.0,-69.0,1.455,1.019,0.712,-0.66,0.476,2.312
LONG,1751449740,2025-07-02 09:49:00,22713.25,1751452080,2025-07-02 10:28:00,22698.0,hard_stop,39.0,-30.5,14.0,-61.0,0.107,-1.097,-0.578,0.644,-0.318,0.129
LONG,1751454360,2025-07-02 11:06:00,22693.5,1751456820,2025-07-02 11:47:00,22676.0,hard_stop,41.0,-35.0,18.0,-70.0,-0.688,-1.991,-0.996,0.52,-0.197,-0.866
SHORT,1751516340,2025-07-03 04:19:00,22868.25,1751521500,2025-07-03 05:45:00,22856.25,crossed_15m_mean,86.0,24.0,51.0,-20.0,1.464,1.027,0.869,0.383,0.143,2.914
SHORT,1751529660,2025-07-03 08:01:00,22884.5,1751532300,2025-07-03 08:45:00,22868.0,crossed_15m_mean,44.0,33.0,66.0,-23.0,1.508,0.958,0.715,-1.184,0.074,2.441
SHORT,1751560200,2025-07-03 16:30:00,23068.5,1751562180,2025-07-03 17:03:00,23045.25,crossed_15m_mean,33.0,46.5,105.0,-46.0,4.261,1.669,0.379,-0.51,0.793,2.926
LONG,1751620080,2025-07-04 09:08:00,22939.75,1751620620,2025-07-04 09:17:00,22911.0,hard_stop,9.0,-57.5,0.0,-115.0,-1.795,-3.05,-1.256,0.769,-0.433,-1.651
LONG,1751625480,2025-07-04 10:38:00,22942.5,1751625840,2025-07-04 10:44:00,22925.0,hard_stop,6.0,-35.0,0.0,-70.0,-1.405,-2.289,-0.084,0.55,-0.176,-1.125
LONG,1751632380,2025-07-04 12:33:00,22922.5,1751636100,2025-07-04 13:35:00,22901.0,hard_stop,62.0,-43.0,38.0,-86.0,-1.033,-2.049,-0.52,0.476,-0.004,-0.746
LONG,1751638800,2025-07-04 14:20:00,22920.5,1751646000,2025-07-04 16:20:00,22924.75,time_stop,120.0,8.5,90.0,-29.0,-0.604,-1.606,-0.358,0.409,-0.026,-0.495
SHORT,1751839620,2025-07-06 22:07:00,23013.5,1751846820,2025-07-07 00:07:00,22997.5,time_stop,120.0,32.0,203.0,0.0,1.908,1.813,7.154,9.618,-0.106,2.251
SHORT,1751848980,2025-07-07 00:43:00,22968.25,1751850000,2025-07-07 01:00:00,22966.25,crossed_15m_mean,17.0,4.0,8.0,-24.0,1.296,0.215,-0.138,-0.555,0.276,2.563
LONG,1751879460,2025-07-07 09:11:00,22921.5,1751886660,2025-07-07 11:11:00,22957.5,time_stop,120.0,72.0,265.0,-12.0,-0.274,-1.862,-0.931,0.429,-0.204,-0.568
LONG,1751898240,2025-07-07 14:24:00,22946.25,1751898600,2025-07-07 14:30:00,22929.0,hard_stop,6.0,-34.5,54.0,-69.0,0.183,-1.391,-0.611,0.719,-0.225,0.405
LONG,1751903940,2025-07-07 15:59:00,22928.75,1751905200,2025-07-07 16:20:00,22879.75,hard_stop,21.0,-98.0,112.0,-196.0,-0.077,-2.294,0.037,1.111,-0.285,-0.153
LONG,1751911080,2025-07-07 17:58:00,22874.0,1751912100,2025-07-07 18:15:00,22859.0,hard_stop,17.0,-30.0,18.0,-60.0,-0.914,-4.691,-0.988,0.5,-0.326,-1.383
