date,n_trades,n_long,n_short,pnl_dollars
2026-01-02,12,6,6,-460.0
2026-01-05,9,0,9,-88.0
2026-01-06,11,3,8,176.5
2026-01-07,9,4,5,-219.0
2026-01-08,9,9,0,-24.5
2026-01-09,8,0,8,-164.5
2026-01-12,10,5,5,-270.0
2026-01-13,7,6,1,286.0
2026-01-14,11,11,0,-583.0
2026-01-15,7,2,5,-115.0
2026-01-16,6,4,2,-243.0
2026-01-18,1,1,0,-32.0
2026-01-19,10,9,1,141.0
2026-01-20,12,8,4,-324.5
2026-01-21,8,2,6,-94.5
2026-01-22,5,2,3,-164.0
2026-01-23,7,5,2,300.0
2026-01-25,1,1,0,239.0
2026-01-26,9,3,6,-41.5
2026-01-27,7,0,7,-92.5
2026-01-28,7,4,3,-77.5
2026-01-29,11,9,2,-468.0
2026-01-30,9,8,1,420.0
2026-02-01,1,1,0,-51.0
2026-02-02,10,5,5,-96.0
2026-02-03,9,7,2,-403.5
2026-02-04,8,7,1,-298.5
2026-02-05,11,11,0,-352.0
2026-02-06,13,4,9,-409.0
2026-02-08,1,0,1,-31.0
2026-02-09,9,4,5,406.5
2026-02-10,8,3,5,413.5
2026-02-11,9,6,3,217.5
2026-02-12,12,8,4,-143.0
2026-02-13,13,7,6,-460.5
2026-02-16,8,6,2,82.0
2026-02-17,11,8,3,596.0
2026-02-18,10,2,8,512.5
2026-02-19,11,10,1,-106.5
2026-02-20,8,3,5,813.0
2026-02-23,8,6,2,114.0
2026-02-24,8,2,6,-76.5
2026-02-25,8,0,8,-44.5
2026-02-26,12,7,5,123.5
2026-02-27,8,6,2,-241.0
