**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

side,entry_ts,entry_utc,entry_price,exit_ts,exit_utc,exit_price,exit_reason,duration_min,realized_pnl_dollars,peak_pnl_ticks,worst_pnl_ticks,entry_pos_in_band,entry_z_1h_high,entry_z_15m_crm,entry_slope_15s,entry_slope_15m,entry_sig_above_1h_low
LONG,1751349240,2025-07-01 05:54:00,22853.75,1751349660,2025-07-01 06:01:00,22837.75,hard_stop,7.0,-32.0,0.0,-64.0,-0.805,-2.704,-0.883,0.435,-0.283,-1.734
LONG,1751353080,2025-07-01 06:58:00,22841.0,1751356200,2025-07-01 07:50:00,22824.75,hard_stop,52.0,-32.5,88.0,-65.0,-0.876,-2.428,-0.828,0.469,-0.208,-1.264
LONG,1751358300,2025-07-01 08:25:00,22843.5,1751361120,2025-07-01 09:12:00,22827.5,hard_stop,47.0,-32.0,48.0,-64.0,-0.667,-1.61,0.677,0.47,-0.112,-0.759
LONG,1751364000,2025-07-01 10:00:00,22831.5,1751371020,2025-07-01 11:57:00,22815.5,hard_stop,117.0,-32.0,62.0,-64.0,-0.709,-1.812,-0.507,0.638,-0.053,-0.774
LONG,1751373300,2025-07-01 12:35:00,22795.0,1751373420,2025-07-01 12:37:00,22779.0,hard_stop,2.0,-32.0,0.0,-64.0,-1.739,-2.884,-1.579,0.572,-0.304,-1.844
LONG,1751375220,2025-07-01 13:07:00,22801.0,1751378340,2025-07-01 13:59:00,22782.25,hard_stop,52.0,-37.5,122.0,-75.0,-0.927,-2.441,-0.753,0.427,-0.204,-0.912
LONG,1751383380,2025-07-01 15:23:00,22652.25,1751384460,2025-07-01 15:41:00,22630.25,hard_stop,18.0,-44.0,153.0,-88.0,-3.508,-12.399,-1.729,1.205,-1.082,-3.236
LONG,1751386380,2025-07-01 16:13:00,22690.0,1751386860,2025-07-01 16:21:00,22675.0,hard_stop,8.0,-30.0,55.0,-60.0,-2.152,-3.683,-0.543,0.651,-0.751,-1.58
LONG,1751389740,2025-07-01 17:09:00,22732.0,1751391060,2025-07-01 17:31:00,22715.0,hard_stop,22.0,-34.0,38.0,-68.0,-0.596,-2.01,0.593,0.855,-0.453,-0.444
LONG,1751393400,2025-07-01 18:10:00,22742.75,1751394360,2025-07-01 18:26:00,22726.75,hard_stop,16.0,-32.0,21.0,-64.0,-0.138,-1.541,1.218,0.466,0.303,-0.11
LONG,1751397240,2025-07-01 19:14:00,22686.25,1751407200,2025-07-01 22:00:00,22696.75,time_stop,166.0,21.0,186.0,-52.0,-0.936,-2.387,-1.632,0.531,0.24,-0.791
LONG,1751409480,2025-07-01 22:38:00,22709.75,1751416680,2025-07-02 00:38:00,22716.0,time_stop,120.0,12.5,71.0,-27.0,-0.122,-1.372,0.67,0.495,-0.154,-0.113
LONG,1751422800,2025-07-02 02:20:00,22695.75,1751430000,2025-07-02 04:20:00,22757.75,time_stop,120.0,124.0,248.0,-6.0,0.15,-1.16,-1.172,0.583,-0.19,0.223
SHORT,1751431800,2025-07-02 04:50:00,22774.75,1751439000,2025-07-02 06:50:00,22767.75,time_stop,120.0,14.0,106.0,-21.0,1.709,2.332,1.558,-0.362,0.297,2.514
LONG,1751448540,2025-07-02 09:29:00,22709.75,1751452140,2025-07-02 10:29:00,22693.5,hard_stop,60.0,-32.5,28.0,-65.0,-0.033,-1.223,-1.003,0.591,-0.344,-0.04
LONG,1751454360,2025-07-02 11:06:00,22693.5,1751456820,2025-07-02 11:47:00,22676.0,hard_stop,41.0,-35.0,18.0,-70.0,-0.688,-1.991,-0.996,0.52,-0.197,-0.866
LONG,1751460900,2025-07-02 12:55:00,22604.5,1751466480,2025-07-02 14:28:00,22790.0,target_2sigma,93.0,371.0,742.0,-1.0,-2.674,-4.882,-2.29,0.605,-0.638,-2.903
SHORT,1751468280,2025-07-02 14:58:00,22810.5,1751468460,2025-07-02 15:01:00,22830.25,hard_stop,3.0,-39.5,0.0,-79.0,2.415,2.201,2.014,1.759,0.497,2.272
SHORT,1751470260,2025-07-02 15:31:00,22816.0,1751472480,2025-07-02 16:08:00,22835.75,hard_stop,37.0,-39.5,29.0,-79.0,2.061,1.638,1.156,-1.261,0.91,2.14
SHORT,1751474640,2025-07-02 16:44:00,22836.25,1751481840,2025-07-02 18:44:00,22830.0,time_stop,120.0,12.5,97.0,-34.0,2.369,1.58,1.077,1.302,0.988,2.278
SHORT,1751515200,2025-07-03 04:00:00,22863.0,1751521500,2025-07-03 05:45:00,22856.25,crossed_15m_mean,105.0,13.5,30.0,-41.0,1.249,0.583,0.682,-1.334,0.061,2.486
SHORT,1751523300,2025-07-03 06:15:00,22866.5,1751525040,2025-07-03 06:44:00,22887.0,hard_stop,29.0,-41.0,0.0,-82.0,1.39,0.457,-0.32,0.303,0.062,2.397
SHORT,1751526840,2025-07-03 07:14:00,22883.25,1751528460,2025-07-03 07:41:00,22898.5,hard_stop,27.0,-30.5,30.0,-61.0,1.856,1.316,1.581,0.749,0.103,3.101
SHORT,1751530260,2025-07-03 08:11:00,22886.0,1751532300,2025-07-03 08:45:00,22868.0,crossed_15m_mean,34.0,36.0,72.0,-12.0,1.705,1.052,0.846,0.526,0.074,2.76
LONG,1751538780,2025-07-03 10:33:00,22843.5,1751545800,2025-07-03 12:30:00,22901.25,target_2sigma,117.0,115.5,231.0,0.0,-0.275,-1.844,-1.118,0.402,-0.249,-0.563
SHORT,1751547600,2025-07-03 13:00:00,22897.25,1751547840,2025-07-03 13:04:00,22913.25,hard_stop,4.0,-32.0,0.0,-64.0,1.439,0.716,1.908,0.796,0.238,3.71
SHORT,1751549880,2025-07-03 13:38:00,22961.0,1751550660,2025-07-03 13:51:00,22992.0,hard_stop,13.0,-62.0,84.0,-124.0,3.694,3.513,3.195,4.461,0.515,9.528
SHORT,1751552760,2025-07-03 14:26:00,23057.75,1751556660,2025-07-03 15:31:00,23077.5,hard_stop,65.0,-39.5,75.0,-79.0,5.1,3.938,2.32,0.361,1.068,11.578
