side,entry_utc,exit_utc,entry_px,exit_px,pnl,dur_min,reason,entry_z_15m,entry_pos,slope_long,slope_short,peak_ticks,worst_ticks
LONG,2025-07-01 03:04:00,2025-07-01 03:49:00,22882.0,22870.5,-23.0,45.0,time_stop,-1.717,-0.006,-0.766,0.467,11.0,-52.0
LONG,2025-07-01 05:19:00,2025-07-01 06:04:00,22850.75,22835.5,-30.5,45.0,time_stop,-1.561,-0.794,-0.78,0.262,22.0,-61.0
LONG,2025-07-01 08:10:00,2025-07-01 08:14:00,22834.25,22829.25,-10.0,4.0,stop_z_extension,-1.651,-1.007,-1.058,0.454,2.0,-20.0
SHORT,2025-07-01 08:36:00,2025-07-01 08:41:00,22855.5,22838.5,34.0,5.0,target_15m_mean,3.231,-0.324,0.695,-0.312,68.0,0.0
LONG,2025-07-01 14:34:00,2025-07-01 14:37:00,22737.75,22728.25,-19.0,3.0,stop_z_extension,-2.871,-1.572,-3.821,0.15,41.0,-38.0
LONG,2025-07-01 19:07:00,2025-07-01 19:24:00,22684.5,22718.5,68.0,17.0,target_15m_mean,-1.721,-1.009,-4.904,0.108,136.0,-69.0
LONG,2025-07-01 20:18:00,2025-07-01 22:00:00,22676.0,22696.75,41.5,102.0,time_stop,-1.813,-0.728,-0.562,0.387,83.0,0.0
SHORT,2025-07-01 22:51:00,2025-07-01 23:36:00,22720.25,22714.25,12.0,45.0,time_stop,1.508,0.03,0.964,-0.233,47.0,-29.0
SHORT,2025-07-02 03:06:00,2025-07-02 03:51:00,22741.25,22738.25,6.0,45.0,time_stop,2.076,0.956,0.953,-0.262,29.0,-15.0
SHORT,2025-07-02 04:33:00,2025-07-02 05:18:00,22769.75,22765.25,9.0,45.0,time_stop,1.689,1.682,1.635,-0.375,23.0,-41.0
LONG,2025-07-02 07:34:00,2025-07-02 07:43:00,22741.25,22730.25,-22.0,9.0,stop_z_extension,-1.914,0.947,-0.959,0.65,16.0,-44.0
LONG,2025-07-02 07:58:00,2025-07-02 08:43:00,22724.0,22712.25,-23.5,45.0,time_stop,-2.317,0.542,-0.436,0.717,53.0,-84.0
LONG,2025-07-02 09:14:00,2025-07-02 09:59:00,22701.0,22713.75,25.5,45.0,time_stop,-1.642,-0.174,-0.465,0.892,57.0,-26.0
LONG,2025-07-02 10:35:00,2025-07-02 10:43:00,22694.0,22681.25,-25.5,8.0,stop_z_extension,-1.818,-0.391,-0.584,0.233,8.0,-51.0
LONG,2025-07-02 11:59:00,2025-07-02 12:00:00,22662.5,22653.0,-19.0,1.0,stop_z_extension,-3.228,-1.667,-2.865,1.567,0.0,-38.0
LONG,2025-07-02 12:31:00,2025-07-02 12:32:00,22630.0,22625.0,-10.0,1.0,stop_z_extension,-2.751,-1.799,-2.125,0.667,0.0,-20.0
LONG,2025-07-02 13:00:00,2025-07-02 13:30:00,22616.5,22663.25,93.5,30.0,target_15m_mean,-1.548,-1.971,-0.338,0.775,187.0,0.0
SHORT,2025-07-02 13:45:00,2025-07-02 14:12:00,22721.0,22758.0,-74.0,27.0,stop_z_extension,1.801,-0.083,2.001,-1.079,59.0,-148.0
SHORT,2025-07-02 14:45:00,2025-07-02 15:30:00,22785.0,22809.5,-49.0,45.0,time_stop,1.605,2.2,0.761,-0.963,0.0,-230.0
SHORT,2025-07-02 20:59:00,2025-07-02 22:00:00,22853.25,22849.5,7.5,61.0,time_stop,2.678,2.211,0.365,-0.142,15.0,0.0
SHORT,2025-07-03 01:32:00,2025-07-03 01:58:00,22859.5,22848.0,23.0,26.0,target_15m_mean,2.392,1.626,0.988,-0.654,46.0,0.0
LONG,2025-07-03 02:37:00,2025-07-03 02:49:00,22836.0,22849.25,26.5,12.0,target_15m_mean,-1.884,0.837,-0.964,0.658,53.0,0.0
SHORT,2025-07-03 03:32:00,2025-07-03 03:42:00,22873.5,22877.75,-8.5,10.0,stop_z_extension,2.42,1.502,0.792,-0.167,7.0,-17.0
SHORT,2025-07-03 06:52:00,2025-07-03 07:37:00,22882.5,22891.75,-18.5,45.0,time_stop,1.741,1.797,0.767,-1.025,27.0,-37.0
LONG,2025-07-03 09:05:00,2025-07-03 09:50:00,22857.5,22864.5,14.0,45.0,time_stop,-1.925,0.52,-0.812,0.379,52.0,-20.0
LONG,2025-07-03 10:16:00,2025-07-03 11:01:00,22838.75,22850.0,22.5,45.0,time_stop,-1.654,-0.306,-0.562,0.454,64.0,-20.0
SHORT,2025-07-03 12:40:00,2025-07-03 12:41:00,22909.5,22905.25,8.5,1.0,stop_z_extension,6.554,2.581,5.778,-1.308,17.0,0.0
