**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

side,entry_utc,exit_utc,entry_px,exit_px,pnl,dur_min,reason,entry_z_15m,entry_pos,slope_long,slope_short,peak_ticks,worst_ticks
SHORT,2025-06-06 01:53:00,2025-06-06 02:38:00,21590.0,21579.5,21.0,45.0,time_stop,1.571,-0.202,0.791,-0.925,66.0,0.0
SHORT,2025-06-06 03:29:00,2025-06-06 03:43:00,21594.75,21612.0,-34.5,14.0,stop_z_extension,1.543,-0.01,1.038,-0.642,17.0,-69.0
SHORT,2025-06-06 05:14:00,2025-06-06 05:59:00,21661.25,21657.5,7.5,45.0,time_stop,2.774,1.0,0.89,-0.221,41.0,-20.0
SHORT,2025-06-06 07:45:00,2025-06-06 07:48:00,21671.25,21676.75,-11.0,3.0,stop_z_extension,1.874,1.454,0.498,-0.425,20.0,-22.0
LONG,2025-06-06 08:20:00,2025-06-06 08:24:00,21641.25,21639.5,-3.5,4.0,stop_z_extension,-2.774,1.468,-0.942,0.788,25.0,-7.0
SHORT,2025-06-06 09:31:00,2025-06-06 09:35:00,21679.5,21684.75,-10.5,4.0,stop_z_extension,2.148,2.139,0.691,-0.358,12.0,-21.0
SHORT,2025-06-06 10:02:00,2025-06-06 10:47:00,21684.0,21667.0,34.0,45.0,target_15m_mean,1.885,2.228,0.597,-1.046,68.0,-40.0
SHORT,2025-06-06 12:49:00,2025-06-06 12:50:00,21760.0,21769.75,-19.5,1.0,stop_z_extension,2.605,4.076,1.411,-0.196,0.0,-39.0
SHORT,2025-06-06 13:26:00,2025-06-06 14:11:00,21783.75,21817.25,-67.0,45.0,time_stop,1.933,3.843,2.388,-0.188,19.0,-299.0
LONG,2025-06-06 16:36:00,2025-06-06 16:55:00,21784.0,21728.5,-111.0,19.0,stop_z_extension,-1.516,1.881,-0.375,0.4,17.0,-222.0
SHORT,2025-06-06 18:24:00,2025-06-06 19:09:00,21852.75,21829.25,47.0,45.0,time_stop,1.945,2.25,0.824,-0.15,94.0,-60.0
