**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

side,entry_ts,entry_utc,entry_price,exit_ts,exit_utc,exit_price,exit_reason,duration_min,realized_pnl_dollars,peak_pnl_ticks,worst_pnl_ticks,entry_pos_in_band,entry_z_1h_high,entry_z_15m_crm,entry_slope_15s,entry_slope_15m,entry_sig_above_1h_low
LONG,1749168600,2025-06-06 00:10:00,21582.0,1749168900,2025-06-06 00:15:00,21570.75,hard_stop,5.0,-22.5,17.0,-45.0,-0.446,-1.403,1.492,2.509,0.0,-0.519
LONG,1749170340,2025-06-06 00:39:00,21565.25,1749170760,2025-06-06 00:46:00,21545.75,hard_stop,7.0,-39.0,35.0,-78.0,-0.529,-1.529,0.916,0.3,-0.05,-0.615
LONG,1749172260,2025-06-06 01:11:00,21575.0,1749179460,2025-06-06 03:11:00,21583.75,time_stop,120.0,17.5,94.0,-28.0,-0.36,-1.246,1.11,0.342,0.319,-0.43
LONG,1749181200,2025-06-06 03:40:00,21603.5,1749188400,2025-06-06 05:40:00,21656.5,time_stop,120.0,106.0,248.0,-3.0,0.025,-0.736,2.195,0.547,0.142,0.026
SHORT,1749189660,2025-06-06 06:01:00,21649.75,1749191340,2025-06-06 06:29:00,21660.0,hard_stop,28.0,-20.5,70.0,-41.0,1.198,0.115,0.776,-0.471,0.381,1.578
SHORT,1749192240,2025-06-06 06:44:00,21666.5,1749193200,2025-06-06 07:00:00,21677.0,hard_stop,16.0,-21.0,6.0,-42.0,1.399,0.351,1.216,0.688,0.362,1.842
SHORT,1749194100,2025-06-06 07:15:00,21652.25,1749194580,2025-06-06 07:23:00,21664.5,hard_stop,8.0,-24.5,0.0,-49.0,1.3,0.339,0.004,-1.748,0.261,1.698
SHORT,1749195540,2025-06-06 07:39:00,21668.25,1749196080,2025-06-06 07:48:00,21676.75,hard_stop,9.0,-17.0,18.0,-34.0,1.448,0.624,1.161,0.271,0.222,1.891
SHORT,1749196980,2025-06-06 08:03:00,21661.25,1749197100,2025-06-06 08:05:00,21669.0,hard_stop,2.0,-15.5,0.0,-31.0,1.471,0.69,0.23,-1.54,0.062,1.564
SHORT,1749198060,2025-06-06 08:21:00,21647.5,1749198120,2025-06-06 08:22:00,21645.5,crossed_15m_mean,1.0,4.0,8.0,0.0,1.451,0.403,-1.797,-1.008,-0.061,1.542
SHORT,1749199020,2025-06-06 08:37:00,21651.75,1749199080,2025-06-06 08:38:00,21646.75,crossed_15m_mean,1.0,10.0,20.0,0.0,1.466,0.492,-1.029,1.375,-0.022,1.559
SHORT,1749199980,2025-06-06 08:53:00,21654.25,1749200340,2025-06-06 08:59:00,21661.75,hard_stop,6.0,-15.0,5.0,-30.0,1.526,0.544,-0.615,0.785,-0.026,1.622
SHORT,1749202140,2025-06-06 09:29:00,21678.75,1749202560,2025-06-06 09:36:00,21687.5,hard_stop,7.0,-17.5,9.0,-35.0,2.161,1.176,2.949,1.125,0.094,1.806
SHORT,1749203940,2025-06-06 09:59:00,21685.5,1749205320,2025-06-06 10:22:00,21693.25,hard_stop,23.0,-15.5,49.0,-31.0,2.273,1.326,2.743,1.209,0.021,1.9
SHORT,1749206220,2025-06-06 10:37:00,21671.0,1749207600,2025-06-06 11:00:00,21654.25,crossed_15m_mean,23.0,33.5,67.0,-20.0,2.243,0.803,0.186,-0.712,0.197,1.674
SHORT,1749209280,2025-06-06 11:28:00,21647.5,1749209340,2025-06-06 11:29:00,21671.25,hard_stop,1.0,-47.5,0.0,-95.0,1.864,0.094,-1.806,1.151,0.061,1.584
SHORT,1749210240,2025-06-06 11:44:00,21672.75,1749210840,2025-06-06 11:54:00,21680.5,hard_stop,10.0,-15.5,0.0,-31.0,1.826,0.642,0.128,0.661,0.112,1.552
SHORT,1749211740,2025-06-06 12:09:00,21679.75,1749213000,2025-06-06 12:30:00,21733.25,hard_stop,21.0,-107.0,58.0,-214.0,1.621,0.657,0.68,0.061,0.051,1.559
SHORT,1749214080,2025-06-06 12:48:00,21764.75,1749214860,2025-06-06 13:01:00,21776.5,hard_stop,13.0,-23.5,51.0,-47.0,4.085,2.714,2.765,1.795,0.565,3.93
SHORT,1749216360,2025-06-06 13:26:00,21783.75,1749216480,2025-06-06 13:28:00,21794.5,hard_stop,2.0,-21.5,0.0,-43.0,3.843,2.241,1.933,2.388,0.521,4.994
SHORT,1749217920,2025-06-06 13:52:00,21846.0,1749222420,2025-06-06 15:07:00,21858.0,hard_stop,75.0,-24.0,261.0,-48.0,5.023,3.457,1.951,3.092,0.924,6.528
SHORT,1749223320,2025-06-06 15:22:00,21783.5,1749223860,2025-06-06 15:31:00,21801.5,hard_stop,9.0,-36.0,32.0,-72.0,2.115,0.917,-0.29,-7.167,0.881,2.328
SHORT,1749225420,2025-06-06 15:57:00,21792.75,1749225480,2025-06-06 15:58:00,21806.0,hard_stop,1.0,-26.5,0.0,-53.0,2.889,1.037,-0.605,2.21,0.156,3.181
SHORT,1749226560,2025-06-06 16:16:00,21813.75,1749226860,2025-06-06 16:21:00,21796.75,crossed_15m_mean,5.0,34.0,68.0,0.0,2.381,0.961,-0.183,1.57,0.274,3.048
SHORT,1749227760,2025-06-06 16:36:00,21784.0,1749227820,2025-06-06 16:37:00,21779.25,crossed_15m_mean,1.0,9.5,19.0,0.0,1.881,0.606,-1.516,-0.375,-0.049,2.408
SHORT,1749228780,2025-06-06 16:53:00,21751.5,1749228840,2025-06-06 16:54:00,21751.75,crossed_15m_mean,1.0,-0.5,0.0,-1.0,1.538,0.217,-2.29,-1.392,-0.44,1.969
SHORT,1749229740,2025-06-06 17:09:00,21750.0,1749229800,2025-06-06 17:10:00,21743.25,crossed_15m_mean,1.0,13.5,27.0,0.0,1.038,0.017,-1.879,0.908,-0.472,1.508
SHORT,1749230760,2025-06-06 17:26:00,21788.75,1749231000,2025-06-06 17:30:00,21799.25,hard_stop,4.0,-21.0,2.0,-42.0,1.662,0.479,-0.291,3.974,-0.407,2.415
