side,entry_ts,entry_utc,entry_price,exit_ts,exit_utc,exit_price,exit_reason,duration_min,realized_pnl_dollars,peak_pnl_ticks,worst_pnl_ticks,entry_pos_in_band,entry_z_1h_high,entry_z_15m_crm,entry_slope_15s,entry_slope_15m,entry_sig_above_1h_low
LONG,1751349240,2025-07-01 05:54:00,22853.75,1751349660,2025-07-01 06:01:00,22837.75,hard_stop,7.0,-32.0,0.0,-64.0,-0.805,-2.704,-0.883,0.435,-0.283,-1.734
LONG,1751353080,2025-07-01 06:58:00,22841.0,1751356200,2025-07-01 07:50:00,22824.75,hard_stop,52.0,-32.5,88.0,-65.0,-0.876,-2.428,-0.828,0.469,-0.208,-1.264
LONG,1751360040,2025-07-01 08:54:00,22842.75,1751361120,2025-07-01 09:12:00,22827.5,hard_stop,18.0,-30.5,19.0,-61.0,-0.437,-1.64,0.689,0.572,-0.042,-0.498
LONG,1751364000,2025-07-01 10:00:00,22831.5,1751371020,2025-07-01 11:57:00,22815.5,hard_stop,117.0,-32.0,62.0,-64.0,-0.709,-1.812,-0.507,0.638,-0.053,-0.774
LONG,1751373300,2025-07-01 12:35:00,22795.0,1751373420,2025-07-01 12:37:00,22779.0,hard_stop,2.0,-32.0,0.0,-64.0,-1.739,-2.884,-1.579,0.572,-0.304,-1.844
LONG,1751375220,2025-07-01 13:07:00,22801.0,1751378340,2025-07-01 13:59:00,22782.25,hard_stop,52.0,-37.5,122.0,-75.0,-0.927,-2.441,-0.753,0.427,-0.204,-0.912
LONG,1751385180,2025-07-01 15:53:00,22668.25,1751385720,2025-07-01 16:02:00,22652.5,hard_stop,9.0,-31.5,0.0,-63.0,-3.262,-11.416,-1.0,1.115,-0.815,-3.009
LONG,1751389740,2025-07-01 17:09:00,22732.0,1751391060,2025-07-01 17:31:00,22715.0,hard_stop,22.0,-34.0,38.0,-68.0,-0.596,-2.01,0.593,0.855,-0.453,-0.444
LONG,1751393400,2025-07-01 18:10:00,22742.75,1751394360,2025-07-01 18:26:00,22726.75,hard_stop,16.0,-32.0,21.0,-64.0,-0.138,-1.541,1.218,0.466,0.303,-0.11
LONG,1751399220,2025-07-01 19:47:00,22730.75,1751399460,2025-07-01 19:51:00,22715.5,hard_stop,4.0,-30.5,8.0,-61.0,-0.519,-1.545,0.56,0.556,0.022,-0.439
LONG,1751407380,2025-07-01 22:03:00,22705.75,1751414580,2025-07-02 00:03:00,22716.0,time_stop,120.0,20.5,87.0,-42.0,-0.308,-1.441,0.055,0.528,-0.285,-0.286
SHORT,1751433180,2025-07-02 05:13:00,22766.75,1751440380,2025-07-02 07:13:00,22764.75,time_stop,120.0,4.0,74.0,-44.0,1.597,1.304,1.063,-0.188,0.457,2.538
LONG,1751448540,2025-07-02 09:29:00,22709.75,1751452140,2025-07-02 10:29:00,22693.5,hard_stop,60.0,-32.5,28.0,-65.0,-0.033,-1.223,-1.003,0.591,-0.344,-0.04
LONG,1751454360,2025-07-02 11:06:00,22693.5,1751456820,2025-07-02 11:47:00,22676.0,hard_stop,41.0,-35.0,18.0,-70.0,-0.688,-1.991,-0.996,0.52,-0.197,-0.866
LONG,1751460900,2025-07-02 12:55:00,22604.5,1751466480,2025-07-02 14:28:00,22790.0,target_2sigma,93.0,371.0,742.0,-1.0,-2.674,-4.882,-2.29,0.605,-0.638,-2.903
SHORT,1751468280,2025-07-02 14:58:00,22810.5,1751468460,2025-07-02 15:01:00,22830.25,hard_stop,3.0,-39.5,0.0,-79.0,2.415,2.201,2.014,1.759,0.497,2.272
SHORT,1751470260,2025-07-02 15:31:00,22816.0,1751472480,2025-07-02 16:08:00,22835.75,hard_stop,37.0,-39.5,29.0,-79.0,2.061,1.638,1.156,-1.261,0.91,2.14
SHORT,1751474640,2025-07-02 16:44:00,22836.25,1751481840,2025-07-02 18:44:00,22830.0,time_stop,120.0,12.5,97.0,-34.0,2.369,1.58,1.077,1.302,0.988,2.278
SHORT,1751515200,2025-07-03 04:00:00,22863.0,1751521500,2025-07-03 05:45:00,22856.25,crossed_15m_mean,105.0,13.5,30.0,-41.0,1.249,0.583,0.682,-1.334,0.061,2.486
SHORT,1751523480,2025-07-03 06:18:00,22868.75,1751525040,2025-07-03 06:44:00,22887.0,hard_stop,26.0,-36.5,0.0,-73.0,1.293,0.635,0.029,0.166,0.062,2.231
SHORT,1751526840,2025-07-03 07:14:00,22883.25,1751528460,2025-07-03 07:41:00,22898.5,hard_stop,27.0,-30.5,30.0,-61.0,1.856,1.316,1.581,0.749,0.103,3.101
SHORT,1751530260,2025-07-03 08:11:00,22886.0,1751532300,2025-07-03 08:45:00,22868.0,crossed_15m_mean,34.0,36.0,72.0,-12.0,1.705,1.052,0.846,0.526,0.074,2.76
LONG,1751539920,2025-07-03 10:52:00,22853.0,1751545800,2025-07-03 12:30:00,22901.25,target_2sigma,98.0,96.5,193.0,-15.0,0.155,-1.256,-0.481,0.415,-0.275,0.317
SHORT,1751553780,2025-07-03 14:43:00,23049.0,1751555460,2025-07-03 15:11:00,23065.25,hard_stop,28.0,-32.5,40.0,-65.0,4.998,3.73,1.636,-0.439,1.09,11.347
SHORT,1751557620,2025-07-03 15:47:00,23090.75,1751562180,2025-07-03 17:03:00,23045.25,crossed_15m_mean,76.0,91.0,194.0,-22.0,5.131,2.799,1.145,2.177,1.083,5.24
LONG,1751607960,2025-07-04 05:46:00,23006.75,1751609100,2025-07-04 06:05:00,22988.5,hard_stop,19.0,-36.5,5.0,-73.0,-0.097,-1.439,-0.155,0.601,-0.029,-0.107
LONG,1751617500,2025-07-04 08:25:00,22956.25,1751619120,2025-07-04 08:52:00,22934.75,hard_stop,27.0,-43.0,50.0,-86.0,-1.687,-2.796,-1.052,0.911,-0.365,-2.1
LONG,1751622300,2025-07-04 09:45:00,22940.0,1751625060,2025-07-04 10:31:00,22920.75,hard_stop,46.0,-38.5,40.0,-77.0,-1.887,-3.042,-0.605,0.509,-0.275,-1.736
