scheme,n_legs_total,n_taken,n_skipped,total_pnl_usd,total_capital_units,pnl_per_leg,pnl_per_unit_capital,mean_size,per_day_total
flat,1827,1827,0,128002.16666666667,1827.0,70.0613939062215,70.0613939062215,1.0,4000.0677083333335
zone,1827,1827,0,140296.46666666667,1936.4999999999998,76.79062214924285,72.44847232980464,1.059934318555008,4384.264583333334
b6,1827,1827,0,132361.9166666667,1839.3999999999999,72.44768290457947,71.95928926099091,1.0067870826491516,4136.309895833334
combo,1827,1827,0,136329.19166666668,1887.9499999999998,74.61915252691115,72.21017064364347,1.0333607006020797,4260.287239583334
aggressive,1827,1528,299,148038.73333333334,1921.1999999999998,81.0283160007298,77.05534735234923,1.0515599343185549,4626.210416666667
