**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

fold,K,recall_budget,auc,p_pos_train,p_pos_val,mean_delta_per_day,ci_lo,ci_hi,significant,n_cut
2,60,0.3,0.7638901695609857,0.09713977334052887,0.090228378884313,-59.69090909090909,-106.26568181818182,-21.834318181818173,False,285
2,60,0.5,0.7638901695609857,0.09713977334052887,0.090228378884313,-101.34545454545454,-159.30318181818183,-50.723863636363625,False,552
2,60,0.7,0.7638901695609857,0.09713977334052887,0.090228378884313,-105.7090909090909,-171.1865909090909,-45.86318181818182,False,891
2,120,0.3,0.7078399024872066,0.08248620389195468,0.0681686886192952,-5.181818181818182,-31.647272727272725,19.92931818181819,False,195
2,120,0.5,0.7078399024872066,0.08248620389195468,0.0681686886192952,-26.60909090909091,-72.9375,19.28363636363637,False,472
2,120,0.7,0.7078399024872066,0.08248620389195468,0.0681686886192952,7.781818181818182,-37.53795454545455,53.44590909090909,False,701
3,5,0.3,0.6730197719553614,0.007914821445397154,0.00972972972972973,-62.29090909090909,-107.3840909090909,-24.59090909090909,False,459
3,5,0.5,0.6730197719553614,0.007914821445397154,0.00972972972972973,-107.58181818181818,-162.10113636363636,-56.18181818181818,False,905
3,5,0.7,0.6730197719553614,0.007914821445397154,0.00972972972972973,-175.4090909090909,-261.84181818181816,-94.76840909090907,False,1646
3,10,0.3,0.708348407449749,0.014721147494573936,0.015430427720628045,-62.127272727272725,-113.70204545454546,-16.46136363636363,False,421
3,10,0.5,0.708348407449749,0.014721147494573936,0.015430427720628045,-84.88181818181818,-146.78840909090908,-28.236136363636366,False,726
3,10,0.7,0.708348407449749,0.014721147494573936,0.015430427720628045,-161.88181818181818,-239.66477272727272,-88.5504545454545,False,1383
3,30,0.3,0.7601316022055344,0.06733313731255514,0.07414661443760492,-104.35454545454546,-164.52886363636364,-53.809999999999974,False,370
3,30,0.5,0.7601316022055344,0.06733313731255514,0.07414661443760492,-136.73636363636365,-205.26386363636362,-77.49999999999997,False,655
3,30,0.7,0.7601316022055344,0.06733313731255514,0.07414661443760492,-191.87272727272727,-294.7195454545454,-101.6206818181818,False,1239
3,60,0.3,0.7583819700098768,0.09489671931956258,0.09122930609369496,-67.01818181818182,-104.25681818181818,-33.280909090909084,False,338
3,60,0.5,0.7583819700098768,0.09489671931956258,0.09122930609369496,-70.2090909090909,-115.8640909090909,-27.063636363636363,False,639
3,60,0.7,0.7583819700098768,0.09489671931956258,0.09122930609369496,-114.3,-183.27477272727273,-50.077045454545434,False,1026
3,120,0.3,0.745108359133127,0.0776961731735601,0.07977207977207977,-28.87272727272727,-56.456590909090906,-3.6324999999999856,False,215
3,120,0.5,0.745108359133127,0.0776961731735601,0.07977207977207977,-26.39090909090909,-58.25568181818182,1.8463636363636398,False,364
3,120,0.7,0.745108359133127,0.0776961731735601,0.07977207977207977,-19.163636363636364,-69.80295454545454,22.755227272727275,False,583
4,5,0.3,0.8079752795762213,0.008383986585621462,0.0070134424313267095,-30.37272727272727,-69.98613636363636,9.037500000000005,False,266
4,5,0.5,0.8079752795762213,0.008383986585621462,0.0070134424313267095,-33.027272727272724,-85.81022727272727,16.510909090909095,False,447
4,5,0.7,0.8079752795762213,0.008383986585621462,0.0070134424313267095,-88.19090909090909,-178.49090909090907,-9.672272727272725,False,933
4,10,0.3,0.7243383284370536,0.014904485340424043,0.012876792508047996,-57.127272727272725,-112.24613636363637,-8.605681818181806,False,440
4,10,0.5,0.7243383284370536,0.014904485340424043,0.012876792508047996,-110.05454545454545,-183.89136363636365,-43.71681818181818,False,668
4,10,0.7,0.7243383284370536,0.014904485340424043,0.012876792508047996,-219.74545454545455,-341.9293181818182,-110.13159090909089,False,1144
4,30,0.3,0.7801655897861169,0.06910067503810699,0.06620314389359129,-97.57272727272728,-154.60931818181817,-45.72727272727273,False,389
4,30,0.5,0.7801655897861169,0.06910067503810699,0.06620314389359129,-147.5,-212.24568181818182,-84.74181818181818,False,656
4,30,0.7,0.7801655897861169,0.06910067503810699,0.06620314389359129,-229.6909090909091,-327.80636363636364,-140.1990909090909,False,982
4,60,0.3,0.7796697796697797,0.09395609359472401,0.09536082474226804,-67.99090909090908,-111.50136363636364,-29.189090909090904,False,262
4,60,0.5,0.7796697796697797,0.09395609359472401,0.09536082474226804,-145.53636363636363,-239.05022727272726,-63.314545454545446,False,571
4,60,0.7,0.7796697796697797,0.09395609359472401,0.09536082474226804,-186.5909090909091,-290.1343181818182,-91.29977272727272,False,880
4,120,0.3,0.780709718911966,0.07822196565160917,0.07612456747404844,-42.28846153846154,-84.48677884615384,-5.614903846153844,False,184
4,120,0.5,0.780709718911966,0.07822196565160917,0.07612456747404844,-60.77884615384615,-112.19254807692307,-14.34278846153845,False,311
4,120,0.7,0.780709718911966,0.07822196565160917,0.07612456747404844,-94.78846153846153,-168.54014423076924,-25.690865384615382,False,544
