**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

fold,K,recall_budget,auc,p_pos_train,p_pos_val,mean_delta_per_day,ci_lo,ci_hi,significant,n_cut
1,5,0.3,0.6406114361200226,0.007629107981220657,0.007343299239444007,-186.92727272727274,-284.8822727272727,-101.32249999999998,False,467
1,5,0.5,0.6406114361200226,0.007629107981220657,0.007343299239444007,-569.3454545454546,-958.8361363636365,-294.72477272727275,False,1094
1,5,0.7,0.6406114361200226,0.007629107981220657,0.007343299239444007,-962.1,-1571.0854545454545,-504.35999999999996,False,2102
1,10,0.3,0.66158357771261,0.01557907113462669,0.014450867052023121,-125.21818181818182,-205.71636363636364,-51.29636363636362,False,411
1,10,0.5,0.66158357771261,0.01557907113462669,0.014450867052023121,-304.6090909090909,-513.2190909090909,-139.85272727272724,False,841
1,10,0.7,0.66158357771261,0.01557907113462669,0.014450867052023121,-692.8,-1068.799318181818,-407.11045454545444,False,1905
1,30,0.3,0.7118971951233016,0.06625766871165645,0.07265774378585087,-146.07272727272726,-246.54272727272726,-62.66318181818182,False,492
1,30,0.5,0.7118971951233016,0.06625766871165645,0.07265774378585087,-334.9,-568.1979545454546,-155.2359090909091,False,983
1,30,0.7,0.7118971951233016,0.06625766871165645,0.07265774378585087,-456.1454545454545,-714.895,-245.6159090909091,False,1583
1,60,0.3,0.7116584868450541,0.10354015987818804,0.09140518417462483,-225.83636363636364,-391.10704545454547,-92.43568181818182,False,437
1,60,0.5,0.7116584868450541,0.10354015987818804,0.09140518417462483,-357.7909090909091,-575.2497727272728,-185.67909090909083,False,799
1,60,0.7,0.7116584868450541,0.10354015987818804,0.09140518417462483,-366.58181818181816,-577.4279545454546,-195.33340909090904,False,1198
1,120,0.3,0.6936757473173225,0.08034083992696288,0.08444444444444445,-15.7,-90.17204545454544,42.500454545454545,False,284
1,120,0.5,0.6936757473173225,0.08034083992696288,0.08444444444444445,-53.80909090909091,-127.70204545454546,11.637500000000005,False,493
1,120,0.7,0.6936757473173225,0.08034083992696288,0.08444444444444445,-76.5909090909091,-168.52818181818182,5.348409090909102,False,794
2,5,0.3,0.6366151100535397,0.007478188616535106,0.00884433962264151,-59.74545454545454,-91.80454545454545,-29.007727272727266,False,274
2,5,0.5,0.6366151100535397,0.007478188616535106,0.00884433962264151,-107.88181818181818,-162.44636363636363,-56.225909090909084,False,847
2,5,0.7,0.6366151100535397,0.007478188616535106,0.00884433962264151,-174.88181818181818,-261.0913636363636,-94.7386363636363,False,1878
2,10,0.3,0.7307442881372843,0.014983351831298557,0.01416347005016229,-22.545454545454547,-52.32068181818182,0.7393181818181925,False,165
2,10,0.5,0.7307442881372843,0.014983351831298557,0.01416347005016229,-42.06363636363636,-93.21272727272726,1.1559090909090959,False,611
2,10,0.7,0.7307442881372843,0.014983351831298557,0.01416347005016229,-76.93636363636364,-147.38954545454544,-13.26931818181817,False,1143
2,30,0.3,0.7544012619196716,0.06964311515676926,0.06246191346739793,-89.77272727272727,-140.8297727272727,-45.93318181818181,False,379
2,30,0.5,0.7544012619196716,0.06964311515676926,0.06246191346739793,-109.75454545454545,-175.99977272727273,-46.8690909090909,False,761
2,30,0.7,0.7544012619196716,0.06964311515676926,0.06246191346739793,-108.94545454545455,-178.82931818181817,-41.15045454545453,False,1133
