SL,TP,daily_cap,amp_min,n_days,mean_per_day,median_per_day,min_day,max_day,pos_days,days_over_200,pct_days_over_200,total_usd
,,,0.0,31,927.3079350113782,626.8440223048196,-597.7888258164734,4575.049624332992,26,24,77.41935483870968,28746.545985352725
,,,1.0,31,927.3079350113782,626.8440223048196,-597.7888258164734,4575.049624332992,26,24,77.41935483870968,28746.545985352725
,,,1.2,31,927.3079350113782,626.8440223048196,-597.7888258164734,4575.049624332992,26,24,77.41935483870968,28746.545985352725
,,,1.5,31,927.3079350113782,626.8440223048196,-597.7888258164734,4575.049624332992,26,24,77.41935483870968,28746.545985352725
,,500.0,0.0,31,885.3907717059747,509.24023211200694,-538.8988267437157,4575.049624332992,25,23,74.19354838709677,27447.113922885215
,,500.0,1.0,31,885.3907717059747,509.24023211200694,-538.8988267437157,4575.049624332992,25,23,74.19354838709677,27447.113922885215
,,500.0,1.2,31,885.3907717059747,509.24023211200694,-538.8988267437157,4575.049624332992,25,23,74.19354838709677,27447.113922885215
,,500.0,1.5,31,885.3907717059747,509.24023211200694,-538.8988267437157,4575.049624332992,25,23,74.19354838709677,27447.113922885215
,200.0,,0.0,31,862.8037295370274,554.3357969717719,-693.6635869176606,3716.052004377491,26,23,74.19354838709677,26746.91561564785
,200.0,,1.0,31,862.8037295370274,554.3357969717719,-693.6635869176606,3716.052004377491,26,23,74.19354838709677,26746.91561564785
,200.0,,1.2,31,862.8037295370274,554.3357969717719,-693.6635869176606,3716.052004377491,26,23,74.19354838709677,26746.91561564785
,200.0,,1.5,31,862.8037295370274,554.3357969717719,-693.6635869176606,3716.052004377491,26,23,74.19354838709677,26746.91561564785
80.0,,,0.0,31,804.6451420745367,509.24023211200694,-1142.3446776980786,4019.298226265874,24,23,74.19354838709677,24943.999404310638
80.0,,,1.0,31,804.6451420745367,509.24023211200694,-1142.3446776980786,4019.298226265874,24,23,74.19354838709677,24943.999404310638
80.0,,,1.2,31,804.6451420745367,509.24023211200694,-1142.3446776980786,4019.298226265874,24,23,74.19354838709677,24943.999404310638
80.0,,,1.5,31,804.6451420745367,509.24023211200694,-1142.3446776980786,4019.298226265874,24,23,74.19354838709677,24943.999404310638
60.0,,,0.0,31,748.3489287412589,509.24023211200694,-1118.0950994039115,4019.298226265874,24,23,74.19354838709677,23198.816790979025
60.0,,,1.0,31,748.3489287412589,509.24023211200694,-1118.0950994039115,4019.298226265874,24,23,74.19354838709677,23198.816790979025
60.0,,,1.2,31,748.3489287412589,509.24023211200694,-1118.0950994039115,4019.298226265874,24,23,74.19354838709677,23198.816790979025
60.0,,,1.5,31,748.3489287412589,509.24023211200694,-1118.0950994039115,4019.298226265874,24,23,74.19354838709677,23198.816790979025
,200.0,500.0,0.0,31,817.3902412916256,554.2864139313338,-548.3511132811406,3716.052004377491,25,22,70.96774193548387,25339.097480040393
,200.0,500.0,1.0,31,817.3902412916256,554.2864139313338,-548.3511132811406,3716.052004377491,25,22,70.96774193548387,25339.097480040393
