**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

realistic_pnl_usd,size_flat,size_gbm_ev,size_gbm_quantile,size_hand_aggressive
76.0,1.0,1.3570241218223824,1.5,1.2
-55.5,1.0,1.554401777348831,1.5,0.8
-75.5,1.0,1.3020568989160886,1.5,1.2
12.0,1.0,0.9897004167622059,0.8,0.8
-95.0,1.0,1.313186161510083,1.5,2.0
-130.0,1.0,1.5407520650937854,1.5,1.2
40.5,1.0,1.4276553456440872,1.5,2.0
112.0,1.0,1.0707596168806384,0.8,1.2
74.5,1.0,1.23536200372671,1.5,1.2
60.0,1.0,1.056439534568427,0.8,1.2
-16.0,1.0,1.0251426725684185,0.8,0.8
-8.5,1.0,1.1115353911361225,0.8,0.8
-66.0,1.0,1.243258002169573,1.5,1.2
-54.5,1.0,1.2475670920099975,1.5,0.8
119.0,1.0,1.4623393452126603,1.5,2.0
45.0,1.0,1.7985238029049033,2.0,1.2
-45.0,1.0,1.458778820291553,1.5,2.0
44.5,1.0,1.6712995255508214,1.5,0.8
-75.5,1.0,1.5935107595862048,1.5,2.0
-18.0,1.0,1.3208817600550642,1.5,1.2
-57.0,1.0,1.337114272077213,1.5,1.2
-12.5,1.0,1.1529347907765084,0.8,2.0
91.0,1.0,1.3054383978300073,1.5,1.2
10.0,1.0,1.3310878218296884,1.5,1.2
12.0,1.0,1.295777514370934,1.5,1.2
-72.5,1.0,1.241526346295109,1.5,1.2
-23.5,1.0,1.285322248484801,1.5,1.2
1575.5,1.0,1.3452030617832333,1.5,2.0
143.0,1.0,2.589271789091567,2.0,1.2
161.5,1.0,2.985120151880304,2.0,2.0
241.0,1.0,2.229063694593864,2.0,1.2
173.5,1.0,2.416627764318268,2.0,1.2
379.0,1.0,1.9708481501148651,2.0,2.0
-8.5,1.0,2.0882137318328557,2.0,1.2
134.0,1.0,1.8346385061799513,2.0,1.2
46.5,1.0,1.8019285214553107,2.0,1.2
2.0,1.0,1.99088266244016,2.0,2.0
60.0,1.0,1.8128822618772484,2.0,2.0
-28.5,1.0,1.6700061589975341,1.5,2.0
-54.0,1.0,1.7549249850131226,2.0,1.2
-48.5,1.0,1.7077942843857081,1.5,1.2
144.0,1.0,1.6243843040765134,1.5,1.2
-72.0,1.0,1.6156258769426386,1.5,2.0
-49.0,1.0,1.587856891936188,1.5,1.2
4.5,1.0,1.517747511177145,1.5,1.2
-65.0,1.0,1.7567803837662597,2.0,2.0
136.0,1.0,1.383722264607357,1.5,2.0
83.5,1.0,2.0597976479060436,2.0,2.0
-14.0,1.0,2.626567601826987,2.0,1.2
21.5,1.0,2.1223318204701513,2.0,2.0
-39.0,1.0,1.9213078667313201,2.0,2.0
-48.5,1.0,1.8681815442355418,2.0,2.0
-2.5,1.0,1.8276727741696321,2.0,1.2
140.0,1.0,2.004337541851198,2.0,2.0
-9.0,1.0,1.5219881547067322,1.5,1.2
-93.5,1.0,1.5205089738169875,1.5,1.2
-16.0,1.0,1.720447704514514,1.5,1.2
-28.0,1.0,1.7962641300472466,2.0,1.2
-68.5,1.0,1.6090523794070166,1.5,2.0
27.0,1.0,1.6983273246016002,1.5,1.2
-4.5,1.0,1.506060570582429,1.5,1.2
-64.5,1.0,1.6437305906151596,1.5,1.2
376.5,1.0,1.4822497622055022,1.5,2.0
26.5,1.0,1.9781828358523357,2.0,2.0
123.0,1.0,1.8470467850216057,2.0,1.2
70.5,1.0,1.8688890117372212,2.0,1.2
1.0,1.0,1.7595447289087587,2.0,0.8
-73.5,1.0,1.4842347215616987,1.5,1.2
-29.0,1.0,1.5340335353771017,1.5,2.0
160.0,1.0,1.4265020668333879,1.5,1.2
-2.5,1.0,1.3149460927182322,1.5,1.2
26.0,1.0,1.3586978067113082,1.5,2.0
-64.0,1.0,1.2372409256549113,1.5,0.8
69.0,1.0,1.9004505591152947,2.0,2.0
-25.0,1.0,1.5105651602463315,1.5,2.0
-50.5,1.0,1.0509859366611916,0.8,0.8
134.0,1.0,1.0749951767871373,0.8,2.0
-17.0,1.0,1.7385688774638193,2.0,2.0
-59.5,1.0,1.1101022146227408,0.8,0.0
58.0,1.0,0.9296103506140709,0.8,0.8
218.5,1.0,0.9402321751341192,0.8,0.8
34.5,1.0,1.3688732602068456,1.5,1.2
94.0,1.0,1.0170042223816282,0.8,0.8
-20.0,1.0,1.9491985826551121,2.0,1.2
-41.0,1.0,1.0641100409837554,0.8,0.8
-97.0,1.0,1.8036434805534176,2.0,1.2
-86.0,1.0,1.3489617074665645,1.5,0.8
-45.0,1.0,1.1609138606504232,0.8,2.0
8.5,1.0,1.0749723825344786,0.8,0.8
-15.5,1.0,1.3023708224381854,1.5,2.0
-41.5,1.0,0.9635950732417977,0.8,0.8
-65.5,1.0,0.9004513236737011,0.5,2.0
-70.0,1.0,0.9706359199625911,0.8,1.2
-10.5,1.0,1.15470643585979,0.8,0.8
38.5,1.0,0.8895502093443635,0.5,1.2
-64.0,1.0,0.9849012389740497,0.8,1.2
21.0,1.0,1.6341187002581061,1.5,0.8
125.5,1.0,1.0760384973568344,0.8,0.0
-1.0,1.0,1.1204353223870864,0.8,1.2
-31.5,1.0,1.204069582464116,1.5,2.0
71.5,1.0,1.105784718171701,0.8,2.0
-66.5,1.0,1.4153500893368598,1.5,1.2
-26.5,1.0,1.2881943662430357,1.5,2.0
-70.0,1.0,1.3669028995740256,1.5,0.8
35.5,1.0,1.2275397644529864,1.5,1.2
106.5,1.0,1.4985822272771423,1.5,2.0
-41.0,1.0,1.4708165468091527,1.5,2.0
-28.5,1.0,1.503598376133227,1.5,1.2
-36.5,1.0,1.1752466729683082,1.5,1.2
-40.0,1.0,1.376394839232824,1.5,1.2
-50.5,1.0,1.3135810140664597,1.5,2.0
-46.5,1.0,1.619893677941692,1.5,1.2
-28.5,1.0,1.1875894172699577,1.5,0.8
-43.0,1.0,1.1212082868664774,0.8,0.8
73.0,1.0,1.15829390330408,0.8,0.8
46.0,1.0,2.0970650271755384,2.0,2.0
-7.5,1.0,1.3746291951268068,1.5,2.0
-37.5,1.0,1.267323858906288,1.5,0.8
70.0,1.0,1.2140298363303197,1.5,0.8
-109.0,1.0,1.0616471567487142,0.8,1.2
56.0,1.0,1.3458476696622603,1.5,1.2
36.5,1.0,2.033529767533185,2.0,1.2
135.5,1.0,2.2726655168998473,2.0,2.0
-1.0,1.0,2.392288457669335,2.0,2.0
37.5,1.0,2.3638541815948324,2.0,2.0
71.0,1.0,2.3170493115594817,2.0,1.2
-38.0,1.0,2.204615051493697,2.0,1.2
-2.0,1.0,2.003981065256054,2.0,1.2
50.5,1.0,2.158691775386192,2.0,1.2
-22.5,1.0,2.483149559337231,2.0,2.0
-27.5,1.0,2.1429944673943555,2.0,1.2
-20.5,1.0,1.774422802052328,2.0,1.2
-24.0,1.0,2.1252843459313144,2.0,1.2
-11.5,1.0,1.7644732696256744,2.0,1.2
-6.0,1.0,2.029292175058583,2.0,1.2
156.0,1.0,1.782693993532749,2.0,2.0
127.0,1.0,2.738049537153558,2.0,2.0
138.5,1.0,3.0,2.0,2.0
15.0,1.0,2.2149829664755276,2.0,1.2
-4.0,1.0,1.7834263373088035,2.0,2.0
72.5,1.0,1.4761369835028342,1.5,2.0
7.5,1.0,1.6336525543730405,1.5,1.2
51.0,1.0,1.6396113625237398,1.5,2.0
-10.5,1.0,1.4482772170077025,1.5,1.2
154.5,1.0,1.7291031027625219,1.5,2.0
