day,n_pivots,n_imm_fired,sum_edge_usd,mean_edge_usd,imm_fire_rate
2026_03_20,51,32,-1772.0,-55.375,0.6274509803921569
2026_03_22,16,7,-15.0,-2.142857142857143,0.4375
2026_03_23,85,26,-2329.0,-89.57692307692308,0.3058823529411765
2026_03_24,77,13,-780.0,-60.0,0.16883116883116883
2026_03_25,57,0,0.0,,0.0
2026_03_26,82,15,-422.5,-28.166666666666668,0.18292682926829268
2026_03_27,40,6,-60.0,-10.0,0.15
2026_03_29,21,0,0.0,,0.0
2026_03_30,36,0,0.0,,0.0
2026_03_31,53,1,-24.0,-24.0,0.018867924528301886
2026_04_01,56,2,12.0,6.0,0.03571428571428571
2026_04_02,91,0,0.0,,0.0
2026_04_03,1,0,0.0,,0.0
2026_04_05,17,0,0.0,,0.0
2026_04_06,40,6,-200.0,-33.333333333333336,0.15
2026_04_07,92,27,-1958.5,-72.53703703703704,0.29347826086956524
2026_04_08,67,13,-382.0,-29.384615384615383,0.19402985074626866
2026_04_09,83,1,8.5,8.5,0.012048192771084338
2026_04_10,63,14,-236.0,-16.857142857142858,0.2222222222222222
2026_04_12,31,0,0.0,,0.0
2026_04_13,89,1,-72.0,-72.0,0.011235955056179775
2026_04_14,64,0,0.0,,0.0
2026_04_15,70,0,0.0,,0.0
2026_04_16,71,18,-704.0,-39.111111111111114,0.2535211267605634
2026_04_17,73,10,-297.0,-29.7,0.136986301369863
2026_04_19,9,0,0.0,,0.0
2026_04_20,81,14,-370.5,-26.464285714285715,0.1728395061728395
2026_04_21,109,45,-1553.5,-34.522222222222226,0.41284403669724773
2026_04_22,67,2,-47.5,-23.75,0.029850746268656716
2026_04_23,76,27,-1820.5,-67.42592592592592,0.35526315789473684
2026_04_24,73,0,0.0,,0.0
2026_04_26,5,0,0.0,,0.0
