mode,target_factor,n_legs,target_hit_rate,edge_mean_per_leg,edge_median_per_leg,edge_ci_lo,edge_ci_hi,pos_pct,neg_pct,zero_pct,mean_per_day,median_per_day,per_day_ci_lo,per_day_ci_hi,positive_days,total_days
STATIC,2.0,1827,0.45429666119321294,-17.92546980478015,0.0,-20.193123973727424,-15.73996989600438,0.10454296661193213,0.3459222769567597,0.5495347564313081,-1023.4322916666667,-945.5,-1231.2141927083333,-828.4466145833334,0,32
STATIC,1.5,1827,0.6808976464148878,-27.760353950009126,-4.0,-30.456668491151248,-25.16129584017515,0.1477832512315271,0.5281882868089764,0.3240284619594964,-1584.9427083333335,-1515.75,-1894.660807291667,-1294.7661458333332,0,32
STATIC,1.25,1827,0.8237547892720306,-34.527321656632004,-14.5,-37.43703817733991,-31.692279009304873,0.16584564860426929,0.6546250684181719,0.17952928297755885,-1971.2942708333335,-1883.75,-2355.074934895834,-1611.3128255208335,0,32
ZONE_AWARE,2.0,1827,0.735632183908046,-34.7210363072432,-12.0,-37.65600483488415,-31.963063309615038,0.14012041598248495,0.5900383141762452,0.2698412698412698,-1982.3541666666667,-1701.5,-2423.101171875,-1572.0936197916667,0,32
STATIC,1.0,1827,0.9671592775041051,-43.37693851486955,-25.5,-46.41831782521438,-40.384494161649336,0.16967706622879036,0.7909140667761357,0.03940886699507389,-2476.5520833333335,-2405.0,-2933.1639322916667,-2033.0424479166668,0,32
ZONE_AWARE,1.5,1827,0.8412698412698413,-44.96807151979566,-25.75,-48.05068874293013,-42.038074712643684,0.1143951833607006,0.7241379310344828,0.16146688560481665,-2567.3958333333335,-2398.125,-3107.4278645833333,-2056.5101562500004,0,32
ZONE_AWARE,1.25,1827,0.9085933223864259,-50.803252143769384,-32.375,-53.95122411512498,-47.77142344006568,0.11658456486042693,0.7898193760262726,0.09359605911330049,-2900.5481770833335,-2900.5625,-3501.2620768229167,-2330.844694010417,0,32
STATIC,0.75,1827,0.9950738916256158,-55.01254333150885,-37.0,-58.19468276774312,-51.913404260171504,0.10180623973727422,0.8905309250136836,0.007662835249042145,-3140.8723958333335,-3063.791666666668,-3710.19296875,-2581.5468098958336,0,32
ZONE_AWARE,1.0,1827,0.9786535303776683,-57.2781426746944,-39.5,-60.45337073526729,-54.1993044152527,0.1056376573617953,0.8691844553913519,0.025177887246852763,-3270.2239583333335,-3308.25,-3924.2106770833334,-2649.0885416666665,0,32
ZONE_AWARE,0.75,1827,0.9972632731253421,-65.2145137748586,-46.5,-68.45079251049079,-62.07708333333333,0.0749863163656267,0.9217296113847838,0.003284072249589491,-3723.3411458333335,-3700.1875,-4447.058528645834,-3027.0803385416666,0,32
STATIC,0.5,1827,0.9983579638752053,-67.02827951103814,-48.0,-70.29500775405948,-63.87121419449006,0.07279693486590039,0.9250136836343733,0.0021893814997263274,-3826.8958333333335,-3738.75,-4513.224869791667,-3145.0520833333335,0,32
ZONE_AWARE,0.5,1827,0.9989053092501369,-73.64609560299216,-54.0,-76.94056399379676,-70.44840585659551,0.05692391899288451,0.9414340448823207,0.0016420361247947454,-4204.731770833334,-4124.875,-4989.631575520833,-3436.8083984375003,0,32
