K,fold,b9_alone_per_day,combined_per_day,incremental,ci_lo,ci_hi,significant,n_capped
5,1,101.98636363636363,101.98636363636363,0.0,0.0,0.0,False,0
5,2,25.822727272727274,25.822727272727274,0.0,0.0,0.0,False,0
5,3,1.481818181818182,1.481818181818182,0.0,0.0,0.0,False,0
5,4,62.377272727272725,62.377272727272725,0.0,0.0,0.0,False,0
10,1,-1.8909090909090909,-1.8909090909090909,0.0,0.0,0.0,False,0
10,2,29.46818181818182,29.46818181818182,0.0,0.0,0.0,False,0
10,3,3.790909090909091,3.790909090909091,0.0,0.0,0.0,False,0
10,4,20.168181818181818,20.168181818181818,0.0,0.0,0.0,False,0
30,1,-1.3636363636363635,-1.3636363636363635,0.0,0.0,0.0,False,0
30,2,-6.254545454545455,-6.254545454545455,0.0,0.0,0.0,False,0
30,3,1.2181818181818183,1.2181818181818183,0.0,0.0,0.0,False,0
30,4,-0.38181818181818183,-0.38181818181818183,0.0,0.0,0.0,False,0
60,1,29.931818181818183,29.936363636363637,0.004545454545454545,0.0,0.013636363636363636,False,2
60,2,14.6,14.6,0.0,0.0,0.0,False,0
60,3,14.213636363636363,12.00909090909091,-2.2045454545454546,-5.348068181818181,0.0,False,3
60,4,3.0454545454545454,3.0454545454545454,0.0,0.0,0.0,False,0
120,1,-12.781818181818181,-12.836363636363636,-0.05454545454545454,-2.1,1.8318181818181818,False,11
120,2,21.65909090909091,18.663636363636364,-2.9954545454545456,-7.386363636363637,0.0,False,3
120,3,14.75,11.727272727272727,-3.022727272727273,-7.568522727272727,0.2863636363636364,False,4
120,4,12.961538461538462,10.20673076923077,-2.7548076923076925,-5.846274038461538,-0.125,False,11
