fold,K,pearson,mae,val_legs,val_days
1,5,0.2623617380570911,0.038670028407316565,3813,55
1,10,0.31828284123262185,0.07194554183951526,3806,55
1,30,0.41880126110126065,0.16436512586080898,3661,55
1,60,0.41613382582035385,0.19613442461906128,2932,55
1,120,0.3996443083561378,0.20014580004277993,1800,55
2,5,0.33737036387924507,0.034744311084920106,3392,55
2,10,0.3666721253222011,0.06507729060792815,3389,55
2,30,0.47517187880405815,0.15276573540579888,3282,55
2,60,0.4934751540832232,0.1843985710401514,2671,55
2,120,0.43196863936861796,0.19093559360733575,1731,55
3,5,0.33995413698518767,0.03508214757752301,3700,55
3,10,0.38576316287961904,0.06709597664462737,3694,55
3,30,0.488097278830654,0.15848335569848165,3574,55
3,60,0.49690406347253,0.18855145767943263,2839,55
3,120,0.4886098545904777,0.1901097855330843,1755,55
4,5,0.3570847355239595,0.033996824227541224,3422,55
4,10,0.37045105489151925,0.06608200164676147,3417,55
4,30,0.48985877557923063,0.15406062897140224,3308,55
4,60,0.5104786896203255,0.18432137348834432,2716,55
4,120,0.49424889660417687,0.18921967338646747,1734,52
