**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

side,entry_utc,exit_utc,entry_px,exit_px,pnl,dur_min,reason,entry_z_15m,entry_pos,slope_long,slope_short,peak_ticks,worst_ticks
LONG,2026-01-05 23:58:00,2026-01-06 00:43:00,25565.0,25557.5,-15.0,45.0,time_stop,-2.163,0.057,-0.538,0.213,53.0,-41.0
SHORT,2026-01-06 01:37:00,2026-01-06 02:22:00,25594.25,25600.0,-11.5,45.0,time_stop,1.72,0.456,0.606,-0.125,8.0,-44.0
SHORT,2026-01-06 02:46:00,2026-01-06 03:31:00,25613.75,25624.25,-21.0,45.0,time_stop,1.631,0.726,0.739,-0.221,0.0,-57.0
SHORT,2026-01-06 06:30:00,2026-01-06 07:15:00,25662.5,25660.0,5.0,45.0,time_stop,1.725,1.991,0.448,-0.317,25.0,-44.0
LONG,2026-01-06 08:38:00,2026-01-06 08:39:00,25550.5,25545.75,-9.5,1.0,stop_z_extension,-2.615,-1.56,-1.746,0.629,0.0,-19.0
SHORT,2026-01-06 11:02:00,2026-01-06 11:47:00,25599.25,25593.75,11.0,45.0,time_stop,1.696,0.112,0.448,-0.312,32.0,-15.0
SHORT,2026-01-06 12:02:00,2026-01-06 12:12:00,25604.25,25613.5,-18.5,10.0,stop_z_extension,1.869,0.233,0.607,-1.071,22.0,-37.0
SHORT,2026-01-06 12:35:00,2026-01-06 12:43:00,25617.25,25633.5,-32.5,8.0,stop_z_extension,1.995,0.622,0.364,-0.133,6.0,-65.0
SHORT,2026-01-06 13:04:00,2026-01-06 13:47:00,25643.5,25610.0,67.0,43.0,target_15m_mean,2.083,1.174,0.456,-0.367,134.0,0.0
SHORT,2026-01-06 15:06:00,2026-01-06 15:07:00,25760.5,25762.75,-4.5,1.0,stop_z_extension,3.127,3.017,2.36,-0.625,0.0,-9.0
SHORT,2026-01-06 15:22:00,2026-01-06 16:02:00,25750.5,25673.75,153.5,40.0,target_15m_mean,1.994,2.949,0.716,-1.271,307.0,-93.0
SHORT,2026-01-06 17:44:00,2026-01-06 18:29:00,25768.25,25759.5,17.5,45.0,time_stop,1.552,2.611,2.697,-0.279,79.0,-40.0
SHORT,2026-01-06 18:56:00,2026-01-06 19:41:00,25794.5,25818.25,-47.5,45.0,time_stop,1.648,2.689,2.358,-0.167,0.0,-95.0
SHORT,2026-01-06 21:53:00,2026-01-06 23:00:00,25832.0,25834.75,-5.5,67.0,time_stop,2.139,2.642,0.508,-0.125,14.0,-11.0
LONG,2026-01-07 01:27:00,2026-01-07 01:28:00,25815.0,25815.0,0.0,1.0,stop_z_extension,-2.86,1.623,-1.07,0.446,0.0,0.0
LONG,2026-01-07 01:54:00,2026-01-07 02:05:00,25814.5,25829.0,29.0,11.0,target_15m_mean,-1.937,1.668,-0.342,0.438,58.0,0.0
LONG,2026-01-07 02:39:00,2026-01-07 03:18:00,25810.0,25820.25,20.5,39.0,target_15m_mean,-1.514,1.24,-0.526,0.304,41.0,-30.0
LONG,2026-01-07 04:16:00,2026-01-07 04:20:00,25789.5,25787.25,-4.5,4.0,stop_z_extension,-2.568,0.529,-0.705,0.279,4.0,-9.0
LONG,2026-01-07 06:50:00,2026-01-07 07:35:00,25773.75,25768.5,-10.5,45.0,time_stop,-1.767,-0.388,-0.651,0.183,20.0,-21.0
LONG,2026-01-07 09:13:00,2026-01-07 09:14:00,25745.0,25743.5,-3.0,1.0,stop_z_extension,-2.661,-1.964,-1.481,0.108,0.0,-6.0
LONG,2026-01-07 09:30:00,2026-01-07 10:15:00,25746.25,25758.25,24.0,45.0,time_stop,-1.656,-1.995,-0.312,1.704,56.0,-11.0
LONG,2026-01-07 10:38:00,2026-01-07 11:23:00,25737.75,25745.0,14.5,45.0,time_stop,-1.545,-1.914,-0.748,0.896,42.0,-33.0
SHORT,2026-01-07 11:48:00,2026-01-07 12:10:00,25759.25,25778.5,-38.5,22.0,stop_z_extension,1.544,-0.713,0.676,-0.175,3.0,-77.0
SHORT,2026-01-07 14:53:00,2026-01-07 14:54:00,25870.0,25854.25,31.5,1.0,stop_z_extension,3.509,3.347,2.345,-0.421,63.0,0.0
SHORT,2026-01-07 15:40:00,2026-01-07 16:25:00,25870.5,25890.25,-39.5,45.0,time_stop,1.581,3.357,2.44,-1.658,114.0,-229.0
SHORT,2026-01-07 16:53:00,2026-01-07 17:38:00,25951.25,25980.75,-59.0,45.0,time_stop,1.711,4.514,4.154,-0.729,0.0,-149.0
LONG,2026-01-07 20:21:00,2026-01-07 21:06:00,25876.75,25825.5,-102.5,45.0,time_stop,-1.609,1.247,-2.871,1.8,0.0,-233.0
LONG,2026-01-08 00:33:00,2026-01-08 00:37:00,25817.0,25831.0,28.0,4.0,target_15m_mean,-1.571,-0.215,-1.018,0.137,56.0,0.0
LONG,2026-01-08 02:55:00,2026-01-08 02:56:00,25791.5,25783.0,-17.0,1.0,stop_z_extension,-2.739,-0.824,-1.406,0.337,0.0,-34.0
LONG,2026-01-08 03:44:00,2026-01-08 04:29:00,25775.5,25783.5,16.0,45.0,time_stop,-1.905,-0.959,-0.72,0.238,66.0,-21.0
LONG,2026-01-08 05:40:00,2026-01-08 05:41:00,25751.0,25748.75,-4.5,1.0,stop_z_extension,-2.692,-1.752,-1.201,0.458,0.0,-9.0
LONG,2026-01-08 10:19:00,2026-01-08 10:57:00,25748.25,25771.5,46.5,38.0,target_15m_mean,-1.532,-0.271,-0.779,0.912,93.0,-4.0
SHORT,2026-01-08 13:28:00,2026-01-08 13:29:00,25807.75,25804.0,7.5,1.0,stop_z_extension,4.047,1.147,2.11,-0.454,15.0,0.0
LONG,2026-01-08 14:50:00,2026-01-08 14:51:00,25636.0,25633.75,-4.5,1.0,stop_z_extension,-2.721,-1.8,-5.706,4.075,0.0,-9.0
LONG,2026-01-08 15:07:00,2026-01-08 15:52:00,25652.25,25641.0,-22.5,45.0,time_stop,-1.502,-1.894,-4.478,4.017,207.0,-88.0
SHORT,2026-01-08 20:54:00,2026-01-08 21:39:00,25691.5,25725.25,-67.5,45.0,time_stop,1.851,0.112,0.517,-0.371,35.0,-135.0
LONG,2026-01-09 01:33:00,2026-01-09 02:18:00,25638.75,25657.0,36.5,45.0,time_stop,-1.99,-0.093,-1.211,0.471,88.0,-37.0
SHORT,2026-01-09 06:06:00,2026-01-09 06:18:00,25687.5,25676.0,23.0,12.0,target_15m_mean,1.523,0.962,2.348,-0.417,46.0,0.0
LONG,2026-01-09 07:36:00,2026-01-09 08:01:00,25659.5,25682.0,45.0,25.0,target_15m_mean,-2.049,0.147,-0.905,0.275,90.0,0.0
SHORT,2026-01-09 09:43:00,2026-01-09 10:28:00,25713.0,25729.5,-33.0,45.0,time_stop,2.577,1.393,1.341,-0.438,8.0,-93.0
SHORT,2026-01-09 13:43:00,2026-01-09 13:44:00,25790.5,25794.25,-7.5,1.0,stop_z_extension,4.362,3.25,4.466,-0.292,0.0,-15.0
SHORT,2026-01-09 14:07:00,2026-01-09 14:17:00,25800.0,25751.5,97.0,10.0,target_15m_mean,1.954,3.214,1.496,-0.146,194.0,0.0
SHORT,2026-01-09 15:39:00,2026-01-09 16:09:00,25842.5,25885.0,-85.0,30.0,stop_z_extension,2.089,3.47,3.615,-1.537,298.0,-170.0
SHORT,2026-01-09 17:03:00,2026-01-09 17:48:00,25923.0,25926.25,-6.5,45.0,time_stop,1.713,2.781,0.649,-1.821,145.0,-13.0
SHORT,2026-01-09 18:48:00,2026-01-09 19:33:00,25950.5,25953.5,-6.0,45.0,time_stop,1.625,2.929,1.036,-2.846,0.0,-63.0
LONG,2026-01-09 21:42:00,2026-01-11 23:00:00,25928.25,25905.0,-46.5,2958.0,stop_z_extension,-1.779,1.849,-0.359,0.271,17.0,-93.0
LONG,2026-01-11 23:24:00,2026-01-12 00:09:00,25901.25,25871.25,-60.0,45.0,time_stop,-2.196,1.284,-1.326,1.504,34.0,-135.0
LONG,2026-01-12 00:30:00,2026-01-12 00:38:00,25850.0,25783.0,-134.0,8.0,stop_z_extension,-2.072,0.651,-0.496,0.45,0.0,-268.0
LONG,2026-01-12 01:08:00,2026-01-12 01:53:00,25786.75,25773.0,-27.5,45.0,time_stop,-2.05,-0.317,-0.974,0.604,0.0,-211.0
LONG,2026-01-12 04:11:00,2026-01-12 04:56:00,25722.25,25728.25,12.0,45.0,time_stop,-2.181,-1.073,-0.767,0.233,60.0,-16.0
LONG,2026-01-12 05:23:00,2026-01-12 05:25:00,25717.25,25695.0,-44.5,2.0,stop_z_extension,-1.847,-1.698,-1.405,0.479,0.0,-89.0
SHORT,2026-01-12 07:14:00,2026-01-12 07:59:00,25735.25,25731.5,7.5,45.0,time_stop,1.589,-1.092,1.712,-0.183,41.0,-3.0
SHORT,2026-01-12 12:15:00,2026-01-12 12:52:00,25735.5,25758.25,-45.5,37.0,stop_z_extension,1.573,0.587,1.294,-0.154,31.0,-91.0
SHORT,2026-01-12 13:25:00,2026-01-12 14:10:00,25748.5,25741.5,14.0,45.0,time_stop,1.687,1.12,1.724,-0.45,41.0,-35.0
SHORT,2026-01-12 14:45:00,2026-01-12 14:46:00,25847.75,25855.75,-16.0,1.0,stop_z_extension,2.877,3.747,4.756,-0.271,0.0,-32.0
SHORT,2026-01-12 15:02:00,2026-01-12 15:47:00,25896.25,25891.0,10.5,45.0,time_stop,2.435,3.459,2.725,-0.908,97.0,-142.0
SHORT,2026-01-12 18:29:00,2026-01-12 19:14:00,25991.0,25981.0,20.0,45.0,time_stop,1.633,3.894,1.07,-0.467,102.0,-2.0
SHORT,2026-01-12 19:42:00,2026-01-12 20:27:00,26008.25,25992.75,31.0,45.0,time_stop,2.086,3.797,0.877,-0.45,83.0,-37.0
LONG,2026-01-12 20:51:00,2026-01-12 20:59:00,25964.75,25952.0,-25.5,8.0,stop_z_extension,-1.875,2.937,-0.405,0.15,39.0,-51.0
LONG,2026-01-12 21:59:00,2026-01-12 23:00:00,25942.25,25939.5,-5.5,61.0,time_stop,-2.127,2.023,-2.068,0.767,0.0,-11.0
LONG,2026-01-12 23:15:00,2026-01-13 00:00:00,25934.5,25889.75,-89.5,45.0,time_stop,-1.535,1.443,-0.326,1.633,10.0,-179.0
SHORT,2026-01-13 06:38:00,2026-01-13 07:23:00,25919.5,25920.0,-1.0,45.0,time_stop,1.788,0.429,0.416,-0.196,44.0,-49.0
SHORT,2026-01-13 09:12:00,2026-01-13 09:36:00,25926.25,25915.25,22.0,24.0,target_15m_mean,1.999,0.845,0.994,-1.1,44.0,-31.0
LONG,2026-01-13 10:22:00,2026-01-13 11:07:00,25884.5,25893.75,18.5,45.0,time_stop,-1.978,-0.082,-1.316,1.221,39.0,-30.0
SHORT,2026-01-13 12:35:00,2026-01-13 12:56:00,25912.75,25892.5,40.5,21.0,target_15m_mean,1.547,1.101,0.406,-0.329,81.0,-21.0
SHORT,2026-01-13 13:38:00,2026-01-13 13:39:00,25978.25,25981.5,-6.5,1.0,stop_z_extension,5.774,4.104,11.705,-0.279,0.0,-13.0
SHORT,2026-01-13 14:09:00,2026-01-13 14:41:00,25970.75,26040.75,-140.0,32.0,stop_z_extension,1.709,2.053,0.681,-0.204,86.0,-280.0
LONG,2026-01-13 15:33:00,2026-01-13 16:18:00,25850.75,25914.5,127.5,45.0,time_stop,-1.859,-1.062,-3.301,0.504,264.0,-151.0
SHORT,2026-01-13 17:02:00,2026-01-13 17:44:00,26013.25,25927.0,172.5,42.0,target_15m_mean,1.541,1.822,2.233,-1.383,345.0,-15.0
LONG,2026-01-13 19:03:00,2026-01-13 19:48:00,25831.25,25846.5,30.5,45.0,time_stop,-1.631,-0.335,-1.286,0.879,154.0,-23.0
SHORT,2026-01-13 21:10:00,2026-01-13 21:55:00,25916.25,25897.0,38.5,45.0,time_stop,2.21,0.623,2.586,-0.533,77.0,-3.0
LONG,2026-01-14 04:57:00,2026-01-14 05:42:00,25881.25,25867.5,-27.5,45.0,time_stop,-1.575,0.305,-1.126,0.108,5.0,-79.0
LONG,2026-01-14 05:57:00,2026-01-14 06:42:00,25856.75,25856.25,-1.0,45.0,time_stop,-1.907,-0.041,-0.605,0.446,26.0,-60.0
LONG,2026-01-14 08:40:00,2026-01-14 08:41:00,25847.0,25843.5,-7.0,1.0,stop_z_extension,-2.538,-0.253,-1.236,0.254,0.0,-14.0
LONG,2026-01-14 10:10:00,2026-01-14 10:12:00,25848.25,25839.5,-17.5,2.0,stop_z_extension,-2.096,-0.608,-0.815,0.529,3.0,-35.0
LONG,2026-01-14 14:36:00,2026-01-14 14:37:00,25701.0,25699.5,-3.0,1.0,stop_z_extension,-3.2,-1.531,-2.564,3.638,0.0,-6.0
SHORT,2026-01-14 19:50:00,2026-01-14 20:00:00,25526.0,25474.0,104.0,10.0,target_15m_mean,1.698,-1.269,0.388,-0.225,208.0,-14.0
SHORT,2026-01-14 20:15:00,2026-01-14 20:32:00,25541.5,25598.5,-114.0,17.0,stop_z_extension,1.66,-0.468,5.767,-3.646,41.0,-228.0
SHORT,2026-01-14 21:08:00,2026-01-14 21:53:00,25631.75,25627.5,8.5,45.0,time_stop,2.143,0.562,3.94,-0.508,90.0,-13.0
SHORT,2026-01-15 01:11:00,2026-01-15 01:31:00,25628.5,25597.25,62.5,20.0,target_15m_mean,1.665,0.869,3.64,-0.125,125.0,0.0
SHORT,2026-01-15 01:55:00,2026-01-15 01:57:00,25622.75,25628.75,-12.0,2.0,stop_z_extension,2.133,0.733,1.12,-0.196,0.0,-24.0
LONG,2026-01-15 04:06:00,2026-01-15 04:51:00,25581.25,25581.25,0.0,45.0,time_stop,-2.171,0.741,-0.629,0.4,62.0,-8.0
SHORT,2026-01-15 05:37:00,2026-01-15 05:44:00,25622.0,25637.5,-31.0,7.0,stop_z_extension,1.896,1.23,0.669,-0.921,0.0,-62.0
SHORT,2026-01-15 06:30:00,2026-01-15 06:40:00,25699.25,25709.5,-20.5,10.0,stop_z_extension,2.508,2.427,1.37,-0.367,47.0,-41.0
SHORT,2026-01-15 09:46:00,2026-01-15 10:31:00,25831.0,25814.0,34.0,45.0,time_stop,2.087,3.404,1.464,-0.496,121.0,0.0
SHORT,2026-01-15 12:58:00,2026-01-15 13:08:00,25850.0,25863.0,-26.0,10.0,stop_z_extension,2.014,3.464,1.269,-0.121,57.0,-52.0
SHORT,2026-01-15 13:55:00,2026-01-15 14:04:00,25897.75,25914.0,-32.5,9.0,stop_z_extension,2.513,4.069,1.334,-1.133,24.0,-65.0
SHORT,2026-01-15 14:32:00,2026-01-15 14:38:00,25917.25,25856.5,121.5,6.0,target_15m_mean,1.667,4.121,1.993,-2.754,243.0,0.0
LONG,2026-01-15 19:11:00,2026-01-15 19:12:00,25847.75,25841.0,-13.5,1.0,stop_z_extension,-2.457,0.715,-3.85,1.254,0.0,-27.0
LONG,2026-01-15 19:38:00,2026-01-15 19:43:00,25786.0,25785.25,-1.5,5.0,stop_z_extension,-2.713,-0.35,-4.294,0.804,51.0,-3.0
LONG,2026-01-15 20:05:00,2026-01-15 20:50:00,25768.5,25700.25,-136.5,45.0,time_stop,-1.777,-0.631,-3.289,0.633,0.0,-294.0
SHORT,2026-01-16 00:01:00,2026-01-16 00:46:00,25749.75,25760.25,-21.0,45.0,time_stop,1.813,-0.662,0.303,-1.162,69.0,-42.0
SHORT,2026-01-16 01:40:00,2026-01-16 02:25:00,25773.5,25782.5,-18.0,45.0,time_stop,1.753,-0.099,2.364,-0.404,36.0,-54.0
SHORT,2026-01-16 02:42:00,2026-01-16 03:27:00,25792.0,25791.5,1.0,45.0,time_stop,1.849,0.162,0.388,-0.583,20.0,-25.0
SHORT,2026-01-16 04:24:00,2026-01-16 05:08:00,25805.0,25812.75,-15.5,44.0,stop_z_extension,2.064,0.559,1.706,-0.196,35.0,-31.0
SHORT,2026-01-16 05:34:00,2026-01-16 06:19:00,25814.75,25812.75,4.0,45.0,time_stop,1.745,0.91,0.546,-0.104,40.0,0.0
SHORT,2026-01-16 07:58:00,2026-01-16 08:01:00,25828.75,25842.75,-28.0,3.0,stop_z_extension,2.008,1.645,0.805,-0.45,20.0,-56.0
SHORT,2026-01-16 09:01:00,2026-01-16 09:05:00,25830.25,25837.75,-15.0,4.0,stop_z_extension,2.019,1.675,0.365,-2.317,13.0,-30.0
SHORT,2026-01-16 09:35:00,2026-01-16 09:52:00,25835.0,25821.5,27.0,17.0,target_15m_mean,1.539,2.128,1.361,-0.296,54.0,0.0
SHORT,2026-01-16 10:53:00,2026-01-16 11:38:00,25856.25,25860.0,-7.5,45.0,time_stop,2.313,2.812,0.516,-0.683,30.0,-63.0
LONG,2026-01-16 13:16:00,2026-01-16 14:01:00,25819.75,25831.0,22.5,45.0,time_stop,-1.612,0.674,-1.129,0.146,67.0,-55.0
SHORT,2026-01-16 14:28:00,2026-01-16 14:30:00,25860.5,25882.75,-44.5,2.0,stop_z_extension,1.751,1.369,0.912,-1.296,0.0,-89.0
LONG,2026-01-16 15:07:00,2026-01-16 15:12:00,25747.75,25732.5,-30.5,5.0,stop_z_extension,-2.309,-1.264,-4.921,3.312,48.0,-61.0
LONG,2026-01-19 04:19:00,2026-01-19 05:04:00,25376.25,25387.0,21.5,45.0,time_stop,-1.754,-1.996,-0.614,1.029,72.0,-8.0
LONG,2026-01-19 07:16:00,2026-01-19 07:29:00,25372.5,25360.0,-25.0,13.0,stop_z_extension,-1.844,-1.596,-0.48,3.529,25.0,-50.0
LONG,2026-01-19 09:31:00,2026-01-19 09:36:00,25318.5,25286.0,-65.0,5.0,stop_z_extension,-1.883,-1.554,-1.41,0.662,0.0,-130.0
LONG,2026-01-19 10:07:00,2026-01-19 10:52:00,25288.75,25286.75,-4.0,45.0,time_stop,-1.587,-1.589,-1.031,0.896,88.0,-78.0
SHORT,2026-01-19 12:50:00,2026-01-19 13:20:00,25328.75,25290.25,77.0,30.0,target_15m_mean,1.769,-0.038,2.576,-0.758,154.0,-58.0
SHORT,2026-01-19 16:23:00,2026-01-19 17:08:00,25361.0,25388.25,-54.5,45.0,time_stop,1.531,1.098,1.551,-0.7,97.0,-136.0
LONG,2026-01-20 00:23:00,2026-01-20 00:38:00,25348.0,25391.25,86.5,15.0,target_15m_mean,-1.527,0.66,-1.085,0.633,173.0,-90.0
LONG,2026-01-20 04:20:00,2026-01-20 04:57:00,25399.75,25380.75,-38.0,37.0,stop_z_extension,-1.841,1.23,-0.509,0.483,35.0,-76.0
LONG,2026-01-20 06:40:00,2026-01-20 06:41:00,25284.5,25289.5,10.0,1.0,stop_z_extension,-3.318,-0.962,-2.441,1.496,20.0,0.0
LONG,2026-01-20 07:11:00,2026-01-20 07:56:00,25301.0,25289.5,-23.0,45.0,time_stop,-1.591,-0.546,-0.394,0.45,2.0,-139.0
LONG,2026-01-20 08:25:00,2026-01-20 08:39:00,25243.75,25176.25,-135.0,14.0,stop_z_extension,-1.538,-1.659,-2.881,0.296,10.0,-270.0
SHORT,2026-01-20 12:34:00,2026-01-20 13:19:00,25244.5,25251.25,-13.5,45.0,time_stop,1.58,-0.505,0.81,-0.271,73.0,-144.0
SHORT,2026-01-20 14:41:00,2026-01-20 14:42:00,25284.25,25307.0,-45.5,1.0,stop_z_extension,2.276,0.634,6.186,-4.354,0.0,-91.0
SHORT,2026-01-20 14:58:00,2026-01-20 15:41:00,25334.75,25402.0,-134.5,43.0,stop_z_extension,2.647,1.029,2.43,-3.858,305.0,-269.0
SHORT,2026-01-20 16:08:00,2026-01-20 16:53:00,25388.0,25343.75,88.5,45.0,time_stop,1.574,1.588,4.735,-1.596,177.0,-146.0
LONG,2026-01-20 17:44:00,2026-01-20 18:29:00,25292.75,25247.75,-90.0,45.0,time_stop,-1.865,0.972,-0.38,1.954,54.0,-180.0
LONG,2026-01-20 18:58:00,2026-01-20 19:43:00,25195.5,25152.25,-86.5,45.0,time_stop,-2.118,-0.119,-1.946,1.737,100.0,-255.0
SHORT,2026-01-21 00:46:00,2026-01-21 01:14:00,25172.75,25201.75,-58.0,28.0,stop_z_extension,1.525,-0.096,1.406,-0.492,0.0,-116.0
SHORT,2026-01-21 01:32:00,2026-01-21 02:17:00,25203.5,25200.0,7.0,45.0,time_stop,1.56,0.282,0.529,-0.917,31.0,-48.0
SHORT,2026-01-21 03:30:00,2026-01-21 03:45:00,25221.25,25193.75,55.0,15.0,target_15m_mean,1.539,0.454,0.57,-0.117,110.0,-15.0
SHORT,2026-01-21 07:26:00,2026-01-21 07:52:00,25242.75,25217.5,50.5,26.0,target_15m_mean,2.427,1.468,1.459,-0.125,101.0,0.0
LONG,2026-01-21 09:31:00,2026-01-21 09:47:00,25191.5,25157.5,-68.0,16.0,stop_z_extension,-1.554,0.718,-1.394,1.246,2.0,-136.0
LONG,2026-01-21 10:05:00,2026-01-21 10:50:00,25154.5,25177.25,45.5,45.0,time_stop,-1.695,-0.324,-1.346,3.188,128.0,-21.0
LONG,2026-01-21 12:05:00,2026-01-21 12:50:00,25054.75,25067.0,24.5,45.0,time_stop,-2.276,-1.919,-3.65,0.192,128.0,-75.0
SHORT,2026-01-21 14:05:00,2026-01-21 14:11:00,25154.5,25182.25,-55.5,6.0,stop_z_extension,2.097,-0.652,1.64,-1.196,105.0,-111.0
SHORT,2026-01-21 14:29:00,2026-01-21 14:52:00,25197.0,25282.25,-170.5,23.0,stop_z_extension,2.429,1.585,2.924,-0.604,248.0,-341.0
SHORT,2026-01-21 15:07:00,2026-01-21 15:52:00,25322.0,25465.75,-287.5,45.0,time_stop,2.303,2.465,4.335,-1.296,80.0,-632.0
SHORT,2026-01-21 19:54:00,2026-01-21 19:55:00,25605.0,25615.0,-20.0,1.0,stop_z_extension,2.968,3.675,7.255,-1.579,0.0,-40.0
SHORT,2026-01-22 00:25:00,2026-01-22 01:10:00,25572.75,25559.75,26.0,45.0,time_stop,1.624,2.088,0.381,-0.787,98.0,-21.0
SHORT,2026-01-22 01:40:00,2026-01-22 02:25:00,25590.0,25586.75,6.5,45.0,time_stop,1.658,2.048,0.619,-0.408,14.0,-39.0
LONG,2026-01-22 06:01:00,2026-01-22 06:09:00,25541.25,25517.0,-48.5,8.0,stop_z_extension,-1.767,0.928,-0.542,0.333,22.0,-97.0
LONG,2026-01-22 06:24:00,2026-01-22 06:25:00,25495.5,25485.5,-20.0,1.0,stop_z_extension,-2.354,0.579,-0.941,0.246,0.0,-40.0
SHORT,2026-01-22 08:13:00,2026-01-22 08:27:00,25617.0,25666.0,-98.0,14.0,stop_z_extension,2.319,1.273,2.641,-0.125,0.0,-196.0
SHORT,2026-01-22 08:47:00,2026-01-22 09:32:00,25667.25,25699.25,-64.0,45.0,time_stop,1.751,1.797,1.397,-0.583,0.0,-183.0
LONG,2026-01-22 11:47:00,2026-01-22 12:03:00,25677.75,25663.75,-28.0,16.0,stop_z_extension,-1.592,2.172,-0.904,0.171,23.0,-56.0
SHORT,2026-01-22 13:24:00,2026-01-22 13:27:00,25700.25,25705.0,-9.5,3.0,stop_z_extension,2.173,2.193,1.322,-0.133,2.0,-19.0
SHORT,2026-01-22 13:54:00,2026-01-22 13:55:00,25720.5,25720.5,0.0,1.0,stop_z_extension,3.71,2.561,2.298,-0.213,0.0,0.0
SHORT,2026-01-22 14:25:00,2026-01-22 14:30:00,25724.25,25682.5,83.5,5.0,target_15m_mean,1.7,2.319,0.499,-1.467,167.0,-53.0
LONG,2026-01-22 14:54:00,2026-01-22 14:55:00,25622.0,25588.75,-66.5,1.0,stop_z_extension,-2.766,-0.032,-7.188,1.363,0.0,-133.0
LONG,2026-01-22 15:13:00,2026-01-22 15:14:00,25570.25,25553.75,-33.0,1.0,stop_z_extension,-2.771,-0.579,-0.885,0.858,0.0,-66.0
SHORT,2026-01-22 17:40:00,2026-01-22 18:25:00,25707.25,25702.5,9.5,45.0,time_stop,1.521,1.295,2.731,-1.192,64.0,-44.0
LONG,2026-01-22 19:53:00,2026-01-22 19:56:00,25667.0,25649.25,-35.5,3.0,stop_z_extension,-1.716,0.626,-1.274,0.692,6.0,-71.0
