**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

side,entry_utc,exit_utc,entry_px,exit_px,pnl,dur_min,reason,entry_z_15m,entry_pos,slope_long,slope_short,peak_ticks,worst_ticks
SHORT,2026-01-02 01:20:00,2026-01-02 01:34:00,25528.5,25552.0,-47.0,14.0,stop_z_extension,1.963,1.483,0.929,-0.108,39.0,-94.0
SHORT,2026-01-02 02:12:00,2026-01-02 02:57:00,25563.25,25604.5,-82.5,45.0,time_stop,2.072,1.852,0.861,-0.625,0.0,-174.0
SHORT,2026-01-02 06:04:00,2026-01-02 06:49:00,25640.5,25638.75,3.5,45.0,time_stop,1.633,2.345,0.548,-0.55,20.0,-29.0
SHORT,2026-01-02 08:26:00,2026-01-02 08:27:00,25692.0,25696.0,-8.0,1.0,stop_z_extension,3.163,3.624,1.322,-0.679,0.0,-16.0
SHORT,2026-01-02 09:18:00,2026-01-02 10:03:00,25720.0,25729.5,-19.0,45.0,time_stop,1.551,3.976,1.206,-1.317,0.0,-67.0
LONG,2026-01-02 12:01:00,2026-01-02 12:02:00,25711.5,25702.25,-18.5,1.0,stop_z_extension,-2.545,2.942,-0.492,0.208,0.0,-37.0
LONG,2026-01-02 12:17:00,2026-01-02 12:24:00,25694.5,25688.75,-11.5,7.0,stop_z_extension,-2.508,2.125,-1.155,0.954,15.0,-23.0
LONG,2026-01-02 13:32:00,2026-01-02 14:17:00,25689.25,25676.5,-25.5,45.0,time_stop,-1.502,1.719,-0.743,0.467,64.0,-61.0
LONG,2026-01-02 14:40:00,2026-01-02 14:45:00,25644.75,25697.0,104.5,5.0,target_15m_mean,-3.655,0.799,-0.936,1.079,209.0,0.0
SHORT,2026-01-02 15:00:00,2026-01-02 15:01:00,25766.5,25766.25,0.5,1.0,stop_z_extension,5.036,1.954,0.647,-2.104,1.0,0.0
SHORT,2026-01-02 19:45:00,2026-01-02 20:30:00,25434.0,25425.5,17.0,45.0,time_stop,1.705,-1.085,1.614,-0.458,170.0,-40.0
SHORT,2026-01-04 23:10:00,2026-01-04 23:22:00,25432.0,25453.75,-43.5,12.0,stop_z_extension,1.646,-0.403,4.005,-4.283,63.0,-87.0
SHORT,2026-01-05 00:09:00,2026-01-05 00:54:00,25460.5,25465.5,-10.0,45.0,time_stop,1.728,0.185,1.686,-1.025,74.0,-72.0
SHORT,2026-01-05 06:11:00,2026-01-05 06:30:00,25496.5,25472.0,49.0,19.0,target_15m_mean,2.033,1.658,0.314,-0.412,98.0,-20.0
SHORT,2026-01-05 06:57:00,2026-01-05 07:18:00,25503.75,25484.25,39.0,21.0,target_15m_mean,2.044,1.708,1.308,-0.15,78.0,-17.0
SHORT,2026-01-05 08:27:00,2026-01-05 08:28:00,25539.5,25537.5,4.0,1.0,stop_z_extension,3.311,2.298,2.836,-0.746,8.0,0.0
SHORT,2026-01-05 10:54:00,2026-01-05 11:39:00,25555.75,25568.5,-25.5,45.0,time_stop,1.809,2.351,0.904,-0.392,36.0,-64.0
SHORT,2026-01-05 11:56:00,2026-01-05 12:41:00,25569.75,25556.0,27.5,45.0,time_stop,1.667,2.538,0.406,-0.133,67.0,-42.0
LONG,2026-01-05 13:29:00,2026-01-05 13:32:00,25537.75,25555.75,36.0,3.0,target_15m_mean,-2.018,1.193,-2.695,0.512,72.0,0.0
SHORT,2026-01-05 14:10:00,2026-01-05 14:11:00,25601.5,25604.0,-5.0,1.0,stop_z_extension,3.962,2.549,2.129,-1.321,0.0,-10.0
SHORT,2026-01-05 15:16:00,2026-01-05 16:01:00,25650.25,25658.0,-15.5,45.0,time_stop,1.934,2.664,1.782,-1.062,36.0,-158.0
LONG,2026-01-05 18:24:00,2026-01-05 19:09:00,25598.75,25607.25,17.0,45.0,time_stop,-1.83,0.69,-2.355,1.35,96.0,-28.0
