side,entry_ts,entry_utc,entry_price,exit_ts,exit_utc,exit_price,exit_reason,duration_min,realized_pnl_dollars,peak_pnl_ticks,worst_pnl_ticks,entry_pos_in_band,entry_z_1h_high,entry_z_15m_crm,entry_slope_15s_long,entry_slope_15s_short,entry_slope_15m,entry_sig_above_1h_low
LONG,1749168600,2025-06-06 00:10:00,21582.0,1749169320,2025-06-06 00:22:00,21564.25,hard_stop,12.0,-35.5,17.0,-71.0,-0.446,-1.403,1.492,2.509,1.758,0.0,-0.519
LONG,1749171480,2025-06-06 00:58:00,21570.25,1749178680,2025-06-06 02:58:00,21586.5,time_stop,120.0,32.5,113.0,-10.0,-0.523,-1.491,1.018,0.866,2.137,0.154,-0.608
LONG,1749181200,2025-06-06 03:40:00,21603.5,1749188400,2025-06-06 05:40:00,21656.5,time_stop,120.0,106.0,248.0,-3.0,0.025,-0.736,2.195,0.547,1.5,0.142,0.026
LONG,1757334600,2025-09-08 12:30:00,23761.0,1757337660,2025-09-08 13:21:00,23791.5,target_1h_rail,51.0,61.0,122.0,-18.0,0.224,-0.943,-0.913,0.339,1.033,-0.053,0.418
LONG,1757352060,2025-09-08 17:21:00,23802.5,1757353860,2025-09-08 17:51:00,23778.5,hard_stop,30.0,-48.0,44.0,-96.0,0.728,-0.149,-1.492,0.459,1.729,-0.297,1.093
LONG,1757359980,2025-09-08 19:33:00,23775.0,1757368800,2025-09-08 22:00:00,23806.25,time_stop,147.0,62.5,144.0,-16.0,0.11,-0.974,-1.375,0.709,2.829,-0.336,0.21
LONG,1757376360,2025-09-09 00:06:00,23811.25,1757381040,2025-09-09 01:24:00,23796.25,hard_stop,78.0,-30.0,63.0,-60.0,0.607,-0.586,0.024,0.375,1.158,0.021,1.247
LONG,1757382900,2025-09-09 01:55:00,23816.25,1757390100,2025-09-09 03:55:00,23837.25,time_stop,120.0,42.0,101.0,-10.0,0.466,-0.608,0.393,1.067,0.75,-0.106,0.976
LONG,1757417400,2025-09-09 11:30:00,23826.75,1757423040,2025-09-09 13:04:00,23807.0,hard_stop,94.0,-39.5,116.0,-79.0,0.024,-1.158,-1.846,0.324,0.458,-0.16,0.035
LONG,1757424840,2025-09-09 13:34:00,23842.5,1757425320,2025-09-09 13:42:00,23827.25,hard_stop,8.0,-30.5,0.0,-61.0,0.606,-0.581,0.18,2.269,2.412,-0.067,1.038
LONG,1757427120,2025-09-09 14:12:00,23845.75,1757427300,2025-09-09 14:15:00,23827.5,hard_stop,3.0,-36.5,0.0,-73.0,0.085,-0.773,0.726,1.316,7.812,-0.169,0.18
LONG,1757429280,2025-09-09 14:48:00,23757.75,1757436480,2025-09-09 16:48:00,23821.5,time_stop,120.0,127.5,287.0,-42.0,-2.83,-8.278,-2.365,-1.015,0.404,-0.511,-6.032
LONG,1757440140,2025-09-09 17:49:00,23839.0,1757447340,2025-09-09 19:49:00,23851.0,time_stop,120.0,24.0,86.0,-57.0,0.677,-0.751,1.212,0.341,1.037,0.494,0.778
LONG,1757496600,2025-09-10 09:30:00,23891.75,1757503800,2025-09-10 11:30:00,23928.75,time_stop,120.0,74.0,172.0,-20.0,-0.125,-1.687,-1.253,0.444,0.767,-0.265,-0.144
LONG,1757518920,2025-09-10 15:42:00,23952.5,1757520120,2025-09-10 16:02:00,23929.5,hard_stop,20.0,-46.0,62.0,-92.0,0.777,-0.06,-0.665,0.551,3.608,-0.015,2.068
LONG,1757522040,2025-09-10 16:34:00,23924.75,1757522400,2025-09-10 16:40:00,23908.0,hard_stop,6.0,-33.5,0.0,-67.0,0.194,-0.891,-1.326,0.351,0.883,-0.449,0.557
LONG,1757525880,2025-09-10 17:38:00,23889.75,1757528280,2025-09-10 18:18:00,23873.75,hard_stop,40.0,-32.0,67.0,-64.0,-0.25,-1.903,-1.678,0.71,3.463,-0.446,-0.753
LONG,1757530620,2025-09-10 18:57:00,23863.5,1757530980,2025-09-10 19:03:00,23842.5,hard_stop,6.0,-42.0,7.0,-84.0,-1.08,-2.665,-1.423,-1.772,0.983,-0.524,-3.042
LONG,1757532780,2025-09-10 19:33:00,23835.0,1757533140,2025-09-10 19:39:00,23814.5,hard_stop,6.0,-41.0,10.0,-82.0,-1.441,-2.989,-1.073,1.103,2.704,-0.596,-2.962
LONG,1757536320,2025-09-10 20:32:00,23873.75,1757537280,2025-09-10 20:48:00,23858.5,hard_stop,16.0,-30.5,0.0,-61.0,-0.22,-1.753,0.339,0.38,0.829,-0.054,-0.348
LONG,1757541780,2025-09-10 22:03:00,23872.25,1757548740,2025-09-10 23:59:00,23900.75,eod_force_close,116.0,57.0,160.0,-13.0,-0.358,-1.548,0.583,0.341,0.683,-0.217,-0.535
