**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

side,entry_ts,entry_utc,entry_price,exit_ts,exit_utc,exit_price,exit_reason,duration_min,realized_pnl_dollars,peak_pnl_ticks,worst_pnl_ticks,entry_pos_in_band,entry_z_1h_high,entry_z_15m_crm,entry_slope_15s,entry_slope_15m,entry_sig_above_1h_low
SHORT,1767316620,2026-01-02 01:17:00,25531.75,1767317640,2026-01-02 01:34:00,25552.0,hard_stop,17.0,-40.5,52.0,-81.0,1.49,3.042,2.176,1.221,0.262,4.054
SHORT,1767319800,2026-01-02 02:10:00,25564.25,1767320520,2026-01-02 02:22:00,25581.25,hard_stop,12.0,-34.0,7.0,-68.0,1.888,1.409,2.112,1.485,0.271,2.846
SHORT,1767322680,2026-01-02 02:58:00,25605.0,1767325380,2026-01-02 03:43:00,25620.75,hard_stop,45.0,-31.5,34.0,-63.0,2.708,2.856,1.93,1.33,0.543,4.082
SHORT,1767344400,2026-01-02 09:00:00,25709.25,1767344880,2026-01-02 09:08:00,25727.0,hard_stop,8.0,-35.5,0.0,-71.0,3.582,1.475,1.847,1.734,0.392,2.042
SHORT,1767346740,2026-01-02 09:39:00,25731.0,1767353940,2026-01-02 11:39:00,25722.25,time_stop,120.0,17.5,92.0,-40.0,3.99,1.8,1.48,0.656,0.521,2.274
SHORT,1767365640,2026-01-02 14:54:00,25745.25,1767366000,2026-01-02 15:00:00,25766.5,hard_stop,6.0,-42.5,48.0,-85.0,3.237,1.23,3.948,10.033,-0.207,2.321
LONG,1767368160,2026-01-02 15:36:00,25547.0,1767368280,2026-01-02 15:38:00,25524.75,hard_stop,2.0,-44.5,4.0,-89.0,-2.971,-2.707,-1.932,2.439,-1.139,-3.262
LONG,1767370560,2026-01-02 16:16:00,25375.25,1767370680,2026-01-02 16:18:00,25335.25,hard_stop,2.0,-80.0,1.0,-160.0,-3.618,-6.063,-1.836,0.44,-1.793,-3.0
LONG,1767373560,2026-01-02 17:06:00,25352.0,1767376080,2026-01-02 17:48:00,25332.75,hard_stop,42.0,-38.5,191.0,-77.0,-3.131,-3.493,-1.136,1.285,-1.951,-2.008
LONG,1767379500,2026-01-02 18:45:00,25342.5,1767379680,2026-01-02 18:48:00,25311.5,hard_stop,3.0,-62.0,29.0,-124.0,-2.737,-2.582,-0.609,0.481,-1.349,-1.576
LONG,1767384600,2026-01-02 20:10:00,25427.25,1767386400,2026-01-02 20:40:00,25410.5,hard_stop,30.0,-33.5,67.0,-67.0,-1.023,-1.245,1.404,0.467,0.325,-0.58
LONG,1767389760,2026-01-02 21:36:00,25398.25,1767390720,2026-01-02 21:52:00,25380.75,hard_stop,16.0,-35.0,4.0,-70.0,-0.911,-1.243,0.187,0.444,0.346,-0.514
SHORT,1767603600,2026-01-05 09:00:00,25513.0,1767603900,2026-01-05 09:05:00,25529.75,hard_stop,5.0,-33.5,14.0,-67.0,1.588,0.803,0.684,-0.856,0.096,2.122
SHORT,1767606300,2026-01-05 09:45:00,25516.0,1767607740,2026-01-05 10:09:00,25531.5,hard_stop,24.0,-31.0,34.0,-62.0,1.707,0.89,0.535,1.554,0.158,2.281
SHORT,1767609540,2026-01-05 10:39:00,25538.0,1767610020,2026-01-05 10:47:00,25553.25,hard_stop,8.0,-30.5,0.0,-61.0,2.149,1.31,0.984,-0.761,0.41,3.033
SHORT,1767612660,2026-01-05 11:31:00,25556.75,1767613080,2026-01-05 11:38:00,25571.75,hard_stop,7.0,-30.0,0.0,-60.0,2.209,1.731,1.396,0.275,0.061,3.693
SHORT,1767615180,2026-01-05 12:13:00,25569.0,1767619200,2026-01-05 13:20:00,25544.75,crossed_15m_mean,67.0,48.5,97.0,-27.0,2.409,1.628,1.364,-0.021,0.308,3.322
SHORT,1767624000,2026-01-05 14:40:00,25553.25,1767624060,2026-01-05 14:41:00,25578.5,hard_stop,1.0,-50.5,0.0,-101.0,2.128,0.536,-0.592,-4.865,0.525,2.723
SHORT,1767626040,2026-01-05 15:14:00,25639.0,1767626220,2026-01-05 15:17:00,25655.0,hard_stop,3.0,-32.0,20.0,-64.0,2.722,1.667,2.067,3.442,0.15,4.02
SHORT,1767628800,2026-01-05 16:00:00,25653.75,1767629040,2026-01-05 16:04:00,25670.0,hard_stop,4.0,-32.5,0.0,-65.0,2.575,1.374,1.02,0.842,0.594,4.012
SHORT,1767632100,2026-01-05 16:55:00,25673.75,1767633960,2026-01-05 17:26:00,25622.0,crossed_15m_mean,31.0,103.5,207.0,0.0,3.076,1.682,0.921,1.559,0.743,4.793
LONG,1767657840,2026-01-06 00:04:00,25576.75,1767658320,2026-01-06 00:12:00,25559.75,hard_stop,8.0,-34.0,6.0,-68.0,0.088,-1.171,-0.751,0.523,-0.061,0.166
LONG,1767661380,2026-01-06 01:03:00,25570.75,1767668580,2026-01-06 03:03:00,25626.5,time_stop,120.0,111.5,223.0,-17.0,0.007,-1.329,-0.278,0.529,-0.129,0.013
SHORT,1767677040,2026-01-06 05:24:00,25650.0,1767680640,2026-01-06 06:24:00,25665.75,hard_stop,60.0,-31.5,42.0,-63.0,1.553,0.636,1.505,0.591,0.318,2.033
SHORT,1767683640,2026-01-06 07:14:00,25660.75,1767685920,2026-01-06 07:52:00,25643.25,crossed_15m_mean,38.0,35.0,70.0,0.0,2.031,1.397,0.857,-0.065,0.269,2.181
LONG,1767688980,2026-01-06 08:43:00,25556.0,1767696180,2026-01-06 10:43:00,25588.0,time_stop,120.0,64.0,156.0,0.0,-1.182,-2.301,-2.457,0.605,-0.515,-1.063
SHORT,1767711600,2026-01-06 15:00:00,25762.0,1767718800,2026-01-06 17:00:00,25683.5,time_stop,120.0,157.0,456.0,-47.0,2.855,2.638,3.166,4.988,0.868,4.192
SHORT,1767720600,2026-01-06 17:30:00,25741.5,1767720840,2026-01-06 17:34:00,25759.5,hard_stop,4.0,-36.0,0.0,-72.0,2.105,1.297,0.845,2.42,0.549,3.143
SHORT,1767722700,2026-01-06 18:05:00,25748.5,1767723240,2026-01-06 18:14:00,25763.75,hard_stop,9.0,-30.5,0.0,-61.0,2.116,1.057,0.762,0.218,0.038,3.27
SHORT,1767725580,2026-01-06 18:53:00,25803.0,1767728460,2026-01-06 19:41:00,25818.25,hard_stop,48.0,-30.5,34.0,-61.0,2.696,1.886,1.845,3.534,0.335,4.166
SHORT,1767730260,2026-01-06 20:11:00,25813.25,1767732060,2026-01-06 20:41:00,25830.5,hard_stop,30.0,-34.5,13.0,-69.0,2.385,1.322,1.094,-0.347,0.622,2.215
