side,entry_utc,exit_utc,entry_px,exit_px,pnl,duration_min,reason,p_at_entry,z_at_entry,slope_15m_at_entry
LONG,2025-07-01 03:30:00,2025-07-01 04:24:00,22872.75,22867.5,-10.5,54.0,stop,0.55,-1.222,-0.115
LONG,2025-07-01 04:54:00,2025-07-01 05:01:00,22860.25,22854.0,-12.5,7.0,stop,0.56,-2.161,-0.226
LONG,2025-07-01 05:31:00,2025-07-01 05:35:00,22850.0,22843.75,-12.5,4.0,stop,0.55,-1.77,-0.307
LONG,2025-07-01 06:05:00,2025-07-01 06:11:00,22833.0,22841.0,16.0,6.0,target,0.55,-1.776,-0.204
LONG,2025-07-01 06:41:00,2025-07-01 06:44:00,22843.0,22838.0,-10.0,3.0,stop,0.55,-1.241,-0.208
LONG,2025-07-01 07:18:00,2025-07-01 07:19:00,22833.75,22840.0,12.5,1.0,target,0.55,-1.193,-0.183
LONG,2025-07-01 07:49:00,2025-07-01 07:50:00,22832.0,22824.75,-14.5,1.0,stop,0.55,-1.271,-0.143
LONG,2025-07-01 12:07:00,2025-07-01 12:10:00,22812.25,22801.75,-21.0,3.0,stop,0.55,-1.088,-0.108
LONG,2025-07-01 12:40:00,2025-07-01 12:44:00,22775.75,22784.75,18.0,4.0,target,0.56,-2.392,-0.304
LONG,2025-07-01 13:21:00,2025-07-01 13:26:00,22795.75,22804.25,17.0,5.0,target,0.55,-1.049,-0.118
LONG,2025-07-01 13:59:00,2025-07-01 14:00:00,22782.25,22809.5,54.5,1.0,target,0.55,-1.437,-0.203
LONG,2025-07-01 14:30:00,2025-07-01 14:31:00,22771.0,22776.25,10.5,1.0,target,0.55,-1.566,-0.404
LONG,2025-07-01 15:01:00,2025-07-01 15:02:00,22697.5,22692.5,-10.0,1.0,stop,0.64,-2.137,-0.764
LONG,2025-07-01 15:32:00,2025-07-01 15:33:00,22679.0,22690.25,22.5,1.0,target,0.64,-2.498,-0.506
LONG,2025-07-01 16:03:00,2025-07-01 16:04:00,22652.75,22641.75,-22.0,1.0,stop,0.63,-1.718,-0.751
LONG,2025-07-01 16:34:00,2025-07-01 16:35:00,22698.0,22687.0,-22.0,1.0,stop,0.63,-1.126,-0.69
LONG,2025-07-02 10:43:00,2025-07-02 10:50:00,22681.25,22688.75,15.0,7.0,target,0.55,-1.144,-0.224
LONG,2025-07-02 11:34:00,2025-07-02 11:35:00,22682.25,22688.75,13.0,1.0,target,0.55,-1.034,-0.131
LONG,2025-07-02 12:05:00,2025-07-02 12:08:00,22664.25,22670.25,12.0,3.0,target,0.55,-1.189,-0.262
LONG,2025-07-02 12:38:00,2025-07-02 12:39:00,22631.25,22618.5,-25.5,1.0,stop,0.56,-2.148,-0.389
LONG,2025-07-02 13:09:00,2025-07-02 13:17:00,22642.75,22637.0,-11.5,8.0,stop,0.63,-1.07,-0.542
LONG,2025-07-03 10:11:00,2025-07-03 10:12:00,22834.5,22840.5,12.0,1.0,target,0.55,-1.009,-0.171
LONG,2025-07-04 06:25:00,2025-07-04 06:38:00,22993.75,22999.25,11.0,13.0,target,0.55,-1.052,-0.139
LONG,2025-07-04 07:08:00,2025-07-04 07:10:00,22986.0,22976.25,-19.5,2.0,stop,0.55,-1.297,-0.136
LONG,2025-07-04 07:40:00,2025-07-04 07:46:00,22969.25,22961.5,-15.5,6.0,stop,0.56,-2.101,-0.2
LONG,2025-07-04 08:16:00,2025-07-04 08:19:00,22931.75,22940.25,17.0,3.0,target,0.56,-2.737,-0.365
LONG,2025-07-04 08:49:00,2025-07-04 08:52:00,22952.0,22934.75,-34.5,3.0,stop,0.55,-1.974,-0.24
LONG,2025-07-04 09:22:00,2025-07-04 09:24:00,22938.0,22933.0,-10.0,2.0,stop,0.55,-1.671,-0.342
LONG,2025-07-04 09:54:00,2025-07-04 09:55:00,22948.5,22943.0,-11.0,1.0,stop,0.55,-1.366,-0.275
LONG,2025-07-04 10:25:00,2025-07-04 10:31:00,22933.0,22920.75,-24.5,6.0,stop,0.55,-1.3,-0.161
LONG,2025-07-04 11:01:00,2025-07-04 11:05:00,22917.5,22907.25,-20.5,4.0,stop,0.55,-1.162,-0.231
LONG,2025-07-04 11:35:00,2025-07-04 11:39:00,22919.25,22913.25,-12.0,4.0,stop,0.55,-1.125,-0.229
SHORT,2025-07-06 22:00:00,2025-07-06 22:01:00,22996.5,23003.5,-14.0,1.0,stop,0.55,1.236,-0.106
LONG,2025-07-07 09:01:00,2025-07-07 09:05:00,22910.75,22918.25,15.0,4.0,target,0.55,-1.026,-0.204
LONG,2025-07-07 14:15:00,2025-07-07 14:16:00,22911.0,22926.75,31.5,1.0,target,0.55,-1.045,-0.225
LONG,2025-07-07 14:52:00,2025-07-07 14:53:00,22910.25,22904.5,-11.5,1.0,stop,0.55,-1.086,-0.294
LONG,2025-07-07 16:38:00,2025-07-07 16:39:00,22894.0,22902.0,16.0,1.0,target,0.55,-1.109,-0.276
LONG,2025-07-07 17:26:00,2025-07-07 17:30:00,22871.0,22898.25,54.5,4.0,target,0.55,-1.2,-0.131
LONG,2025-07-07 18:15:00,2025-07-07 18:16:00,22859.0,22852.75,-12.5,1.0,stop,0.55,-1.191,-0.201
LONG,2025-07-07 18:46:00,2025-07-07 18:52:00,22854.5,22862.25,15.5,6.0,target,0.55,-1.305,-0.375
LONG,2025-07-07 20:45:00,2025-07-07 20:52:00,22826.25,22834.5,16.5,7.0,target,0.55,-1.125,-0.196
LONG,2025-07-07 22:19:00,2025-07-07 22:22:00,22823.0,22814.25,-17.5,3.0,stop,0.55,-1.004,-0.179
