date,n_trades,n_long,n_short,pnl_dollars
2025-07-01,6,6,0,-159.0
2025-07-02,3,2,1,-100.0
2025-07-03,3,0,3,103.5
2025-07-04,4,4,0,-127.0
2025-07-06,1,0,1,32.0
2025-07-07,5,4,1,-86.5
2025-07-08,5,3,2,124.0
2025-07-09,9,2,7,-48.5
2025-07-10,3,2,1,-5.5
2025-07-11,6,5,1,113.5
2025-07-14,4,2,2,-30.5
2025-07-15,4,2,2,3.0
2025-07-16,1,1,0,11.5
2025-07-17,3,0,3,-11.5
2025-07-18,4,3,1,-1.5
2025-07-21,4,0,4,-5.5
2025-07-22,5,5,0,31.5
2025-07-23,3,1,2,151.0
2025-07-24,3,2,1,89.5
2025-07-25,4,2,2,-76.0
2025-07-27,1,0,1,-32.0
2025-07-28,7,5,2,-194.5
2025-07-29,4,2,2,-39.5
2025-07-30,6,2,4,-117.5
2025-07-31,5,4,1,-146.5
