side,entry_utc,exit_utc,entry_px,exit_px,pnl,duration_min,reason,p_at_entry,z_at_entry,slope_15m_at_entry
LONG,2025-09-09 14:00:00,2025-09-09 14:01:00,23786.25,23793.25,14.0,1.0,target,0.56,-2.989,-0.169
LONG,2025-09-09 14:32:00,2025-09-09 14:34:00,23771.25,23753.75,-35.0,2.0,stop,0.55,-4.109,-0.056
LONG,2025-09-09 15:04:00,2025-09-09 15:06:00,23772.0,23757.0,-30.0,2.0,stop,0.55,-1.476,-0.354
LONG,2025-09-09 15:36:00,2025-09-09 15:37:00,23776.5,23766.75,-19.5,1.0,stop,0.55,-1.334,-0.378
LONG,2025-09-10 17:23:00,2025-09-10 17:24:00,23891.5,23897.75,12.5,1.0,target,0.55,-1.055,-0.189
LONG,2025-09-10 17:54:00,2025-09-10 17:55:00,23891.5,23883.75,-15.5,1.0,stop,0.55,-1.055,-0.432
LONG,2025-09-10 18:25:00,2025-09-10 18:28:00,23854.75,23861.0,12.5,3.0,target,0.56,-2.61,-0.451
LONG,2025-09-10 18:58:00,2025-09-10 19:02:00,23865.25,23850.5,-29.5,4.0,stop,0.64,-2.084,-0.524
LONG,2025-09-10 19:32:00,2025-09-10 19:36:00,23834.5,23823.75,-21.5,4.0,stop,0.64,-2.317,-0.596
