**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

side,entry_utc,exit_utc,entry_px,exit_px,pnl,duration_min,reason,p_at_entry,z_at_entry,slope_15m_at_entry
LONG,2026-01-14 11:50:00,2026-01-14 11:55:00,25747.0,25754.0,14.0,5.0,target,0.64,-2.151,-0.594
LONG,2026-01-14 12:26:00,2026-01-14 12:33:00,25773.75,25781.75,16.0,7.0,target,0.63,-1.032,-0.679
LONG,2026-01-14 14:30:00,2026-01-14 14:31:00,25732.25,25684.75,-95.0,1.0,stop,0.55,-1.07,-0.106
LONG,2026-01-14 15:01:00,2026-01-14 15:02:00,25553.0,25546.25,-13.5,1.0,stop,0.64,-2.446,-0.876
LONG,2026-01-14 15:32:00,2026-01-14 15:36:00,25591.0,25599.75,17.5,4.0,target,0.64,-2.044,-0.899
LONG,2026-01-14 16:06:00,2026-01-14 16:07:00,25505.0,25498.75,-12.5,1.0,stop,0.63,-1.955,-1.599
LONG,2026-01-14 16:37:00,2026-01-14 16:38:00,25536.5,25543.5,14.0,1.0,target,0.63,-1.703,-1.232
LONG,2026-01-14 17:08:00,2026-01-14 17:09:00,25490.25,25501.0,21.5,1.0,target,0.63,-1.521,-1.635
LONG,2026-01-14 17:39:00,2026-01-14 17:41:00,25463.5,25470.25,13.5,2.0,target,0.63,-1.703,-1.369
LONG,2026-01-14 18:11:00,2026-01-14 18:14:00,25481.0,25487.75,13.5,3.0,target,0.63,-1.235,-0.753
LONG,2026-01-14 18:44:00,2026-01-14 18:45:00,25463.75,25471.75,16.0,1.0,target,0.63,-1.343,-0.644
LONG,2026-01-15 20:00:00,2026-01-15 20:01:00,25742.0,25749.0,14.0,1.0,target,0.63,-1.045,-0.931
LONG,2026-01-15 20:31:00,2026-01-15 20:32:00,25701.0,25714.0,26.0,1.0,target,0.63,-1.748,-0.899
LONG,2026-01-15 21:02:00,2026-01-15 21:05:00,25719.0,25712.25,-13.5,3.0,stop,0.63,-1.487,-0.749
LONG,2026-01-15 21:35:00,2026-01-15 21:39:00,25695.75,25701.5,11.5,4.0,target,0.63,-1.896,-1.094
LONG,2026-01-15 23:00:00,2026-01-15 23:02:00,25721.0,25713.5,-15.0,2.0,stop,0.63,-1.275,-0.999
LONG,2026-01-15 23:32:00,2026-01-15 23:35:00,25733.5,25728.25,-10.5,3.0,stop,0.55,-1.074,-0.376
SHORT,2026-01-16 14:28:00,2026-01-16 14:29:00,25860.5,25868.0,-15.0,1.0,stop,0.55,1.092,-0.126
LONG,2026-01-16 14:59:00,2026-01-16 15:01:00,25728.75,25715.75,-26.0,2.0,stop,0.64,-4.339,-0.172
LONG,2026-01-16 15:31:00,2026-01-16 15:32:00,25662.75,25668.25,11.0,1.0,target,0.71,-5.386,-0.915
LONG,2026-01-16 16:02:00,2026-01-16 16:06:00,25671.25,25678.75,15.0,4.0,target,0.63,-1.685,-0.836
LONG,2026-01-16 16:55:00,2026-01-16 16:56:00,25711.25,25693.75,-35.0,1.0,stop,0.55,-1.066,-0.475
LONG,2026-01-16 17:30:00,2026-01-16 17:33:00,25686.5,25699.0,25.0,3.0,target,0.63,-1.138,-0.926
LONG,2026-01-16 18:03:00,2026-01-16 18:04:00,25672.0,25677.5,11.0,1.0,target,0.55,-1.085,-0.381
LONG,2026-01-18 23:00:00,2026-01-18 23:01:00,25453.5,25430.5,-46.0,1.0,stop,0.64,-3.313,-0.193
LONG,2026-01-18 23:31:00,2026-01-18 23:34:00,25451.0,25444.75,-12.5,3.0,stop,0.71,-3.345,-1.339
LONG,2026-01-19 00:04:00,2026-01-19 00:05:00,25447.25,25440.75,-13.0,1.0,stop,0.64,-2.055,-1.383
LONG,2026-01-19 00:35:00,2026-01-19 00:38:00,25397.25,25434.25,74.0,3.0,target,0.64,-2.497,-1.8
LONG,2026-01-19 01:08:00,2026-01-19 01:09:00,25416.0,25426.5,21.0,1.0,target,0.63,-1.698,-1.421
LONG,2026-01-19 01:39:00,2026-01-19 01:40:00,25417.0,25407.25,-19.5,1.0,stop,0.63,-1.69,-1.542
LONG,2026-01-19 02:10:00,2026-01-19 02:14:00,25406.5,25416.0,19.0,4.0,target,0.63,-1.422,-1.572
LONG,2026-01-19 02:44:00,2026-01-19 02:45:00,25413.75,25408.75,-10.0,1.0,stop,0.55,-1.37,-0.16
LONG,2026-01-19 03:15:00,2026-01-19 03:17:00,25406.75,25400.75,-12.0,2.0,stop,0.55,-1.194,-0.143
LONG,2026-01-19 03:47:00,2026-01-19 03:51:00,25373.5,25367.0,-13.0,4.0,stop,0.55,-1.433,-0.278
LONG,2026-01-19 04:21:00,2026-01-19 04:28:00,25377.0,25390.25,26.5,7.0,target,0.55,-1.154,-0.319
LONG,2026-01-19 07:44:00,2026-01-19 07:45:00,25328.25,25336.0,15.5,1.0,target,0.55,-1.031,-0.158
LONG,2026-01-19 09:25:00,2026-01-19 09:26:00,25300.75,25325.5,49.5,1.0,target,0.55,-1.0,-0.338
LONG,2026-01-19 09:56:00,2026-01-19 09:58:00,25279.25,25284.75,11.0,2.0,target,0.63,-1.178,-0.672
LONG,2026-01-19 10:32:00,2026-01-19 10:37:00,25283.0,25293.5,21.0,5.0,target,0.55,-1.067,-0.304
LONG,2026-01-19 11:07:00,2026-01-19 11:10:00,25269.75,25274.75,10.0,3.0,target,0.55,-1.717,-0.462
LONG,2026-01-19 11:40:00,2026-01-19 11:46:00,25297.5,25292.0,-11.0,6.0,stop,0.55,-1.139,-0.381
LONG,2026-01-19 14:33:00,2026-01-19 14:34:00,25259.75,25266.25,13.0,1.0,target,0.55,-1.216,-0.115
LONG,2026-01-20 06:32:00,2026-01-20 06:34:00,25281.75,25275.5,-12.5,2.0,stop,0.63,-1.163,-0.633
LONG,2026-01-20 07:16:00,2026-01-20 07:18:00,25282.75,25276.0,-13.5,2.0,stop,0.63,-1.045,-0.615
LONG,2026-01-20 07:48:00,2026-01-20 07:49:00,25274.25,25280.5,12.5,1.0,target,0.63,-1.206,-0.667
LONG,2026-01-20 08:19:00,2026-01-20 08:21:00,25233.5,25226.0,-15.0,2.0,stop,0.64,-2.14,-0.689
LONG,2026-01-20 08:51:00,2026-01-20 08:57:00,25219.5,25205.75,-27.5,6.0,stop,0.64,-2.421,-1.021
LONG,2026-01-20 09:27:00,2026-01-20 09:28:00,25138.25,25145.5,14.5,1.0,target,0.64,-2.754,-0.976
LONG,2026-01-20 09:58:00,2026-01-20 10:01:00,25132.25,25125.5,-13.5,3.0,stop,0.64,-2.84,-0.921
LONG,2026-01-20 10:31:00,2026-01-20 10:32:00,25190.0,25181.25,-17.5,1.0,stop,0.63,-1.245,-0.562
LONG,2026-01-20 20:38:00,2026-01-20 20:42:00,25119.75,25111.25,-17.0,4.0,stop,0.63,-1.014,-1.169
LONG,2026-01-21 10:01:00,2026-01-21 10:02:00,25127.25,25150.25,46.0,1.0,target,0.55,-1.017,-0.374
LONG,2026-01-21 11:36:00,2026-01-21 11:37:00,25126.75,25119.0,-15.5,1.0,stop,0.55,-1.028,-0.438
LONG,2026-01-21 12:07:00,2026-01-21 12:09:00,25066.5,25058.75,-15.5,2.0,stop,0.63,-1.934,-0.872
LONG,2026-01-21 12:39:00,2026-01-21 12:41:00,25049.25,25043.5,-11.5,2.0,stop,0.64,-2.304,-0.685
LONG,2026-01-21 13:16:00,2026-01-21 13:20:00,25088.25,25083.25,-10.0,4.0,stop,0.55,-1.028,-0.347
LONG,2026-01-21 13:50:00,2026-01-21 13:53:00,25073.25,25092.0,37.5,3.0,target,0.63,-1.281,-0.744
SHORT,2026-01-21 19:30:00,2026-01-21 19:31:00,25479.75,25448.75,62.0,1.0,target,0.55,1.699,-0.157
LONG,2026-01-23 08:52:00,2026-01-23 08:55:00,25597.25,25588.0,-18.5,3.0,stop,0.55,-1.093,-0.468
LONG,2026-01-23 09:34:00,2026-01-23 09:35:00,25590.0,25584.0,-12.0,1.0,stop,0.63,-1.064,-0.665
LONG,2026-01-23 10:05:00,2026-01-23 10:07:00,25570.25,25565.0,-10.5,2.0,stop,0.63,-1.241,-0.819
LONG,2026-01-23 10:37:00,2026-01-23 10:54:00,25558.5,25564.25,11.5,17.0,target,0.63,-1.458,-0.861
LONG,2026-01-25 23:00:00,2026-01-25 23:01:00,25472.75,25463.25,-19.0,1.0,stop,0.56,-2.315,-0.258
LONG,2026-01-25 23:31:00,2026-01-25 23:32:00,25528.5,25538.75,20.5,1.0,target,0.63,-1.55,-1.197
LONG,2026-01-27 14:35:00,2026-01-27 14:36:00,25950.5,25933.5,-34.0,1.0,stop,0.55,-1.142,-0.126
LONG,2026-01-28 15:32:00,2026-01-28 15:33:00,26211.75,26218.75,14.0,1.0,target,0.55,-1.04,-0.315
LONG,2026-01-28 16:03:00,2026-01-28 16:04:00,26174.5,26181.0,13.0,1.0,target,0.63,-1.781,-0.66
LONG,2026-01-28 16:34:00,2026-01-28 16:37:00,26150.5,26156.5,12.0,3.0,target,0.64,-2.396,-0.532
LONG,2026-01-28 17:07:00,2026-01-28 17:11:00,26134.0,26146.75,25.5,4.0,target,0.63,-1.818,-0.871
LONG,2026-01-28 17:41:00,2026-01-28 17:43:00,26125.25,26134.25,18.0,2.0,target,0.63,-1.974,-0.7
LONG,2026-01-28 18:13:00,2026-01-28 18:16:00,26155.25,26165.25,20.0,3.0,target,0.63,-1.069,-0.624
LONG,2026-01-28 18:46:00,2026-01-28 18:48:00,26150.0,26157.5,15.0,2.0,target,0.55,-1.148,-0.16
LONG,2026-01-28 19:18:00,2026-01-28 19:19:00,26134.75,26148.75,28.0,1.0,target,0.55,-1.12,-0.225
LONG,2026-01-29 14:15:00,2026-01-29 14:16:00,26151.75,26146.25,-11.0,1.0,stop,0.55,-1.021,-0.25
LONG,2026-01-29 14:46:00,2026-01-29 14:47:00,25928.0,25972.75,89.5,1.0,target,0.71,-7.295,-1.346
LONG,2026-01-29 15:17:00,2026-01-29 15:18:00,25748.0,25765.5,35.0,1.0,target,0.71,-4.132,-2.728
LONG,2026-01-29 15:48:00,2026-01-29 15:49:00,25619.75,25602.5,-34.5,1.0,stop,0.71,-5.4,-2.985
LONG,2026-01-29 16:19:00,2026-01-29 16:20:00,25681.75,25702.25,41.0,1.0,target,0.64,-2.076,-2.846
LONG,2026-01-29 16:50:00,2026-01-29 16:51:00,25721.5,25712.0,-19.0,1.0,stop,0.63,-1.885,-2.718
LONG,2026-01-29 17:47:00,2026-01-29 17:48:00,25790.75,25796.75,12.0,1.0,target,0.63,-1.017,-0.633
LONG,2026-01-30 06:57:00,2026-01-30 07:00:00,25749.0,25764.25,30.5,3.0,target,0.55,-1.098,-0.361
LONG,2026-01-30 07:30:00,2026-01-30 07:31:00,25757.5,25763.0,11.0,1.0,target,0.63,-1.071,-0.654
LONG,2026-01-30 08:01:00,2026-01-30 08:02:00,25694.25,25715.75,43.0,1.0,target,0.63,-1.768,-0.835
LONG,2026-01-30 08:32:00,2026-01-30 08:33:00,25720.25,25701.5,-37.5,1.0,stop,0.63,-1.41,-0.661
LONG,2026-01-30 09:12:00,2026-01-30 09:15:00,25722.0,25714.75,-14.5,3.0,stop,0.55,-1.07,-0.36
LONG,2026-01-30 09:45:00,2026-01-30 09:46:00,25682.75,25666.0,-33.5,1.0,stop,0.55,-1.542,-0.457
SHORT,2026-01-30 15:11:00,2026-01-30 15:12:00,25913.25,25902.5,21.5,1.0,target,0.55,1.042,-0.243
LONG,2026-01-30 17:59:00,2026-01-30 18:00:00,25679.75,25673.75,-12.0,1.0,stop,0.63,-1.176,-0.719
LONG,2026-01-30 18:30:00,2026-01-30 18:31:00,25655.25,25646.25,-18.0,1.0,stop,0.63,-1.465,-0.685
LONG,2026-01-30 20:06:00,2026-01-30 20:08:00,25625.5,25637.0,23.0,2.0,target,0.63,-1.218,-0.551
LONG,2026-01-30 20:38:00,2026-01-30 20:41:00,25616.0,25639.0,46.0,3.0,target,0.63,-1.345,-1.035
LONG,2026-02-01 23:00:00,2026-02-01 23:01:00,25524.0,25471.75,-104.5,1.0,stop,0.64,-2.077,-0.569
LONG,2026-02-01 23:31:00,2026-02-01 23:32:00,25454.0,25479.75,51.5,1.0,target,0.64,-2.877,-1.565
LONG,2026-02-02 00:02:00,2026-02-02 00:03:00,25510.25,25492.25,-36.0,1.0,stop,0.63,-1.298,-0.693
LONG,2026-02-02 01:12:00,2026-02-02 01:13:00,25506.25,25486.0,-40.5,1.0,stop,0.55,-1.086,-0.399
LONG,2026-02-02 01:43:00,2026-02-02 01:44:00,25459.25,25450.0,-18.5,1.0,stop,0.63,-1.426,-0.685
LONG,2026-02-02 02:14:00,2026-02-02 02:15:00,25421.5,25430.5,18.0,1.0,target,0.63,-1.367,-1.286
LONG,2026-02-02 02:45:00,2026-02-02 02:46:00,25404.25,25413.0,17.5,1.0,target,0.63,-1.486,-0.658
LONG,2026-02-02 03:16:00,2026-02-02 03:18:00,25349.5,25332.0,-35.0,2.0,stop,0.63,-1.524,-1.35
LONG,2026-02-02 03:48:00,2026-02-02 03:49:00,25313.25,25320.75,15.0,1.0,target,0.63,-1.757,-1.807
LONG,2026-02-02 04:19:00,2026-02-02 04:20:00,25321.75,25315.75,-12.0,1.0,stop,0.63,-1.332,-1.339
LONG,2026-02-02 04:50:00,2026-02-02 04:52:00,25335.75,25350.75,30.0,2.0,target,0.55,-1.247,-0.456
LONG,2026-02-02 05:22:00,2026-02-02 05:26:00,25294.5,25272.5,-44.0,4.0,stop,0.63,-1.166,-0.619
LONG,2026-02-02 05:56:00,2026-02-02 05:58:00,25243.25,25252.75,19.0,2.0,target,0.63,-1.465,-0.96
LONG,2026-02-02 06:28:00,2026-02-02 06:31:00,25244.0,25237.5,-13.0,3.0,stop,0.63,-1.247,-0.746
LONG,2026-02-02 07:03:00,2026-02-02 07:04:00,25239.0,25246.25,14.5,1.0,target,0.55,-1.025,-0.26
LONG,2026-02-03 14:33:00,2026-02-03 14:34:00,25859.5,25875.25,31.5,1.0,target,0.55,-3.606,-0.068
LONG,2026-02-03 15:04:00,2026-02-03 15:05:00,25609.75,25619.5,19.5,1.0,target,0.71,-3.249,-1.747
LONG,2026-02-03 15:35:00,2026-02-03 15:36:00,25487.5,25499.0,23.0,1.0,target,0.71,-4.515,-2.44
LONG,2026-02-03 16:06:00,2026-02-03 16:07:00,25565.5,25571.0,11.0,1.0,target,0.63,-1.972,-2.024
LONG,2026-02-03 16:37:00,2026-02-03 16:38:00,25511.75,25504.25,-15.0,1.0,stop,0.64,-2.302,-2.749
LONG,2026-02-03 17:08:00,2026-02-03 17:09:00,25488.5,25494.0,11.0,1.0,target,0.63,-1.778,-2.642
LONG,2026-02-03 17:39:00,2026-02-03 17:40:00,25375.0,25356.25,-37.5,1.0,stop,0.64,-2.343,-2.882
LONG,2026-02-03 18:10:00,2026-02-03 18:12:00,25380.0,25364.25,-31.5,2.0,stop,0.63,-1.704,-1.356
LONG,2026-02-03 18:42:00,2026-02-03 18:43:00,25283.5,25290.75,14.5,1.0,target,0.64,-2.1,-1.199
LONG,2026-02-03 19:13:00,2026-02-03 19:14:00,25306.25,25323.0,33.5,1.0,target,0.63,-1.515,-2.062
LONG,2026-02-03 19:44:00,2026-02-03 19:45:00,25269.0,25263.75,-10.5,1.0,stop,0.63,-1.647,-1.119
LONG,2026-02-03 20:15:00,2026-02-03 20:16:00,25288.25,25301.25,26.0,1.0,target,0.63,-1.246,-0.61
LONG,2026-02-04 13:45:00,2026-02-04 13:47:00,25374.75,25366.0,-17.5,2.0,stop,0.55,-1.108,-0.286
LONG,2026-02-04 14:17:00,2026-02-04 14:18:00,25338.5,25347.5,18.0,1.0,target,0.63,-1.946,-0.532
LONG,2026-02-04 14:48:00,2026-02-04 14:49:00,25360.5,25344.25,-32.5,1.0,stop,0.63,-1.299,-0.719
LONG,2026-02-04 15:19:00,2026-02-04 15:20:00,25193.75,25210.75,34.0,1.0,target,0.64,-2.69,-1.353
LONG,2026-02-04 15:50:00,2026-02-04 15:52:00,25158.25,25174.25,32.0,2.0,target,0.71,-3.185,-1.135
LONG,2026-02-04 16:22:00,2026-02-04 16:23:00,25062.25,25090.5,56.5,1.0,target,0.64,-2.791,-1.549
LONG,2026-02-04 16:53:00,2026-02-04 16:54:00,24963.25,24983.75,41.0,1.0,target,0.71,-3.712,-2.301
LONG,2026-02-04 17:24:00,2026-02-04 17:26:00,24974.25,24955.0,-38.5,2.0,stop,0.64,-2.129,-1.765
LONG,2026-02-04 17:56:00,2026-02-04 17:57:00,24851.0,24869.25,36.5,1.0,target,0.64,-2.884,-2.682
LONG,2026-02-04 18:27:00,2026-02-04 18:28:00,24930.75,24937.75,14.0,1.0,target,0.63,-1.527,-2.038
LONG,2026-02-04 18:58:00,2026-02-04 18:59:00,24946.5,24923.75,-45.5,1.0,stop,0.63,-1.456,-1.796
LONG,2026-02-04 19:29:00,2026-02-04 19:30:00,24963.25,24978.25,30.0,1.0,target,0.63,-1.021,-1.144
LONG,2026-02-05 12:30:00,2026-02-05 12:31:00,24911.5,24882.25,-58.5,1.0,stop,0.63,-1.615,-0.917
LONG,2026-02-05 13:01:00,2026-02-05 13:03:00,24807.75,24799.5,-16.5,2.0,stop,0.63,-1.667,-1.306
LONG,2026-02-05 13:33:00,2026-02-05 13:34:00,24829.75,24843.25,27.0,1.0,target,0.63,-1.435,-1.626
LONG,2026-02-05 14:04:00,2026-02-05 14:05:00,24817.75,24807.25,-21.0,1.0,stop,0.63,-1.173,-1.479
LONG,2026-02-05 14:35:00,2026-02-05 14:36:00,24798.25,24781.5,-33.5,1.0,stop,0.63,-1.363,-1.394
LONG,2026-02-05 15:06:00,2026-02-05 15:07:00,24667.0,24661.0,-12.0,1.0,stop,0.63,-1.872,-1.446
LONG,2026-02-05 15:37:00,2026-02-05 15:38:00,24605.0,24635.25,60.5,1.0,target,0.64,-2.345,-1.818
LONG,2026-02-05 16:08:00,2026-02-05 16:10:00,24560.75,24581.75,42.0,2.0,target,0.63,-1.914,-0.883
LONG,2026-02-05 20:51:00,2026-02-05 20:52:00,24591.25,24579.5,-23.5,1.0,stop,0.63,-1.005,-1.306
LONG,2026-02-05 21:22:00,2026-02-05 21:23:00,24548.0,24543.0,-10.0,1.0,stop,0.63,-1.086,-0.929
LONG,2026-02-05 21:53:00,2026-02-05 21:56:00,24438.75,24407.75,-62.0,3.0,stop,0.63,-1.721,-1.389
LONG,2026-02-05 23:00:00,2026-02-05 23:01:00,24444.5,24409.0,-71.0,1.0,stop,0.63,-1.367,-1.526
LONG,2026-02-05 23:31:00,2026-02-05 23:32:00,24417.75,24406.25,-23.0,1.0,stop,0.63,-1.518,-1.888
LONG,2026-02-06 00:02:00,2026-02-06 00:03:00,24298.75,24287.0,-23.5,1.0,stop,0.63,-1.849,-2.097
LONG,2026-02-06 00:33:00,2026-02-06 00:34:00,24372.75,24378.5,11.5,1.0,target,0.63,-1.432,-1.496
LONG,2026-02-06 01:14:00,2026-02-06 01:16:00,24377.75,24369.5,-16.5,2.0,stop,0.63,-1.1,-1.328
SHORT,2026-02-06 14:32:00,2026-02-06 14:33:00,24832.75,24866.75,-68.0,1.0,stop,0.55,1.091,-0.289
SHORT,2026-02-06 15:21:00,2026-02-06 15:22:00,24880.5,24895.25,-29.5,1.0,stop,0.55,1.041,-0.169
LONG,2026-02-09 09:53:00,2026-02-09 09:55:00,25105.25,25097.5,-15.5,2.0,stop,0.55,-1.016,-0.288
LONG,2026-02-09 10:25:00,2026-02-09 10:28:00,25044.5,25038.5,-12.0,3.0,stop,0.56,-2.294,-0.497
LONG,2026-02-09 10:58:00,2026-02-09 11:04:00,25046.5,25041.25,-10.5,6.0,stop,0.64,-2.255,-0.889
LONG,2026-02-09 11:34:00,2026-02-09 11:35:00,25056.0,25061.5,11.0,1.0,target,0.63,-1.297,-0.644
LONG,2026-02-10 14:47:00,2026-02-10 14:48:00,25273.75,25262.75,-22.0,1.0,stop,0.55,-1.704,-0.282
LONG,2026-02-10 18:34:00,2026-02-10 18:35:00,25282.5,25295.75,26.5,1.0,target,0.63,-1.179,-0.604
LONG,2026-02-10 19:19:00,2026-02-10 19:20:00,25283.5,25297.25,27.5,1.0,target,0.55,-1.004,-0.421
LONG,2026-02-10 19:51:00,2026-02-10 19:52:00,25283.5,25288.5,10.0,1.0,target,0.55,-1.004,-0.265
LONG,2026-02-10 20:22:00,2026-02-10 20:23:00,25271.0,25260.25,-21.5,1.0,stop,0.63,-1.249,-0.631
LONG,2026-02-10 20:53:00,2026-02-10 20:55:00,25229.25,25219.75,-19.0,2.0,stop,0.64,-2.566,-0.714
LONG,2026-02-10 21:25:00,2026-02-10 21:43:00,25234.25,25242.0,15.5,18.0,target,0.63,-1.461,-0.614
LONG,2026-02-11 08:13:00,2026-02-11 08:16:00,25230.25,25223.5,-13.5,3.0,stop,0.55,-1.044,-0.203
LONG,2026-02-11 09:37:00,2026-02-11 09:38:00,25221.25,25214.25,-14.0,1.0,stop,0.55,-1.042,-0.118
LONG,2026-02-11 10:08:00,2026-02-11 10:10:00,25154.5,25166.75,24.5,2.0,target,0.56,-2.891,-0.358
LONG,2026-02-11 10:40:00,2026-02-11 10:41:00,25190.5,25185.5,-10.0,1.0,stop,0.63,-1.916,-0.518
LONG,2026-02-11 15:15:00,2026-02-11 15:16:00,25166.75,25155.75,-22.0,1.0,stop,0.55,-1.53,-0.475
LONG,2026-02-11 15:46:00,2026-02-11 15:47:00,25167.5,25174.75,14.5,1.0,target,0.55,-1.514,-0.368
LONG,2026-02-12 14:45:00,2026-02-12 14:46:00,25273.75,25288.25,29.0,1.0,target,0.55,-1.75,-0.199
LONG,2026-02-12 15:16:00,2026-02-12 15:17:00,25245.75,25216.25,-59.0,1.0,stop,0.63,-1.46,-0.671
LONG,2026-02-12 15:47:00,2026-02-12 15:48:00,25112.25,25083.75,-57.0,1.0,stop,0.71,-4.603,-1.539
LONG,2026-02-12 16:18:00,2026-02-12 16:19:00,24890.25,24908.75,37.0,1.0,target,0.71,-4.065,-2.161
LONG,2026-02-12 16:49:00,2026-02-12 16:50:00,24872.0,24858.75,-26.5,1.0,stop,0.71,-4.253,-2.978
LONG,2026-02-12 17:20:00,2026-02-12 17:22:00,24868.75,24887.5,37.5,2.0,target,0.64,-2.223,-2.833
