seg_direction,n_trades,wr_pct,pnl_total,pnl_mean,pnl_median,dimension,regime_dimension,seg_sub_pattern,seg_slope_bucket,zone_behavior
UP,2974,36.88634835238736,-1195.1000000000067,-0.4018493611297938,-38.4,Direction,Direction,,,
DOWN,2786,35.39124192390524,-15452.400000000005,-5.5464465183058165,-38.9,Direction,Direction,,,
,2974,36.88634835238736,-1195.1000000000067,-0.4018493611297938,-38.4,Sub-pattern,Sub-pattern,L_H,,
,2786,35.39124192390524,-15452.400000000005,-5.5464465183058165,-38.9,Sub-pattern,Sub-pattern,H_L,,
,1841,36.23030961434004,-343.4000000000036,-0.1865290602933208,-35.9,Slope intensity (33/66 quantiles),Slope intensity (33/66 quantiles),,medium,
,2030,37.33990147783251,-4982.500000000005,-2.454433497536948,-37.9,Slope intensity (33/66 quantiles),Slope intensity (33/66 quantiles),,low,
,1889,34.833245103229224,-11321.600000000004,-5.9934356802541044,-41.4,Slope intensity (33/66 quantiles),Slope intensity (33/66 quantiles),,high,
,407,37.34643734643734,-2474.300000000001,-6.079361179361182,-37.9,Zone behavior,Zone behavior,,,cross_well
,1312,36.1280487804878,-2759.800000000003,-2.103506097560978,-38.4,Zone behavior,Zone behavior,,,escape_velocity
,805,36.149068322981364,-4309.500000000002,-5.353416149068325,-36.4,Zone behavior,Zone behavior,,,captured
,3236,36.032138442521635,-7103.900000000007,-2.1952719406674928,-39.9,Zone behavior,Zone behavior,,,between_zones
