pair,tf,n_days,overall_acc,up_acc,down_acc,flat_acc,cm_up_to_up,cm_up_to_down,cm_up_to_flat,cm_down_to_up,cm_down_to_down,cm_down_to_flat,cm_flat_to_up,cm_flat_to_down,cm_flat_to_flat
price_velocity_w__price_sigma_w,15m,348,0.6810344827586207,0.7674418604651163,0.8095238095238095,0.6030150753768844,66,3,17,2,51,10,41,38,120
price_velocity_w__price_sigma_w,5m,348,0.6781609195402298,0.6627906976744186,0.6190476190476191,0.7035175879396985,57,2,27,2,39,22,25,34,140
price_velocity_1b__bar_range,15m,348,0.6695402298850575,0.4418604651162791,0.5555555555555556,0.8040201005025126,38,2,46,0,35,28,11,28,160
bar_range__body,15m,348,0.6666666666666666,0.43023255813953487,0.5714285714285714,0.7989949748743719,37,2,47,1,36,26,12,28,159
price_velocity_1b__bar_range,1h,348,0.6494252873563219,0.7325581395348837,0.6190476190476191,0.6231155778894473,63,3,20,1,39,23,30,45,124
bar_range__body,1h,348,0.6436781609195402,0.7093023255813954,0.6349206349206349,0.6180904522613065,61,3,22,2,40,21,32,44,123
price_velocity_w__price_sigma_w,1h,347,0.553314121037464,0.6511627906976745,0.6190476190476191,0.4898989898989899,56,5,25,6,39,18,47,54,97
price_velocity_w__SE_high_w,15m,348,0.5431034482758621,0.4883720930232558,0.49206349206349204,0.5829145728643216,42,7,37,6,31,26,41,42,116
price_velocity_w__SE_low_w,15m,348,0.5172413793103449,0.4418604651162791,0.5238095238095238,0.5477386934673367,38,9,39,3,33,27,32,58,109
price_velocity_w__vol_mean_w,1h,347,0.48703170028818443,0.5,0.5555555555555556,0.4595959595959596,43,7,36,7,35,21,53,54,91
price_velocity_1b__reversion_prob_w,1h,347,0.345821325648415,0.11627906976744186,0.047619047619047616,0.5404040404040404,10,32,44,32,3,28,57,34,107
price_velocity_w__swing_noise_w,1h,114,0.16666666666666666,0.15625,0.6428571428571429,0.07352941176470588,5,23,4,2,9,3,6,57,5
