**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

tf,c1,c2,regime_2d,n,pearson
5s,body,vol_velocity_w,DOWN_CHOPPY,2988,-0.0008449515165624399
5s,body,vol_velocity_w,FLAT_SMOOTH,9893,-0.052548767758565644
5s,body,vol_velocity_w,FLAT_CHOPPY,18315,-0.03851442192905167
5s,body,vol_mean_w,UP_SMOOTH,7146,-0.11925197465746397
5s,body,vol_mean_w,UP_CHOPPY,3924,0.021589260470394896
5s,body,vol_mean_w,DOWN_SMOOTH,4662,-0.01967426721027293
5s,body,vol_mean_w,DOWN_CHOPPY,2988,-0.027780430528994333
5s,body,vol_mean_w,FLAT_SMOOTH,9893,-0.04626378449284453
5s,body,vol_mean_w,FLAT_CHOPPY,18315,-0.01621780691756697
5s,body,z_se_w,UP_SMOOTH,7146,0.4373738146583574
5s,body,z_se_w,UP_CHOPPY,3924,0.4024850118380281
5s,body,z_se_w,DOWN_SMOOTH,4662,0.44390331075660466
5s,body,z_se_w,DOWN_CHOPPY,2988,0.5216422957349396
5s,body,z_se_w,FLAT_SMOOTH,9893,0.4976965976754424
5s,body,z_se_w,FLAT_CHOPPY,18315,0.47783347332009657
5s,body,hurst_w,UP_SMOOTH,7146,0.0014838735612312044
5s,body,hurst_w,UP_CHOPPY,3924,-0.02563329231270636
5s,body,hurst_w,DOWN_SMOOTH,4662,-0.01022830049467664
5s,body,hurst_w,DOWN_CHOPPY,2988,-0.02277364258037593
5s,body,hurst_w,FLAT_SMOOTH,9893,-0.005275335797263889
5s,body,hurst_w,FLAT_CHOPPY,18315,-0.003079082660234009
5s,body,reversion_prob_w,UP_SMOOTH,7146,0.025591312309249496
5s,body,reversion_prob_w,UP_CHOPPY,3924,0.0006913427602852813
5s,body,reversion_prob_w,DOWN_SMOOTH,4662,0.043837476677680835
5s,body,reversion_prob_w,DOWN_CHOPPY,2988,0.06289905560042704
5s,body,reversion_prob_w,FLAT_SMOOTH,9893,0.020613472212398915
5s,body,reversion_prob_w,FLAT_CHOPPY,18315,0.03635380348379589
5s,vwap_w,vol_velocity_w,UP_SMOOTH,7146,-0.0007619868905627324
5s,vwap_w,vol_velocity_w,UP_CHOPPY,3924,-0.008081890642198487
5s,vwap_w,vol_velocity_w,DOWN_SMOOTH,4662,0.004769362621974628
5s,vwap_w,vol_velocity_w,DOWN_CHOPPY,2988,0.010853489228938577
5s,vwap_w,vol_velocity_w,FLAT_SMOOTH,9893,0.007098918431503611
5s,vwap_w,vol_velocity_w,FLAT_CHOPPY,18315,0.014687542770621159
5s,vwap_w,vol_mean_w,UP_SMOOTH,7146,-0.09628894520501505
5s,vwap_w,vol_mean_w,UP_CHOPPY,3924,-0.12443031487058824
5s,vwap_w,vol_mean_w,DOWN_SMOOTH,4662,-0.052729221778223485
5s,vwap_w,vol_mean_w,DOWN_CHOPPY,2988,-0.030361163601621374
5s,vwap_w,vol_mean_w,FLAT_SMOOTH,9893,-0.08922943918515566
5s,vwap_w,vol_mean_w,FLAT_CHOPPY,18315,-0.09541782648135379
5s,vwap_w,z_se_w,UP_SMOOTH,7146,-0.007054232501582768
5s,vwap_w,z_se_w,UP_CHOPPY,3924,0.014154570796238835
5s,vwap_w,z_se_w,DOWN_SMOOTH,4662,-0.00017676820690213366
5s,vwap_w,z_se_w,DOWN_CHOPPY,2988,-0.004080197846203681
5s,vwap_w,z_se_w,FLAT_SMOOTH,9893,-0.0007391582902472834
5s,vwap_w,z_se_w,FLAT_CHOPPY,18315,-0.007775799720717208
5s,vwap_w,hurst_w,UP_SMOOTH,7146,-0.024229073926853462
5s,vwap_w,hurst_w,UP_CHOPPY,3924,-0.032608968945710554
5s,vwap_w,hurst_w,DOWN_SMOOTH,4662,-0.012526498125652739
5s,vwap_w,hurst_w,DOWN_CHOPPY,2988,-0.009099051834629363
5s,vwap_w,hurst_w,FLAT_SMOOTH,9893,-0.04595656686642408
5s,vwap_w,hurst_w,FLAT_CHOPPY,18315,-0.032216443757217196
5s,vwap_w,reversion_prob_w,UP_SMOOTH,7146,0.0356533238889917
5s,vwap_w,reversion_prob_w,UP_CHOPPY,3924,0.010409335039925796
5s,vwap_w,reversion_prob_w,DOWN_SMOOTH,4662,0.004038046386259623
5s,vwap_w,reversion_prob_w,DOWN_CHOPPY,2988,-0.01418383384144784
5s,vwap_w,reversion_prob_w,FLAT_SMOOTH,9893,-0.0009359787876149972
5s,vwap_w,reversion_prob_w,FLAT_CHOPPY,18315,-0.012134482809318965
5s,vol_velocity_w,vol_mean_w,UP_SMOOTH,7146,0.7098252988098545
5s,vol_velocity_w,vol_mean_w,UP_CHOPPY,3924,0.6753611422930849
5s,vol_velocity_w,vol_mean_w,DOWN_SMOOTH,4662,0.6690924851607096
5s,vol_velocity_w,vol_mean_w,DOWN_CHOPPY,2988,0.7203703655946546
5s,vol_velocity_w,vol_mean_w,FLAT_SMOOTH,9893,0.6057962855073296
5s,vol_velocity_w,vol_mean_w,FLAT_CHOPPY,18315,0.6032803053585871
5s,vol_velocity_w,z_se_w,UP_SMOOTH,7146,-0.039877294038992615
5s,vol_velocity_w,z_se_w,UP_CHOPPY,3924,0.011612811654829976
5s,vol_velocity_w,z_se_w,DOWN_SMOOTH,4662,-0.002861481155915238
5s,vol_velocity_w,z_se_w,DOWN_CHOPPY,2988,0.00252060717006552
5s,vol_velocity_w,z_se_w,FLAT_SMOOTH,9893,0.005336313739522165
5s,vol_velocity_w,z_se_w,FLAT_CHOPPY,18315,-0.00802419256548311
5s,vol_velocity_w,hurst_w,UP_SMOOTH,7146,0.010533761140653361
5s,vol_velocity_w,hurst_w,UP_CHOPPY,3924,0.004650140184251388
5s,vol_velocity_w,hurst_w,DOWN_SMOOTH,4662,-0.02352537379278207
5s,vol_velocity_w,hurst_w,DOWN_CHOPPY,2988,-0.012317998579645056
5s,vol_velocity_w,hurst_w,FLAT_SMOOTH,9893,0.0007751787535639313
5s,vol_velocity_w,hurst_w,FLAT_CHOPPY,18315,0.005790013619851263
5s,vol_velocity_w,reversion_prob_w,UP_SMOOTH,7146,-0.10274065003884765
5s,vol_velocity_w,reversion_prob_w,UP_CHOPPY,3924,-0.0994959538752851
5s,vol_velocity_w,reversion_prob_w,DOWN_SMOOTH,4662,-0.05457360174461577
5s,vol_velocity_w,reversion_prob_w,DOWN_CHOPPY,2988,-0.04538360327846238
5s,vol_velocity_w,reversion_prob_w,FLAT_SMOOTH,9893,-0.07593491985179464
5s,vol_velocity_w,reversion_prob_w,FLAT_CHOPPY,18315,-0.0535519848675871
5s,vol_mean_w,z_se_w,UP_SMOOTH,7146,-0.030635687846737935
5s,vol_mean_w,z_se_w,UP_CHOPPY,3924,-0.004134646738976299
5s,vol_mean_w,z_se_w,DOWN_SMOOTH,4662,0.010424779446778833
5s,vol_mean_w,z_se_w,DOWN_CHOPPY,2988,0.008580561127805947
5s,vol_mean_w,z_se_w,FLAT_SMOOTH,9893,0.0010735613168280464
5s,vol_mean_w,z_se_w,FLAT_CHOPPY,18315,0.0034071600137737103
5s,vol_mean_w,hurst_w,UP_SMOOTH,7146,0.06551601445009418
5s,vol_mean_w,hurst_w,UP_CHOPPY,3924,0.06172447091440976
5s,vol_mean_w,hurst_w,DOWN_SMOOTH,4662,0.027244528295300833
5s,vol_mean_w,hurst_w,DOWN_CHOPPY,2988,0.049834999689272
5s,vol_mean_w,hurst_w,FLAT_SMOOTH,9893,0.04876711105873953
5s,vol_mean_w,hurst_w,FLAT_CHOPPY,18315,0.05326074555581917
5s,vol_mean_w,reversion_prob_w,UP_SMOOTH,7146,-0.04590136717443333
5s,vol_mean_w,reversion_prob_w,UP_CHOPPY,3924,-0.03010319381290289
5s,vol_mean_w,reversion_prob_w,DOWN_SMOOTH,4662,-0.006836834192772886
5s,vol_mean_w,reversion_prob_w,DOWN_CHOPPY,2988,0.0016490366384464426
5s,vol_mean_w,reversion_prob_w,FLAT_SMOOTH,9893,-0.02780786973790486
5s,vol_mean_w,reversion_prob_w,FLAT_CHOPPY,18315,-0.0003636693909531634
5s,z_se_w,hurst_w,UP_SMOOTH,7146,0.019051201388161132
5s,z_se_w,hurst_w,UP_CHOPPY,3924,-0.0272544349159353
5s,z_se_w,hurst_w,DOWN_SMOOTH,4662,0.007742947750978796
5s,z_se_w,hurst_w,DOWN_CHOPPY,2988,-0.0335580870462154
5s,z_se_w,hurst_w,FLAT_SMOOTH,9893,0.001397465820876527
5s,z_se_w,hurst_w,FLAT_CHOPPY,18315,0.000387595124746545
5s,z_se_w,reversion_prob_w,UP_SMOOTH,7146,0.026183121333749473
5s,z_se_w,reversion_prob_w,UP_CHOPPY,3924,-0.013016875703309541
5s,z_se_w,reversion_prob_w,DOWN_SMOOTH,4662,0.056432582233330975
5s,z_se_w,reversion_prob_w,DOWN_CHOPPY,2988,0.06561340424305456
5s,z_se_w,reversion_prob_w,FLAT_SMOOTH,9893,0.03289881719569221
5s,z_se_w,reversion_prob_w,FLAT_CHOPPY,18315,0.014872839274454064
5s,hurst_w,reversion_prob_w,UP_SMOOTH,7146,0.06817883046652935
5s,hurst_w,reversion_prob_w,UP_CHOPPY,3924,0.07731667218484778
5s,hurst_w,reversion_prob_w,DOWN_SMOOTH,4662,0.0711647591761939
5s,hurst_w,reversion_prob_w,DOWN_CHOPPY,2988,0.11927393578052739
5s,hurst_w,reversion_prob_w,FLAT_SMOOTH,9893,0.07146425339416093
5s,hurst_w,reversion_prob_w,FLAT_CHOPPY,18315,0.07029260703270115
1m,bar_range,body,UP_SMOOTH,7146,0.36683779411218215
1m,bar_range,body,UP_CHOPPY,3924,-0.2547203984829027
1m,bar_range,body,DOWN_SMOOTH,4662,-0.19649574725935104
1m,bar_range,body,DOWN_CHOPPY,2988,-0.11255363376947924
1m,bar_range,body,FLAT_SMOOTH,9893,-0.022937508438321104
1m,bar_range,body,FLAT_CHOPPY,18315,-0.045757302408271
1m,bar_range,vwap_w,UP_SMOOTH,7146,-0.3502091429526651
1m,bar_range,vwap_w,UP_CHOPPY,3924,-0.49786124732649834
1m,bar_range,vwap_w,DOWN_SMOOTH,4662,-0.4429156776722115
1m,bar_range,vwap_w,DOWN_CHOPPY,2988,-0.3220722773685923
1m,bar_range,vwap_w,FLAT_SMOOTH,9890,-0.37790685844074157
