tf,X,Y,Z,r_min,r_max,lift,sign_flip
5m,bar_range,vol_velocity_w,reversion_prob_w,0.14688679453321593,0.4568158618717782,0.3099290673385623,False
5s,bar_range,vwap_w,vol_mean_w,-0.4279115464474001,-0.12054806348180692,0.3073634829655932,False
15m,vol_velocity_w,reversion_prob_w,z_se_w,-0.290763768858334,0.013188523957417481,0.3039522928157515,False
1m,vol_velocity_w,z_se_w,body,-0.17546998899098815,0.1282276876232875,0.30369767661427566,True
5s,vwap_w,vol_mean_w,bar_range,-0.09593714617919834,0.2063440968009005,0.30228124298009884,True
15m,vol_mean_w,reversion_prob_w,vol_velocity_w,-0.048649971584828575,0.25016011005888095,0.29881008164370954,False
1m,vol_mean_w,z_se_w,body,-0.1257695302522675,0.1712261232352744,0.29699565348754187,True
1h,body,z_se_w,bar_range,0.4248503097837402,0.7199421923142124,0.2950918825304722,False
1m,bar_range,vol_velocity_w,reversion_prob_w,0.1259154846028421,0.4200714121272265,0.29415592752438435,False
1m,vol_velocity_w,vol_mean_w,body,-0.189765940400044,0.10316543088478937,0.2929313712848334,True
1h,vol_mean_w,reversion_prob_w,bar_range,0.05780317636307563,0.3495604648790813,0.2917572885160057,False
15m,vol_velocity_w,z_se_w,body,-0.15537473423880285,0.13503187407563444,0.2904066083144373,True
1h,vol_mean_w,hurst_w,vwap_w,-0.13876342148131618,0.15034643079430893,0.28910985227562513,True
15m,vol_velocity_w,vol_mean_w,body,-0.18930604120428743,0.09906759557271212,0.28837363677699956,True
5m,vol_velocity_w,vol_mean_w,body,-0.19122685979648146,0.091363832618322,0.28259069241480345,True
5m,vwap_w,z_se_w,body,-0.14846120530550697,0.13308320786916242,0.2815444131746694,True
15m,bar_range,reversion_prob_w,body,-0.21257734742695367,0.06814281868080378,0.28072016610775746,True
15m,vwap_w,vol_mean_w,bar_range,-0.10095465822207525,0.17631034017926378,0.277264998401339,True
15m,bar_range,body,vwap_w,-0.19243656628971045,0.08344337212836479,0.27587993841807523,True
5m,vol_velocity_w,z_se_w,body,-0.12793548326037768,0.1432738478091538,0.2712093310695315,True
5s,vol_velocity_w,vol_mean_w,reversion_prob_w,0.5228303695205623,0.7931665234463345,0.27033615392577226,False
15m,bar_range,z_se_w,body,-0.15049545185043356,0.11957375107828452,0.27006920292871806,True
1m,bar_range,vol_velocity_w,body,0.024569911989664555,0.29454259992848403,0.26997268793881946,False
1h,bar_range,vol_velocity_w,vol_mean_w,0.30939207253986967,0.578917554656838,0.26952548211696836,False
1m,vol_velocity_w,vol_mean_w,z_se_w,-0.05746102474078505,0.20810275778775655,0.2655637825285416,True
5s,body,z_se_w,bar_range,0.40048326521607114,0.6642011787631543,0.2637179135470832,False
1m,bar_range,vwap_w,vol_mean_w,-0.49395112749829895,-0.23490729933665738,0.25904382816164156,False
5m,bar_range,vol_velocity_w,z_se_w,0.15547870613463313,0.4145068452692585,0.2590281391346254,False
15m,vwap_w,z_se_w,body,-0.15381322629098307,0.10445535923652403,0.2582685855275071,True
1m,bar_range,vol_velocity_w,z_se_w,0.12531592207072295,0.38319583966282506,0.2578799175921021,False
1h,z_se_w,reversion_prob_w,vol_mean_w,-0.0011248687266067496,0.256277097822886,0.25740196654949277,False
5m,bar_range,reversion_prob_w,z_se_w,-0.25100769503670806,0.0015156594744017168,0.2525233545111098,False
15m,bar_range,vwap_w,vol_mean_w,-0.47901094376024034,-0.22844603607632039,0.2505649076839199,False
15m,vol_velocity_w,vol_mean_w,reversion_prob_w,-0.02195643072984904,0.22804613943813412,0.25000257016798316,False
1h,body,hurst_w,z_se_w,-0.12724207326922865,0.1225739347394763,0.24981600800870496,True
1h,bar_range,body,reversion_prob_w,-0.10941399775217339,0.13983662461214263,0.24925062236431603,True
5s,body,z_se_w,vol_velocity_w,0.3487878483222989,0.5970787740358633,0.24829092571356437,False
1m,body,z_se_w,bar_range,0.38987961007347594,0.6367725850596735,0.24689297498619756,False
