actual_pnl,actual_held,direction,same_early_best,same_early_bar,same_at_exit,same_ext_best,same_ext_bar,same_best,same_best_bar,counter_early_best,counter_early_bar,counter_at_exit,counter_ext_best,counter_ext_bar,counter_best,counter_best_bar,best_action,best_pnl,regret,early_entry_gain,best_early_bars_before,best_early_same_peak,best_early_counter_peak,trade_id,day,entry_tier
29.0,7,short,97.0,4,29.0,455.5,259,455.5,259,0.0,0,-29.0,425.0,38,425.0,38,same_extended,455.5,426.5,932.5,115,961.5,0.0,0,2025_01_02,MTF_EXHAUSTION
38.0,5,short,34.0,4,38.0,258.0,84,258.0,84,12.0,1,-38.0,149.0,239,149.0,239,same_extended,258.0,220.0,678.0,39,716.0,0.0,1,2025_01_02,MTF_EXHAUSTION
0.0,7,short,63.5,4,0.0,898.5,361,898.5,361,4.0,2,0.0,114.0,17,114.0,17,same_extended,898.5,898.5,1018.5,5,1018.5,0.0,2,2025_01_07,MTF_EXHAUSTION
-53.5,3,short,0.0,0,-53.5,269.0,170,269.0,170,53.5,3,53.5,219.0,288,219.0,288,same_extended,269.0,322.5,410.0,73,410.0,78.0,3,2025_01_08,MTF_EXHAUSTION
-35.5,2,short,0.0,0,-35.5,424.0,98,424.0,98,49.5,1,35.5,187.5,54,187.5,54,same_extended,424.0,459.5,930.5,116,930.5,0.0,4,2025_01_10,MTF_EXHAUSTION
42.0,6,short,64.0,3,42.0,113.0,17,113.0,17,0.0,0,-42.0,0.0,0,0.0,0,same_extended,113.0,71.0,329.0,78,371.0,0.0,5,2025_01_10,MTF_EXHAUSTION
116.0,4,short,65.5,2,116.0,131.5,11,131.5,11,0.0,0,-116.0,287.0,104,287.0,104,counter_extended,287.0,171.0,341.0,42,457.0,0.0,6,2025_01_14,MTF_EXHAUSTION
20.0,17,short,44.0,6,20.0,20.0,17,44.0,6,5.5,3,-20.0,374.5,99,374.5,99,counter_extended,374.5,354.5,437.0,47,457.0,0.0,7,2025_01_14,MTF_EXHAUSTION
42.5,8,short,53.5,6,42.5,324.0,173,324.0,173,18.0,1,-42.5,101.0,99,101.0,99,same_extended,324.0,281.5,444.0,60,486.5,0.0,8,2025_01_16,MTF_EXHAUSTION
-4.5,7,short,22.0,1,-4.5,118.5,23,118.5,23,0.0,0,4.5,4.5,7,4.5,7,same_extended,118.5,123.0,425.0,51,425.0,0.0,9,2025_01_16,MTF_EXHAUSTION
116.0,5,short,116.0,4,116.0,188.5,52,188.5,52,0.0,0,-116.0,174.0,225,174.0,225,same_extended,188.5,72.5,559.0,114,0.0,675.0,10,2025_01_17,MTF_EXHAUSTION
-2.5,1,short,0.0,0,-2.5,168.5,18,168.5,18,2.5,1,2.5,301.5,201,301.5,201,counter_extended,301.5,304.0,395.5,53,395.5,74.5,11,2025_01_21,MTF_EXHAUSTION
23.0,2,short,0.5,1,23.0,443.5,354,443.5,354,0.0,0,-23.0,57.0,17,57.0,17,same_extended,443.5,420.5,515.5,18,538.5,0.0,12,2025_01_27,MTF_EXHAUSTION
-9.5,2,short,0.0,0,-9.5,808.0,62,808.0,62,13.5,1,9.5,452.0,352,452.0,352,same_extended,808.0,817.5,1139.5,120,1139.5,0.0,13,2025_01_27,MTF_EXHAUSTION
-8.0,4,short,22.5,2,-8.0,-6.0,219,22.5,2,3.5,1,8.0,200.0,339,200.0,339,counter_extended,200.0,208.0,224.5,1,0.0,224.5,14,2025_01_28,MTF_EXHAUSTION
0.0,5,short,20.5,2,0.0,112.5,12,112.5,12,0.0,0,0.0,804.5,317,804.5,317,counter_extended,804.5,804.5,745.5,4,171.5,745.5,15,2025_01_28,MTF_EXHAUSTION
22.0,1,short,0.0,0,22.0,373.0,208,373.0,208,0.0,0,-22.0,65.0,358,65.0,358,same_extended,373.0,351.0,558.5,119,580.5,0.0,16,2025_01_29,MTF_EXHAUSTION
-8.5,5,long,43.0,1,-8.5,127.5,107,127.5,107,19.0,2,8.5,245.5,85,245.5,85,counter_extended,245.5,254.0,447.0,97,447.0,0.0,17,2025_01_29,MTF_EXHAUSTION
-0.5,5,short,40.0,4,-0.5,31.0,6,40.0,4,48.0,2,0.5,317.5,86,317.5,86,counter_extended,317.5,318.0,305.0,16,305.0,52.5,18,2025_01_30,MTF_EXHAUSTION
63.5,8,short,66.0,6,63.5,641.0,163,641.0,163,11.5,2,-63.5,11.5,2,11.5,2,same_extended,641.0,577.5,739.5,119,803.0,0.0,19,2025_01_31,MTF_EXHAUSTION
70.0,2,short,34.5,1,70.0,483.0,148,483.0,148,0.0,0,-70.0,29.0,12,29.0,12,same_extended,483.0,413.0,726.5,66,796.5,0.0,20,2025_01_31,MTF_EXHAUSTION
-3.5,2,short,0.0,0,-3.5,12.0,4,12.0,4,3.5,2,3.5,503.5,225,503.5,225,counter_extended,503.5,507.0,526.5,104,0.0,526.5,21,2025_02_03,MTF_EXHAUSTION
