actual_pnl,actual_held,direction,same_early_best,same_early_bar,same_at_exit,same_ext_best,same_ext_bar,same_best,same_best_bar,counter_early_best,counter_early_bar,counter_at_exit,counter_ext_best,counter_ext_bar,counter_best,counter_best_bar,best_action,best_pnl,regret,early_entry_gain,best_early_bars_before,best_early_same_peak,best_early_counter_peak,trade_id,day,entry_tier
-94.5,1,short,0.0,0,-94.5,177.0,257,177.0,257,94.5,1,94.5,165.0,26,165.0,26,same_extended,177.0,271.5,803.5,78,803.5,0.0,0,2025_02_07,FREIGHT_TRAIN
4.0,1,short,0.0,0,4.0,102.0,67,102.0,67,6.0,2,-4.0,114.0,325,114.0,325,counter_extended,114.0,110.0,119.0,1,123.0,93.0,1,2025_04_01,FREIGHT_TRAIN
494.0,3,short,412.0,2,494.0,1552.0,51,1552.0,51,0.0,0,-494.0,0.0,0,0.0,0,same_extended,1552.0,1058.0,1886.5,11,2380.5,0.0,2,2025_04_02,FREIGHT_TRAIN
34.5,2,short,0.0,0,34.5,747.0,41,747.0,41,64.5,1,-34.5,64.5,1,64.5,1,same_extended,747.0,712.5,2346.0,21,2380.5,0.0,3,2025_04_02,FREIGHT_TRAIN
86.0,1,short,0.0,0,86.0,338.5,18,338.5,18,0.0,0,-86.0,0.0,0,0.0,0,same_extended,338.5,252.5,2294.5,44,2380.5,0.0,4,2025_04_02,FREIGHT_TRAIN
-4.0,1,long,0.0,0,-4.0,64.0,160,64.0,160,72.5,3,4.0,1112.0,265,1112.0,265,counter_extended,1112.0,1116.0,1903.0,92,0.0,1903.0,5,2025_04_04,FREIGHT_TRAIN
-137.0,2,long,0.0,0,-137.0,-55.0,90,0.0,0,174.0,3,137.0,539.5,60,539.5,60,counter_extended,539.5,676.5,646.5,1,0.0,646.5,6,2025_04_06,FREIGHT_TRAIN
-54.5,1,long,0.0,0,-54.5,2633.0,254,2633.0,254,54.5,1,54.5,591.0,219,591.0,219,same_extended,2633.0,2687.5,3122.5,41,3122.5,101.5,7,2025_04_07,FREIGHT_TRAIN
734.5,2,long,237.0,1,734.5,1196.0,6,1196.0,6,0.0,0,-734.5,1071.5,27,1071.5,27,same_extended,1196.0,461.5,2489.5,29,3224.0,0.0,8,2025_04_07,FREIGHT_TRAIN
414.5,1,short,0.0,0,414.5,1589.5,19,1589.5,19,0.0,0,-414.5,0.0,0,0.0,0,same_extended,1589.5,1175.0,2809.5,37,0.0,3224.0,9,2025_04_07,FREIGHT_TRAIN
