**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

tf,c1,c2,regime_min,regime_max,is_r_min,is_r_max,oos_r_min,oos_r_max,n_oos_min,n_oos_max,sign_min_ok,sign_max_ok,regime_diff_holds,survives
1h,bar_range,z_se_w,DOWN_SMOOTH,UP_SMOOTH,-0.3820623768261482,0.2829324448195977,-0.3481793993120161,0.218473760491199,1782,2592,True,True,True,True
5m,price_velocity_w,vol_mean_w,DOWN_SMOOTH,UP_SMOOTH,-0.3414354522383268,0.3171852312071447,-0.29376364486992507,0.22717255739265835,1782,2592,True,True,True,True
5m,price_velocity_1b,bar_range,DOWN_SMOOTH,UP_SMOOTH,-0.3203014242091702,0.3337930058676726,-0.3056327192354444,0.23771385648119148,1782,2592,True,True,True,True
1m,bar_range,price_velocity_w,DOWN_SMOOTH,UP_SMOOTH,-0.2980928660749895,0.3067309442134124,-0.25059510725159634,0.15692325640529572,1782,2592,True,True,True,True
5m,bar_range,body,DOWN_SMOOTH,UP_SMOOTH,-0.2661170387843862,0.335001659574473,-0.26648008495497977,0.24708145974236795,1782,2592,True,True,True,True
1h,body,vol_velocity_w,DOWN_SMOOTH,UP_SMOOTH,-0.3480349373372131,0.2388818832951948,-0.2614641853031406,0.18938073568068717,1782,2592,True,True,True,True
15m,bar_range,price_accel_w,DOWN_SMOOTH,UP_SMOOTH,-0.2436846409566326,0.3392301166486702,-0.25960035236471113,0.22546693980848453,1782,2592,True,True,True,True
1h,price_accel_1b,reversion_prob_w,UP_SMOOTH,DOWN_SMOOTH,-0.2547674281699191,0.3275307126971725,-0.26558875573174473,0.42985322289636324,2592,1782,True,True,True,True
15m,price_velocity_1b,reversion_prob_w,UP_SMOOTH,DOWN_SMOOTH,-0.2585471433503244,0.3019877399172129,-0.3431159968617782,0.35293547782677925,2592,1782,True,True,True,True
1h,price_accel_w,vol_velocity_w,DOWN_SMOOTH,UP_SMOOTH,-0.3346554892442283,0.2246375480238737,-0.3254325612994126,0.157634805984853,1782,2592,True,True,True,True
1h,price_velocity_1b,vol_velocity_w,DOWN_SMOOTH,UP_SMOOTH,-0.3190556396444659,0.2383704510920551,-0.2543200613001619,0.17727961835860112,1782,2592,True,True,True,True
1h,bar_range,z_high_w,DOWN_SMOOTH,UP_SMOOTH,-0.2362374401911801,0.318588792560476,-0.21482758670975158,0.3008948827736937,1782,2592,True,True,True,True
1h,price_accel_1b,vol_velocity_1b,DOWN_SMOOTH,UP_CHOPPY,-0.2722366104282332,0.2687699594797032,-0.24756921346119512,0.17008949887281627,1782,1104,True,True,True,True
1h,z_high_w,reversion_prob_w,UP_SMOOTH,DOWN_SMOOTH,-0.4041598983505358,0.1195714844485418,-0.4049457232949798,0.276896366226379,2592,1782,True,True,True,True
1m,price_velocity_w,vol_sigma_w,DOWN_SMOOTH,UP_SMOOTH,-0.2785735894001913,0.2370989231181355,-0.19301033067693316,0.19546844774930122,1782,2592,True,True,True,True
1h,price_accel_1b,bar_range,DOWN_SMOOTH,UP_SMOOTH,-0.1774670954911435,0.3303647910949102,-0.2438994738579053,0.2416020303655892,1782,2592,True,True,True,True
15m,body,reversion_prob_w,UP_SMOOTH,DOWN_SMOOTH,-0.220649660183652,0.2744043383984271,-0.2604742011854094,0.3033318643978659,2592,1782,True,True,True,True
1h,body,vol_accel_w,DOWN_SMOOTH,UP_CHOPPY,-0.2954600265222163,0.1847920656324795,-0.2922201482017928,0.20972300414051426,1782,1104,True,True,True,True
15m,vol_velocity_1b,body,DOWN_SMOOTH,UP_SMOOTH,-0.3127258018631347,0.1577106418199711,-0.29653839096480544,0.20565863172769283,1782,2592,True,True,True,True
15m,price_velocity_1b,vol_velocity_1b,DOWN_SMOOTH,UP_SMOOTH,-0.3034994150924099,0.1631120623053608,-0.2972409410655462,0.19195376744447323,1782,2592,True,True,True,True
1m,price_velocity_w,vol_mean_w,DOWN_SMOOTH,UP_SMOOTH,-0.2417490921253808,0.2225276834802164,-0.21179621628932255,0.18550461958582556,1782,2592,True,True,True,True
15m,price_accel_w,vol_accel_w,DOWN_SMOOTH,UP_SMOOTH,-0.3092523012957057,0.1488271823910847,-0.25629420821955573,0.1606739322916583,1782,2592,True,True,True,True
15m,price_accel_1b,vol_accel_1b,DOWN_SMOOTH,UP_SMOOTH,-0.280101149114241,0.1761637524898297,-0.23451884823417812,0.23729005353009236,1782,2592,True,True,True,True
1h,price_velocity_1b,vol_accel_w,DOWN_SMOOTH,UP_CHOPPY,-0.2692545592031476,0.1832931325648314,-0.29046713207587577,0.2068331581922326,1782,1104,True,True,True,True
15m,price_accel_w,vol_velocity_w,DOWN_SMOOTH,UP_SMOOTH,-0.234658325767204,0.2171052202443992,-0.23517237967549187,0.227570848167797,1782,2592,True,True,True,True
1h,price_velocity_w,vol_velocity_w,DOWN_SMOOTH,UP_CHOPPY,-0.1772965896277028,0.2731197549820416,-0.2974141445682219,0.262531019123818,1782,1104,True,True,True,True
1h,price_accel_1b,vol_accel_w,DOWN_SMOOTH,UP_CHOPPY,-0.2328768582062688,0.1849024738043632,-0.15646523177617788,0.11747237167326842,1782,1104,True,True,True,True
