category,duration_sec,mfe_pts,mae_pts,time_to_mfe,time_to_mae
Big Winner,4924.0,128.5,-16.0,3572.0,162.0
Chopped Out,2131.0,53.5,-30.25,951.0,1269.5
Small Winner,1993.5,25.75,-14.25,935.5,289.5
Stopped Out,932.0,13.0,-50.5,121.5,859.5
