day,N,R2_Contemp,R2_Forward,block
2024_02_20,60,0.9999999999932221,-0.011005283112272357,IS_H1_2024
2024_02_20,120,0.9999999999902232,0.00391735008021874,IS_H1_2024
2024_02_20,240,0.9999999999854167,-0.03305557012298595,IS_H1_2024
2024_02_20,480,0.9999999999754745,-1.0624213408392627,IS_H1_2024
2024_02_20,960,0.9999999999494836,-0.5021373053948663,IS_H1_2024
2024_02_20,1920,0.9999999998785769,-1.4949381493894707,IS_H1_2024
2024_02_20,3840,0.9999999998182295,-60.32434010119097,IS_H1_2024
2024_02_21,60,0.9999999999864151,-0.12102218529170213,IS_H1_2024
2024_02_21,120,0.9999999999695058,-0.07807649911224834,IS_H1_2024
2024_02_21,240,0.9999999999595456,-0.7307424073275346,IS_H1_2024
2024_02_21,480,0.9999999999675289,-0.16685172164890505,IS_H1_2024
2024_02_21,960,0.9999999999661913,-1.0323646668507702,IS_H1_2024
2024_02_21,1920,0.9999999998745569,-16.036619858447086,IS_H1_2024
2024_02_21,3840,0.9999999990978553,-225.31017230393908,IS_H1_2024
2024_02_22,60,0.9999999999934538,-0.0250390259404794,IS_H1_2024
2024_02_22,120,0.9999999999923258,-0.10751399773974772,IS_H1_2024
2024_02_22,240,0.999999999991414,-0.26671898555339857,IS_H1_2024
2024_02_22,480,0.9999999999917376,-0.22995671666648473,IS_H1_2024
2024_02_22,960,0.9999999999909175,-1.7217362487818513,IS_H1_2024
2024_02_22,1920,0.9999999999883015,-2.5810396271726535,IS_H1_2024
2024_02_22,3840,0.9999999999708429,-37.9284696281333,IS_H1_2024
2024_02_23,60,0.9999999999921341,-0.023160033946646275,IS_H1_2024
2024_02_23,120,0.9999999999905522,-0.07370038392395481,IS_H1_2024
2024_02_23,240,0.9999999999880295,-0.11065954538867348,IS_H1_2024
2024_02_23,480,0.9999999999860517,-0.31744572836300167,IS_H1_2024
2024_02_23,960,0.9999999999786073,-1.850793485954092,IS_H1_2024
2024_02_23,1920,0.999999999960236,-2.680765910593041,IS_H1_2024
2024_02_23,3840,0.9999999998993084,-36.96804196534474,IS_H1_2024
2024_02_26,60,0.9999999999930083,-0.02537950815561074,IS_H1_2024
2024_02_26,120,0.9999999999919268,-0.07701564094469768,IS_H1_2024
2024_02_26,240,0.9999999999897925,-0.11810519616805581,IS_H1_2024
2024_02_26,480,0.9999999999837488,-0.3565300127414815,IS_H1_2024
2024_02_26,960,0.9999999999732591,-0.9616409073016223,IS_H1_2024
2024_02_26,1920,0.9999999999787509,-1.5058029114861997,IS_H1_2024
2024_02_26,3840,0.9999999999647015,-16.42372063051619,IS_H1_2024
