**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

======================================================================
  STANDALONE RESEARCH
  Data: DATA/ATLAS
  Base TF: 1m
  Context: 21d warmup, 0d analysis
  Mode: PRICE I-MR (default)
======================================================================

--- STEP 1: Loading base TF data (1m) ---
  1m: 391,514 bars loaded

--- STEP 2: Price I-MR Chart ---
  Price I-MR: 391514 bars, warmup=20010, analysis=371504
  Center=21383.93, MR_bar=4.28, UCL_MR=13.99, UCL_I=21395.32, LCL_I=21372.54
    R198:   17 bars, price=21335.1, vol=5.84, dir=LONG, chg=+39.8
    R199:  180 bars, price=21388.9, vol=4.05, dir=LONG, chg=+21.5
    R200:   43 bars, price=21437.5, vol=5.28, dir=LONG, chg=+64.2
    R201:   16 bars, price=21452.0, vol=7.02, dir=LONG, chg=+10.0
    R202:   96 bars, price=21443.9, vol=5.15, dir=SHORT, chg=-4.5
    R203:   17 bars, price=21501.2, vol=8.07, dir=LONG, chg=+49.2
    R204:   27 bars, price=21599.9, vol=8.84, dir=LONG, chg=+101.0
    R205:   34 bars, price=21650.1, vol=8.04, dir=SHORT, chg=-13.0
    R206:   37 bars, price=21654.4, vol=5.55, dir=LONG, chg=+51.5
    R207:   26 bars, price=21666.4, vol=5.58, dir=SHORT, chg=-20.0
    R208:   20 bars, price=21648.8, vol=4.11, dir=SHORT, chg=-7.2
    R209:   12 bars, price=21601.4, vol=6.69, dir=SHORT, chg=-16.2
    R210:   37 bars, price=21588.8, vol=6.41, dir=LONG, chg=+16.2
    R211:  114 bars, price=21640.3, vol=3.79, dir=LONG, chg=+81.8
    R212:   63 bars, price=21647.6, vol=4.66, dir=SHORT, chg=-10.8
    R213:   13 bars, price=21619.8, vol=4.83, dir=LONG, chg=+3.0
    R214:  195 bars, price=21592.7, vol=3.46, dir=SHORT, chg=-23.0
    R215:  330 bars, price=21556.5, vol=2.30, dir=SHORT, chg=-75.8
    R216:  101 bars, price=21511.2, vol=3.35, dir=SHORT, chg=-7.2
    R217:   67 bars, price=21473.3, vol=4.53, dir=SHORT, chg=-24.2
    R218:  290 bars, price=21495.1, vol=3.38, dir=LONG, chg=+118.8
    R219:   24 bars, price=21568.4, vol=8.60, dir=LONG, chg=+14.5
    R220:   14 bars, price=21532.5, vol=14.07, dir=SHORT, chg=-28.8
    R221:   46 bars, price=21571.7, vol=6.41, dir=LONG, chg=+62.2
    R222:    9 bars, price=21607.3, vol=7.17, dir=LONG, chg=+28.0
    R223:   15 bars, price=21585.3, vol=5.63, dir=SHORT, chg=-31.5
    R224:   85 bars, price=21692.2, vol=4.77, dir=LONG, chg=+110.0
    R225:  184 bars, price=21713.4, vol=3.82, dir=LONG, chg=+34.2
