tf,X,Y,Z,r_min,r_max,lift,n_bins,sign_flip
15m,price_velocity_1b,bar_range,price_accel_1b,-0.7114352723239078,0.6057443369854257,1.3171796093093335,5,True
15m,z_se_w,reversion_prob_w,price_accel_w,-0.6376504280274071,0.6767154859784634,1.3143659140058706,5,True
5s,z_se_w,reversion_prob_w,price_accel_w,-0.6353787460059946,0.6784281172147841,1.3138068632207789,5,True
5s,z_low_w,reversion_prob_w,price_velocity_1b,-0.548743515467804,0.7622672991624779,1.311010814630282,5,True
15m,vol_velocity_w,vol_sigma_w,bar_range,-0.7354083321213882,0.5712169793407289,1.3066253114621171,5,True
1h,price_velocity_1b,reversion_prob_w,z_low_w,-0.6473746021838628,0.6570226381046365,1.3043972402884991,5,True
5m,price_velocity_1b,bar_range,price_accel_1b,-0.6969655031593676,0.6046095962740574,1.301575099433425,5,True
5s,bar_range,body,price_accel_1b,-0.6937186614124655,0.6070137933379586,1.300732454750424,5,True
5s,vol_velocity_1b,vol_mean_w,vol_accel_1b,-0.4467224889375788,0.846106029724168,1.292828518661747,5,True
5s,z_high_w,reversion_prob_w,price_velocity_1b,-0.7340812340554231,0.5557674805877958,1.289848714643219,5,True
5m,z_low_w,reversion_prob_w,price_velocity_1b,-0.5120776435766271,0.7637323594291965,1.2758100030058235,5,True
1m,bar_range,body,price_accel_1b,-0.6735532670802221,0.5988066687085536,1.2723599357887756,5,True
5m,z_high_w,reversion_prob_w,price_velocity_1b,-0.7429016836340593,0.5264871239888044,1.2693888076228637,5,True
5s,z_se_w,reversion_prob_w,price_accel_1b,-0.612791026923089,0.6546157584679752,1.267406785391064,5,True
1m,bar_range,price_accel_w,z_se_w,-0.6135302959538563,0.6528458965068694,1.2663761924607257,5,True
5s,z_low_w,reversion_prob_w,body,-0.5350478312675149,0.7312393037254237,1.2662871349929385,4,True
5s,vol_accel_1b,vol_sigma_w,vol_velocity_1b,-0.36005663357338646,0.9039734649539782,1.2640300985273647,5,True
1m,price_velocity_1b,bar_range,price_accel_1b,-0.6703055611727905,0.5933537449268433,1.2636593060996337,5,True
5m,z_low_w,reversion_prob_w,body,-0.5048122687200611,0.7581019083134714,1.2629141770335326,5,True
5m,z_high_w,reversion_prob_w,body,-0.7375349143068071,0.5209708499481633,1.2585057642549704,5,True
15m,z_high_w,reversion_prob_w,body,-0.70488062749859,0.5455474222774124,1.2504280497760023,5,True
15m,z_high_w,reversion_prob_w,price_velocity_1b,-0.7027906983043818,0.541415734684831,1.2442064329892126,5,True
5m,z_se_w,reversion_prob_w,price_accel_1b,-0.613933814034764,0.6284275544258633,1.2423613684606272,5,True
5s,z_high_w,reversion_prob_w,body,-0.6962052675830284,0.5427589281430009,1.2389641957260293,4,True
1h,z_se_w,reversion_prob_w,z_high_w,-0.3849022021636927,0.8529306001627915,1.2378328023264842,5,True
5s,vol_velocity_1b,vol_mean_w,vol_accel_w,-0.3804229350593251,0.8570501247325605,1.2374730597918857,5,True
5s,vol_accel_1b,vol_sigma_w,vol_accel_w,-0.34213899426471805,0.8935770087084655,1.2357160029731835,5,True
15m,z_low_w,reversion_prob_w,price_velocity_1b,-0.5199289102934089,0.7153075009081001,1.235236411201509,5,True
5s,vol_velocity_1b,vol_sigma_w,bar_range,-0.412399305315958,0.8225072738843421,1.2349065792003,5,True
5s,vol_velocity_1b,vol_sigma_w,vol_velocity_w,-0.35360609681045835,0.8788272538201289,1.2324333506305873,5,True
1h,body,reversion_prob_w,z_low_w,-0.5586309277824393,0.6730178553793563,1.2316487831617957,5,True
5m,vol_velocity_w,vol_sigma_w,bar_range,-0.650597137352742,0.5803390295195783,1.2309361668723202,5,True
5s,vol_accel_w,vol_mean_w,vol_velocity_1b,-0.36687392461010904,0.8458353322899602,1.2127092569000693,5,True
5s,bar_range,body,price_accel_w,-0.6602998073885696,0.5511243230787329,1.2114241304673026,5,True
5m,price_velocity_1b,SE_low_w,z_se_w,-0.7042093500046588,0.50188186185454,1.2060912118591989,5,True
1h,bar_range,price_accel_w,z_se_w,-0.5804301482931393,0.6251336172504981,1.2055637655436375,5,True
15m,z_low_w,reversion_prob_w,body,-0.4944377356783613,0.7098327237497676,1.2042704594281288,5,True
1h,z_low_w,reversion_prob_w,price_velocity_1b,-0.4829073714645673,0.7131979069976531,1.1961052784622204,5,True
1h,z_high_w,reversion_prob_w,body,-0.6993400743716972,0.4967322419691924,1.1960723163408895,5,True
5s,vol_velocity_w,vol_mean_w,vol_velocity_1b,-0.3343951383031375,0.8598883746018555,1.1942835129049931,5,True
5s,vol_accel_w,vol_sigma_w,vol_velocity_w,-0.3144264037331043,0.8732396832840789,1.1876660870171831,5,True
5s,vol_velocity_w,vol_sigma_w,vol_velocity_1b,-0.24743282912715306,0.9373235731337358,1.184756402260889,5,True
1h,z_high_w,reversion_prob_w,price_velocity_1b,-0.6931742233135105,0.4896718729702436,1.1828460962837541,5,True
5m,bar_range,body,z_high_w,-0.5652038241940291,0.607986566293461,1.1731903904874903,5,True
15m,bar_range,price_accel_w,z_se_w,-0.5994817825681857,0.573360804568436,1.1728425871366217,5,True
5m,price_velocity_1b,SE_high_w,z_se_w,-0.489555423193935,0.6823288176315448,1.17188424082548,5,True
5s,vol_accel_w,vol_mean_w,vol_accel_1b,-0.35505522544632256,0.816508258460981,1.1715634839073035,5,True
1h,price_accel_1b,bar_range,price_accel_w,-0.5666546601630469,0.6043561840824629,1.1710108442455098,5,True
5s,vol_velocity_w,vol_sigma_w,bar_range,-0.30491151752785894,0.8599448035770582,1.1648563211049172,5,True
5s,vol_velocity_w,vol_mean_w,vol_accel_w,-0.29025583798777205,0.8715094280825573,1.1617652660703293,5,True
5s,vol_velocity_1b,vol_mean_w,bar_range,-0.43822972882533207,0.7228147527552318,1.1610444815805638,5,True
1m,z_high_w,reversion_prob_w,price_velocity_1b,-0.6317821474806112,0.5235701565485396,1.155352304029151,5,True
5m,price_velocity_1b,price_sigma_w,z_se_w,-0.5914368562859871,0.563610446722144,1.1550473030081312,5,True
1h,price_velocity_1b,reversion_prob_w,z_se_w,-0.5291904733394167,0.6237492491844682,1.1529397225238849,5,True
1m,z_high_w,reversion_prob_w,body,-0.6329360955314809,0.5198453721927073,1.1527814677241883,5,True
