Z,mean_lift,max_lift,n_triplets
z_se_w,0.27950849502158176,1.7938983679464036,1155
price_velocity_1b,0.24265138622211524,1.7480205013343793,1155
body,0.23599496686132768,1.7306863531784562,1155
z_low_w,0.22326454413106808,1.697162292826855,1155
price_accel_w,0.21714722476361997,1.6662539972033714,1155
z_high_w,0.2152728583294885,1.7145086414310975,1155
price_accel_1b,0.20887819895952955,1.512558153913488,1155
bar_range,0.1662803460906264,1.3066253114621171,1155
vol_velocity_1b,0.16343665123049123,1.3579893843633413,1155
vol_accel_w,0.16131410867128446,1.4674741748685771,1155
reversion_prob_w,0.15189726943611354,1.0167973377209194,1155
price_velocity_w,0.15113218590838914,1.1034686088238503,1155
vol_accel_1b,0.149809323191328,1.444863297388204,1155
vol_mean_w,0.14234324394810974,0.9827742738038762,1155
SE_low_w,0.1409411284249605,0.8082436491966855,1155
vol_velocity_w,0.14021220579614582,1.2324333506305873,1155
SE_high_w,0.13745117195810583,0.7759676389182374,1155
vol_sigma_w,0.13026408767271636,1.047444494129166,1155
price_mean_w,0.10581485146006844,0.8209275010727821,1155
price_sigma_w,0.1051072278343032,0.9388709853823729,1155
vwap_w,0.10242495628719937,0.9360625151241835,1155
swing_noise_w,0.09573979535846905,0.7953183534682738,1155
hurst_w,0.09131881967818681,0.8683088999037267,1155
