concept,tf,v1_threshold,v1_fire_rate_pct,v2_rate_pct_if_literal,v2_rate_change_pct,v2_threshold_matched,v2_rate_pct_at_matched
|velocity|,1m,10.0,8.474699672369859,0.11649071714597743,-98.62542955326461,2.466666666666667,8.382477854629293
|velocity|,1m,30.0,0.6406989443028759,0.0,-100.0,7.633974032277669,0.6406989443028759
|velocity|,1m,50.0,0.11649071714597743,0.0,-100.0,9.951067831570253,0.11649071714597743
|velocity|,1m,100.0,0.0,0.0,0.0,100.0,0.0
|velocity|,5m,10.0,27.72964446062371,3.2034947215143794,-88.44740066514966,3.0833333333333335,27.62771508312098
|velocity|,5m,30.0,4.7906807426283216,0.0,-100.0,8.444444444444445,4.6523480160174735
|velocity|,5m,50.0,1.4512801844436354,0.0,-100.0,17.75,1.3105205678922462
|velocity|,5m,100.0,0.1456133964324718,0.0,-100.0,24.41885086761128,0.1456133964324718
|velocity|,15m,10.0,50.532702341948784,9.605630384662057,-80.99125924502928,3.2083333333333335,50.49387210290013
|velocity|,15m,30.0,11.158839946608422,0.0,-100.0,9.770833333333334,10.913724062613761
|velocity|,15m,50.0,5.664361121223153,0.0,-100.0,12.416666666666666,5.237228491687902
|velocity|,15m,100.0,2.6210411357844925,0.0,-100.0,16.541666666666668,2.61618735590341
|velocity|,1h,10.0,69.15908263560247,45.24936294139061,-34.572060216864934,5.333333333333333,67.55976216478584
|velocity|,1h,30.0,24.021356631476763,2.579784006795292,-89.2604566579107,13.395833333333334,23.116126683654898
|velocity|,1h,50.0,9.921126076932412,0.0,-100.0,24.520833333333332,9.416332969299843
|velocity|,1h,100.0,1.7473607571896617,0.0,-100.0,30.3125,1.4245843950976822
