concept,tf,v1_threshold,v1_fire_rate_pct,v2_rate_pct_if_literal,v2_rate_change_pct,v2_threshold_matched,v2_rate_pct_at_matched
|z_se|,1m,1.0,44.1354204586822,40.7013711928164,-7.7807104365995885,0.9285728927197778,44.120859119038954
|z_se|,1m,1.4,25.77842494842859,22.390486591433078,-13.142534362643577,1.316712813461095,25.77599805848805
|z_se|,1m,1.5,21.747360757189664,18.466205557577965,-15.087601830152888,1.4149218715999077,21.74008008736804
|z_se|,1m,2.0,7.6447033127047685,5.188690692877078,-32.126984126984134,1.8711976172241993,7.622861303239898
|z_se|,5m,1.0,39.82769081422157,33.085790559398134,-16.927670464932053,0.89507648026606,39.78400679529183
|z_se|,5m,1.4,21.897827933503216,12.799417546414272,-41.54937382245373,1.180467084978138,21.80317922582211
|z_se|,5m,1.5,17.26246814706953,8.282975367067104,-52.017432869394064,1.294816667123651,17.26004125712899
|z_se|,5m,2.0,6.829268292682928,0.8081543502002184,-88.16631130063965,1.5679963630423248,6.739473364882903
|z_se|,15m,1.0,37.536706710350686,34.226428831452495,-8.81877545742549,0.9599588728269579,37.514864700885816
|z_se|,15m,1.4,21.985195971362696,17.374105084334428,-20.973617397063684,1.236349078553888,21.839582574930226
|z_se|,15m,1.5,19.223395219026816,14.289527969906565,-25.665951268779192,1.343998731526684,19.053512923188933
|z_se|,15m,2.0,8.037859483072443,4.329571653925495,-46.135265700483096,1.7178195379512484,7.904380536342677
|z_se|,1h,1.0,50.787525785705625,40.38344861060551,-20.485497204568265,0.8698574588284957,50.43077296444606
|z_se|,1h,1.4,23.565101322655018,21.31537434777333,-9.546858908341923,1.3957371917401744,23.021477975973788
|z_se|,1h,1.5,23.565101322655018,19.966023540832424,-15.272914521112263,1.3957371917401744,23.021477975973788
|z_se|,1h,2.0,12.224244630506007,6.525907050115277,-46.61504864006353,1.759314332134779,11.408809610484164
