shape,count,total,p_mean,ci95_lo,ci95_hi
FLATLINE,3247,21048,0.1543,0.1495,0.1592
STEEP_LINEAR_DOWN,2793,21048,0.1327,0.1282,0.1373
STEEP_LINEAR_UP,2723,21048,0.1294,0.1249,0.134
STEEP_CONCAVE_UP,2445,21048,0.1162,0.1119,0.1206
STEEP_CONVEX_DOWN,2238,21048,0.1064,0.1022,0.1106
NOISE,1550,21048,0.0737,0.0702,0.0772
GENTLE_CONCAVE_UP,1404,21048,0.0667,0.0634,0.0702
GENTLE_CONVEX_DOWN,1347,21048,0.064,0.0608,0.0674
GENTLE_LINEAR_DOWN,708,21048,0.0337,0.0313,0.0362
GENTLE_LINEAR_UP,689,21048,0.0328,0.0304,0.0352
STEEP_CONVEX_UP,650,21048,0.0309,0.0286,0.0333
STEEP_CONCAVE_DOWN,619,21048,0.0295,0.0272,0.0318
GENTLE_CONVEX_UP,331,21048,0.0158,0.0141,0.0175
GENTLE_CONCAVE_DOWN,304,21048,0.0145,0.0129,0.0161
