**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

shape,skew,n,k_up,p_up_mean,ci95_lo,ci95_hi,mean_fwd_return
NOISE,NONE,64081,31272,0.488,0.4841,0.4919,0.039
STEEP_LINEAR_UP,NONE,24229,11411,0.471,0.4647,0.4773,-0.074
STEEP_LINEAR_DOWN,NONE,24035,11982,0.4985,0.4922,0.5048,0.129
FLATLINE,NONE,13840,6737,0.4868,0.4785,0.4951,-0.04
STEEP_CONVEX_DOWN,BACK_SKEWED,9472,4616,0.4873,0.4773,0.4974,0.056
STEEP_CONCAVE_UP,BACK_SKEWED,9409,4557,0.4843,0.4742,0.4944,-0.08
STEEP_CONCAVE_UP,FRONT_SKEWED,7905,3812,0.4822,0.4712,0.4932,-0.092
STEEP_CONCAVE_DOWN,BACK_SKEWED,6840,3430,0.5015,0.4896,0.5133,0.084
STEEP_CONCAVE_UP,SYMMETRIC,6769,3193,0.4717,0.4598,0.4836,-0.179
STEEP_CONVEX_DOWN,FRONT_SKEWED,6702,3226,0.4814,0.4694,0.4933,-0.125
STEEP_CONVEX_UP,BACK_SKEWED,6561,3063,0.4669,0.4548,0.4789,-0.133
STEEP_CONVEX_DOWN,SYMMETRIC,6296,3047,0.484,0.4716,0.4963,0.084
STEEP_CONVEX_UP,SYMMETRIC,4184,1978,0.4728,0.4577,0.4879,-0.156
STEEP_CONCAVE_DOWN,SYMMETRIC,4104,1995,0.4861,0.4708,0.5014,-0.28
STEEP_CONVEX_UP,FRONT_SKEWED,3393,1629,0.4801,0.4633,0.4969,0.015
STEEP_CONCAVE_DOWN,FRONT_SKEWED,3274,1595,0.4872,0.4701,0.5043,0.026
STEEP_CONCAVE_UP,NONE,183,85,0.4649,0.3936,0.5368,-0.19
STEEP_LINEAR_DOWN,BACK_SKEWED,158,73,0.4625,0.386,0.5399,-0.617
STEEP_LINEAR_UP,BACK_SKEWED,158,61,0.3875,0.3137,0.464,-0.589
GENTLE_LINEAR_UP,NONE,156,66,0.4241,0.3483,0.5017,-0.189
STEEP_CONVEX_DOWN,NONE,150,80,0.5329,0.4535,0.6114,0.628
GENTLE_LINEAR_DOWN,NONE,139,63,0.4539,0.3728,0.5363,-0.282
STEEP_CONVEX_UP,NONE,115,49,0.4274,0.3394,0.5176,-0.172
FLATLINE,BACK_SKEWED,115,56,0.4872,0.3974,0.5774,-0.067
STEEP_CONCAVE_DOWN,NONE,109,49,0.4505,0.3593,0.5433,-0.466
STEEP_LINEAR_UP,FRONT_SKEWED,83,31,0.3765,0.2771,0.4813,-1.599
STEEP_LINEAR_DOWN,SYMMETRIC,71,33,0.4658,0.3533,0.58,-0.835
NOISE,BACK_SKEWED,70,31,0.4444,0.3323,0.5595,-0.282
GENTLE_CONVEX_DOWN,BACK_SKEWED,67,25,0.3768,0.2671,0.4933,0.153
NOISE,FRONT_SKEWED,65,36,0.5522,0.433,0.6686,0.223
STEEP_LINEAR_DOWN,FRONT_SKEWED,63,32,0.5077,0.3873,0.6277,0.052
STEEP_LINEAR_UP,SYMMETRIC,62,30,0.4844,0.3638,0.6059,-0.48
FLATLINE,FRONT_SKEWED,61,28,0.4603,0.3398,0.5832,-0.775
FLATLINE,SYMMETRIC,60,31,0.5161,0.3927,0.6386,0.692
GENTLE_CONCAVE_UP,BACK_SKEWED,55,25,0.4561,0.3299,0.5853,-0.145
NOISE,SYMMETRIC,47,18,0.3878,0.2577,0.5265,-1.532
GENTLE_CONCAVE_UP,FRONT_SKEWED,43,23,0.5333,0.3885,0.6754,0.297
GENTLE_CONCAVE_DOWN,BACK_SKEWED,42,16,0.3864,0.2498,0.5327,0.071
GENTLE_CONVEX_UP,BACK_SKEWED,39,18,0.4634,0.3151,0.6151,-0.212
GENTLE_CONCAVE_UP,SYMMETRIC,38,23,0.6,0.4462,0.7443,0.678
GENTLE_CONVEX_UP,FRONT_SKEWED,37,13,0.359,0.2181,0.5135,-0.27
GENTLE_CONVEX_DOWN,SYMMETRIC,35,17,0.4865,0.3292,0.6451,-0.05
GENTLE_CONVEX_DOWN,FRONT_SKEWED,29,14,0.4839,0.313,0.6567,-0.06
GENTLE_CONCAVE_DOWN,FRONT_SKEWED,28,15,0.5333,0.3569,0.7055,-0.277
GENTLE_CONCAVE_DOWN,SYMMETRIC,26,16,0.6071,0.4237,0.7761,0.269
GENTLE_CONVEX_UP,SYMMETRIC,24,11,0.4615,0.278,0.6507,-0.229
