**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

shape,sigma_bucket,n,k_up,p_up_mean,ci95_lo,ci95_hi,mean_fwd_return
NOISE,Sq2,13314,6440,0.4837,0.4752,0.4922,0.04
NOISE,Sq3,13094,6377,0.487,0.4785,0.4956,-0.009
NOISE,Sq4,12769,6371,0.4989,0.4903,0.5076,0.043
NOISE,Sq1,12694,5965,0.4699,0.4612,0.4786,-0.018
NOISE,Sq5,12392,6204,0.5006,0.4918,0.5094,0.137
STEEP_LINEAR_DOWN,Sq5,5467,2767,0.5061,0.4929,0.5194,0.283
STEEP_CONVEX_DOWN,Sq5,5095,2573,0.505,0.4913,0.5187,0.211
STEEP_LINEAR_DOWN,Sq4,5053,2527,0.5001,0.4863,0.5139,0.103
STEEP_CONCAVE_UP,Sq2,5047,2435,0.4825,0.4687,0.4963,-0.009
STEEP_CONCAVE_UP,Sq3,5030,2441,0.4853,0.4715,0.4991,-0.054
STEEP_LINEAR_UP,Sq3,4972,2331,0.4688,0.455,0.4827,-0.107
STEEP_LINEAR_UP,Sq2,4971,2304,0.4635,0.4497,0.4774,-0.067
STEEP_LINEAR_DOWN,Sq3,4961,2478,0.4995,0.4856,0.5134,0.067
STEEP_LINEAR_UP,Sq4,4960,2392,0.4823,0.4684,0.4962,-0.053
STEEP_LINEAR_UP,Sq5,4948,2390,0.483,0.4691,0.497,-0.136
STEEP_CONCAVE_UP,Sq4,4928,2349,0.4767,0.4627,0.4906,-0.143
STEEP_CONVEX_DOWN,Sq4,4846,2330,0.4808,0.4668,0.4949,-0.173
STEEP_CONCAVE_UP,Sq5,4713,2310,0.4901,0.4759,0.5044,-0.293
STEEP_LINEAR_UP,Sq1,4681,2116,0.4521,0.4378,0.4663,-0.05
STEEP_LINEAR_DOWN,Sq2,4609,2259,0.4901,0.4757,0.5046,0.043
STEEP_CONCAVE_UP,Sq1,4548,2112,0.4644,0.4499,0.4789,-0.07
STEEP_CONVEX_DOWN,Sq3,4505,2229,0.4948,0.4802,0.5094,0.083
STEEP_CONVEX_DOWN,Sq2,4323,2050,0.4742,0.4594,0.4891,-0.018
STEEP_LINEAR_DOWN,Sq1,4237,2089,0.493,0.478,0.5081,0.085
FLATLINE,Sq1,4000,1921,0.4803,0.4648,0.4957,0.039
STEEP_CONVEX_DOWN,Sq1,3851,1787,0.4641,0.4483,0.4798,-0.055
STEEP_CONVEX_UP,Sq1,2972,1351,0.4546,0.4367,0.4725,-0.03
STEEP_CONCAVE_DOWN,Sq1,2936,1453,0.4949,0.4768,0.513,0.035
STEEP_CONCAVE_DOWN,Sq5,2886,1416,0.4907,0.4724,0.5089,-0.155
STEEP_CONCAVE_DOWN,Sq2,2854,1420,0.4975,0.4792,0.5159,-0.018
STEEP_CONVEX_UP,Sq4,2850,1409,0.4944,0.476,0.5127,-0.012
STEEP_CONCAVE_DOWN,Sq4,2839,1382,0.4868,0.4684,0.5052,-0.106
STEEP_CONVEX_UP,Sq3,2821,1323,0.469,0.4506,0.4874,-0.108
STEEP_CONVEX_UP,Sq5,2814,1383,0.4915,0.473,0.5099,-0.247
STEEP_CONCAVE_DOWN,Sq3,2812,1398,0.4972,0.4787,0.5156,0.057
STEEP_CONVEX_UP,Sq2,2796,1253,0.4482,0.4298,0.4666,-0.134
FLATLINE,Sq2,2714,1317,0.4853,0.4665,0.5041,-0.088
FLATLINE,Sq3,2484,1233,0.4964,0.4767,0.516,0.018
FLATLINE,Sq4,2458,1189,0.4837,0.464,0.5035,-0.36
FLATLINE,Sq5,2420,1192,0.4926,0.4727,0.5125,0.146
GENTLE_LINEAR_UP,Sq1,149,64,0.4305,0.3527,0.5099,-0.149
GENTLE_CONCAVE_UP,Sq1,131,68,0.5188,0.4341,0.603,0.177
GENTLE_LINEAR_DOWN,Sq1,129,60,0.4656,0.3812,0.5511,-0.194
GENTLE_CONVEX_DOWN,Sq1,124,55,0.4444,0.359,0.5316,0.083
GENTLE_CONCAVE_DOWN,Sq1,93,46,0.4947,0.3951,0.5946,0.089
GENTLE_CONVEX_UP,Sq1,92,39,0.4255,0.3278,0.5262,-0.226
