**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

shape,parent_shape,n,k_up,p_up_mean,ci95_lo,ci95_hi,mean_fwd_return
FLATLINE,NOISE,470,249,0.5297,0.4846,0.5745,1.48
STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,462,223,0.4828,0.4374,0.5282,-1.615
FLATLINE,GENTLE_CONCAVE_UP,409,192,0.4696,0.4216,0.5179,-2.144
NOISE,NOISE,402,209,0.5198,0.4711,0.5683,-0.272
STEEP_LINEAR_UP,STEEP_LINEAR_UP,397,219,0.5514,0.5024,0.5998,4.264
STEEP_LINEAR_UP,NOISE,386,198,0.5129,0.4632,0.5625,1.159
STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,379,181,0.4777,0.4277,0.5279,-1.423
STEEP_LINEAR_DOWN,NOISE,361,199,0.551,0.4996,0.6018,2.49
STEEP_LINEAR_UP,FLATLINE,347,188,0.5415,0.4892,0.5935,1.881
GENTLE_CONCAVE_UP,GENTLE_CONCAVE_UP,331,177,0.5345,0.4809,0.5878,0.27
STEEP_CONVEX_DOWN,STEEP_LINEAR_DOWN,331,134,0.4054,0.3533,0.4586,-9.378
STEEP_LINEAR_DOWN,FLATLINE,330,160,0.4849,0.4314,0.5387,-1.945
STEEP_CONCAVE_UP,GENTLE_CONCAVE_UP,324,159,0.4908,0.4367,0.545,-0.84
FLATLINE,FLATLINE,323,158,0.4892,0.4351,0.5435,-2.052
STEEP_CONCAVE_UP,STEEP_LINEAR_UP,321,220,0.6842,0.6326,0.7337,9.667
STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,312,164,0.5255,0.4702,0.5804,1.993
FLATLINE,STEEP_LINEAR_UP,306,198,0.6461,0.5919,0.6985,9.289
FLATLINE,GENTLE_CONVEX_DOWN,299,164,0.5482,0.4918,0.604,1.125
FLATLINE,STEEP_LINEAR_DOWN,284,104,0.3671,0.3123,0.4237,-9.108
STEEP_CONVEX_DOWN,GENTLE_CONVEX_DOWN,283,157,0.5544,0.4965,0.6116,2.943
FLATLINE,GENTLE_LINEAR_UP,279,180,0.6441,0.5873,0.699,3.588
STEEP_LINEAR_DOWN,GENTLE_CONCAVE_UP,273,137,0.5018,0.4429,0.5607,-0.736
FLATLINE,STEEP_CONCAVE_UP,254,129,0.5078,0.4467,0.5688,-1.111
GENTLE_CONVEX_DOWN,GENTLE_CONCAVE_UP,253,104,0.4118,0.3522,0.4727,-2.263
STEEP_LINEAR_UP,GENTLE_CONVEX_DOWN,243,117,0.4816,0.4194,0.5442,-1.115
STEEP_CONVEX_DOWN,NOISE,226,127,0.5614,0.4967,0.6251,3.731
STEEP_LINEAR_DOWN,STEEP_CONVEX_DOWN,225,126,0.5595,0.4946,0.6234,3.951
STEEP_CONCAVE_UP,NOISE,225,95,0.4229,0.3595,0.4876,-2.929
STEEP_LINEAR_DOWN,STEEP_CONCAVE_UP,224,110,0.4912,0.4263,0.5562,-1.071
FLATLINE,GENTLE_LINEAR_DOWN,222,96,0.433,0.3689,0.4983,-0.983
STEEP_CONCAVE_UP,STEEP_CONVEX_DOWN,220,113,0.5135,0.4479,0.5789,-0.297
STEEP_CONCAVE_UP,GENTLE_LINEAR_UP,215,120,0.5576,0.4912,0.623,0.848
STEEP_LINEAR_UP,GENTLE_LINEAR_UP,214,101,0.4722,0.4061,0.5388,-0.64
STEEP_CONVEX_DOWN,FLATLINE,209,117,0.5592,0.4919,0.6255,2.748
STEEP_LINEAR_DOWN,GENTLE_LINEAR_DOWN,205,98,0.4783,0.4106,0.5463,-0.171
STEEP_CONCAVE_UP,FLATLINE,205,92,0.4493,0.3822,0.5173,-4.033
STEEP_LINEAR_UP,STEEP_CONCAVE_UP,204,85,0.4175,0.3511,0.4853,-4.613
FLATLINE,STEEP_CONVEX_DOWN,204,95,0.466,0.3984,0.5342,-0.956
STEEP_CONCAVE_UP,STEEP_LINEAR_DOWN,199,78,0.393,0.3268,0.4613,-8.59
