shape,n,k_up,p_up_mean,ci95_lo,ci95_hi,mean_fwd_return
FLATLINE,967,501,0.5181,0.4866,0.5495,-0.605
NOISE,921,477,0.5179,0.4856,0.5501,-1.848
GENTLE_CONCAVE_UP,550,294,0.5344,0.4927,0.5759,-0.627
STEEP_LINEAR_DOWN,497,247,0.497,0.4532,0.5408,1.42
STEEP_LINEAR_UP,488,260,0.5327,0.4884,0.5766,3.716
GENTLE_CONVEX_DOWN,474,220,0.4643,0.4197,0.5092,-0.492
GENTLE_LINEAR_UP,381,187,0.4909,0.4409,0.5409,-1.148
STEEP_CONCAVE_UP,349,184,0.5271,0.4748,0.579,1.008
GENTLE_LINEAR_DOWN,347,190,0.5473,0.4949,0.5991,1.693
STEEP_CONVEX_DOWN,321,166,0.517,0.4626,0.5713,-2.577
GENTLE_CONVEX_UP,176,91,0.5169,0.4436,0.5898,2.577
GENTLE_CONCAVE_DOWN,118,56,0.475,0.3866,0.5642,-2.886
STEEP_CONCAVE_DOWN,104,58,0.5566,0.4617,0.6495,3.245
STEEP_CONVEX_UP,94,41,0.4375,0.3402,0.5372,-4.524
