shape,skew,n,k_up,p_up_mean,ci95_lo,ci95_hi,mean_fwd_return
FLATLINE,NONE,949,494,0.5205,0.4887,0.5522,-0.509
NOISE,NONE,920,476,0.5174,0.4851,0.5495,-1.862
STEEP_LINEAR_DOWN,NONE,496,246,0.496,0.4521,0.5398,1.41
STEEP_LINEAR_UP,NONE,488,260,0.5327,0.4884,0.5766,3.716
GENTLE_LINEAR_UP,NONE,381,187,0.4909,0.4409,0.5409,-1.148
GENTLE_LINEAR_DOWN,NONE,346,189,0.546,0.4935,0.5979,1.674
GENTLE_CONCAVE_UP,FRONT_SKEWED,289,153,0.5292,0.4718,0.5862,-0.087
GENTLE_CONVEX_DOWN,FRONT_SKEWED,237,107,0.4519,0.3894,0.5152,-0.697
STEEP_CONCAVE_UP,FRONT_SKEWED,217,116,0.5342,0.4681,0.5998,2.775
STEEP_CONVEX_DOWN,FRONT_SKEWED,167,86,0.5148,0.4396,0.5897,3.376
GENTLE_CONVEX_UP,BACK_SKEWED,161,83,0.5153,0.4388,0.5915,2.154
GENTLE_CONCAVE_UP,BACK_SKEWED,133,75,0.563,0.4789,0.6453,-1.261
GENTLE_CONCAVE_UP,SYMMETRIC,127,65,0.5116,0.4257,0.5972,-1.494
GENTLE_CONVEX_DOWN,SYMMETRIC,125,61,0.4882,0.4019,0.5748,2.092
GENTLE_CONVEX_DOWN,BACK_SKEWED,112,52,0.4649,0.3745,0.5565,-2.942
GENTLE_CONCAVE_DOWN,BACK_SKEWED,102,51,0.5,0.4046,0.5954,-1.863
STEEP_CONCAVE_DOWN,BACK_SKEWED,97,54,0.5556,0.4573,0.6517,4.461
STEEP_CONCAVE_UP,SYMMETRIC,89,44,0.4945,0.3927,0.5965,-4.211
STEEP_CONVEX_DOWN,SYMMETRIC,88,48,0.5444,0.4414,0.6456,-7.602
STEEP_CONVEX_UP,BACK_SKEWED,84,34,0.407,0.3061,0.512,-7.929
STEEP_CONVEX_DOWN,BACK_SKEWED,66,32,0.4853,0.3682,0.6033,-10.939
STEEP_CONCAVE_UP,BACK_SKEWED,43,24,0.5556,0.4103,0.6961,2.89
FLATLINE,BACK_SKEWED,13,4,0.3333,0.1276,0.581,-9.481
