**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

shape,skew,n,k_up,p_up_mean,ci95_lo,ci95_hi,mean_fwd_return
NOISE,NONE,10422,5159,0.495,0.4854,0.5046,-0.123
STEEP_LINEAR_UP,NONE,9700,4828,0.4977,0.4878,0.5077,0.101
STEEP_LINEAR_DOWN,NONE,9570,4819,0.5036,0.4935,0.5136,0.255
FLATLINE,NONE,8994,4550,0.5059,0.4956,0.5162,0.113
STEEP_CONVEX_DOWN,BACK_SKEWED,3960,2001,0.5053,0.4897,0.5209,-0.07
STEEP_CONCAVE_UP,BACK_SKEWED,3805,1872,0.492,0.4761,0.5079,-0.241
STEEP_CONCAVE_UP,FRONT_SKEWED,3738,1840,0.4922,0.4762,0.5083,0.043
STEEP_CONVEX_DOWN,FRONT_SKEWED,3299,1646,0.4989,0.4819,0.516,0.048
STEEP_CONCAVE_UP,SYMMETRIC,3200,1567,0.4897,0.4724,0.507,-0.105
STEEP_CONVEX_DOWN,SYMMETRIC,3115,1540,0.4944,0.4768,0.5119,-0.305
STEEP_CONVEX_UP,BACK_SKEWED,2736,1308,0.4781,0.4594,0.4968,-0.196
STEEP_CONCAVE_DOWN,BACK_SKEWED,2693,1399,0.5195,0.5006,0.5383,0.514
GENTLE_LINEAR_DOWN,NONE,589,289,0.4907,0.4505,0.531,0.103
GENTLE_LINEAR_UP,NONE,589,272,0.4619,0.4219,0.5022,-0.358
GENTLE_CONCAVE_UP,BACK_SKEWED,408,186,0.4561,0.4082,0.5044,-0.352
GENTLE_CONVEX_DOWN,BACK_SKEWED,391,186,0.4758,0.4267,0.5252,-0.487
GENTLE_CONVEX_UP,BACK_SKEWED,352,160,0.4548,0.4033,0.5068,-0.251
STEEP_CONCAVE_DOWN,SYMMETRIC,321,162,0.5046,0.4502,0.559,0.115
STEEP_CONVEX_UP,SYMMETRIC,316,157,0.4969,0.442,0.5517,0.784
GENTLE_CONCAVE_DOWN,BACK_SKEWED,286,149,0.5208,0.4631,0.5782,-0.018
GENTLE_CONCAVE_UP,FRONT_SKEWED,274,141,0.5145,0.4556,0.5732,0.1
GENTLE_CONVEX_DOWN,FRONT_SKEWED,266,135,0.5075,0.4477,0.5671,0.28
STEEP_CONCAVE_DOWN,FRONT_SKEWED,228,109,0.4783,0.4141,0.5428,-0.942
STEEP_CONVEX_UP,FRONT_SKEWED,225,107,0.4758,0.4112,0.5407,1.23
GENTLE_CONVEX_DOWN,SYMMETRIC,195,104,0.533,0.4633,0.6021,0.533
GENTLE_CONCAVE_UP,SYMMETRIC,177,101,0.5698,0.4969,0.6413,0.761
GENTLE_CONVEX_UP,FRONT_SKEWED,67,30,0.4493,0.3345,0.5668,-0.619
GENTLE_CONCAVE_DOWN,FRONT_SKEWED,65,32,0.4925,0.3743,0.6112,-0.362
STEEP_CONCAVE_UP,NONE,60,33,0.5484,0.4245,0.6694,0.375
GENTLE_CONVEX_UP,SYMMETRIC,53,26,0.4909,0.3608,0.6216,0.142
GENTLE_CONCAVE_DOWN,SYMMETRIC,43,15,0.3556,0.2241,0.4992,-0.709
STEEP_CONVEX_DOWN,NONE,42,19,0.4545,0.3118,0.6012,1.214
STEEP_LINEAR_DOWN,BACK_SKEWED,35,16,0.4595,0.3041,0.619,-1.643
STEEP_LINEAR_UP,BACK_SKEWED,32,9,0.2941,0.1559,0.4552,-6.711
STEEP_CONCAVE_DOWN,NONE,19,10,0.5238,0.3153,0.728,-0.105
STEEP_CONVEX_UP,NONE,15,6,0.4118,0.1975,0.6457,0.667
STEEP_LINEAR_UP,SYMMETRIC,13,5,0.4,0.1766,0.6486,-5.077
STEEP_LINEAR_UP,FRONT_SKEWED,12,3,0.2857,0.0909,0.5381,0.521
STEEP_LINEAR_DOWN,FRONT_SKEWED,11,8,0.6923,0.4281,0.9008,-0.818
