shape,parent_shape,n,k_up,p_up_mean,ci95_lo,ci95_hi,mean_fwd_return
STEEP_CONVEX_DOWN,STEEP_LINEAR_DOWN,2374,1027,0.4327,0.4128,0.4526,-1.828
STEEP_CONCAVE_UP,STEEP_LINEAR_UP,2315,1363,0.5887,0.5686,0.6086,2.229
STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,2268,1047,0.4617,0.4412,0.4822,-0.983
STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,2247,1090,0.4851,0.4645,0.5058,-0.623
STEEP_LINEAR_UP,STEEP_LINEAR_UP,2104,1095,0.5204,0.4991,0.5417,0.879
STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,1935,1011,0.5225,0.5002,0.5447,1.055
FLATLINE,STEEP_LINEAR_DOWN,1540,607,0.3943,0.37,0.4188,-3.11
NOISE,STEEP_LINEAR_DOWN,1530,577,0.3773,0.3532,0.4017,-2.879
STEEP_CONVEX_DOWN,STEEP_CONCAVE_UP,1489,700,0.4702,0.4449,0.4955,-1.005
FLATLINE,STEEP_CONCAVE_UP,1479,700,0.4733,0.4479,0.4988,-0.774
FLATLINE,STEEP_LINEAR_UP,1449,877,0.6051,0.5798,0.6301,2.722
NOISE,STEEP_CONCAVE_UP,1436,721,0.5021,0.4763,0.5279,-1.016
NOISE,STEEP_LINEAR_UP,1381,839,0.6074,0.5815,0.633,2.411
STEEP_CONCAVE_UP,STEEP_CONVEX_DOWN,1364,707,0.5183,0.4918,0.5448,0.903
STEEP_LINEAR_DOWN,STEEP_CONCAVE_UP,1335,661,0.4951,0.4684,0.5219,0.172
STEEP_CONCAVE_UP,STEEP_LINEAR_DOWN,1278,546,0.4273,0.4004,0.4545,-2.298
NOISE,STEEP_CONVEX_DOWN,1243,673,0.5414,0.5136,0.569,0.965
STEEP_LINEAR_UP,STEEP_CONVEX_DOWN,1242,630,0.5072,0.4795,0.535,0.204
STEEP_LINEAR_UP,STEEP_CONCAVE_UP,1225,559,0.4564,0.4286,0.4843,-0.928
FLATLINE,STEEP_CONVEX_DOWN,1220,654,0.536,0.508,0.5639,1.295
STEEP_LINEAR_UP,FLATLINE,1145,580,0.5065,0.4776,0.5354,-0.016
STEEP_LINEAR_DOWN,FLATLINE,1109,531,0.4788,0.4495,0.5082,-0.207
STEEP_LINEAR_DOWN,STEEP_CONVEX_DOWN,1092,606,0.5548,0.5253,0.5842,1.784
STEEP_CONVEX_DOWN,STEEP_LINEAR_UP,1057,611,0.5779,0.548,0.6075,1.68
STEEP_LINEAR_UP,STEEP_LINEAR_DOWN,982,451,0.4593,0.4283,0.4905,-0.915
STEEP_LINEAR_DOWN,STEEP_LINEAR_UP,943,499,0.5291,0.4972,0.5608,0.84
NOISE,FLATLINE,934,464,0.4968,0.4648,0.5288,0.244
NOISE,NOISE,900,412,0.4579,0.4255,0.4904,-0.52
NOISE,GENTLE_CONCAVE_UP,869,390,0.4489,0.416,0.482,-0.59
NOISE,GENTLE_CONVEX_DOWN,861,450,0.5226,0.4892,0.5558,0.511
STEEP_CONCAVE_DOWN,STEEP_LINEAR_DOWN,760,356,0.4685,0.4332,0.504,-1.1
STEEP_LINEAR_UP,GENTLE_CONVEX_DOWN,750,389,0.5186,0.4829,0.5542,0.487
STEEP_CONCAVE_UP,FLATLINE,735,348,0.4735,0.4376,0.5096,-0.629
STEEP_CONVEX_UP,STEEP_LINEAR_UP,730,397,0.5437,0.5076,0.5797,1.834
STEEP_CONVEX_DOWN,FLATLINE,712,380,0.5336,0.497,0.5701,0.142
