shape,parent_shape,n,k_up,p_up_mean,ci95_lo,ci95_hi,mean_fwd_return
NOISE,NOISE,275,151,0.5487,0.49,0.6069,0.097
FLATLINE,GENTLE_LINEAR_UP,209,126,0.6019,0.5352,0.6668,3.756
GENTLE_CONCAVE_UP,GENTLE_LINEAR_UP,181,110,0.6066,0.535,0.676,4.014
NOISE,GENTLE_LINEAR_UP,159,95,0.5963,0.5197,0.6706,1.421
GENTLE_CONCAVE_UP,GENTLE_CONCAVE_UP,148,77,0.52,0.4402,0.5993,-1.809
FLATLINE,GENTLE_LINEAR_DOWN,147,68,0.4631,0.3839,0.5432,-0.554
FLATLINE,NOISE,142,76,0.5347,0.4532,0.6153,2.546
GENTLE_CONVEX_DOWN,GENTLE_LINEAR_DOWN,123,45,0.368,0.286,0.454,-6.577
FLATLINE,GENTLE_CONCAVE_UP,114,50,0.4397,0.3509,0.5304,-6.928
GENTLE_LINEAR_UP,GENTLE_LINEAR_UP,114,61,0.5345,0.4437,0.6241,0.774
NOISE,GENTLE_LINEAR_DOWN,112,50,0.4474,0.3575,0.5389,-6.757
NOISE,FLATLINE,107,44,0.4128,0.3225,0.5062,-2.112
NOISE,GENTLE_CONCAVE_UP,98,47,0.48,0.3832,0.5776,-2.467
STEEP_LINEAR_UP,NOISE,92,56,0.6064,0.5062,0.7022,5.592
FLATLINE,FLATLINE,92,34,0.3723,0.2779,0.4719,-8.614
STEEP_LINEAR_UP,GENTLE_LINEAR_DOWN,91,48,0.5269,0.4256,0.627,5.978
GENTLE_CONVEX_DOWN,GENTLE_CONVEX_DOWN,90,44,0.4891,0.388,0.5907,-0.756
STEEP_CONCAVE_UP,GENTLE_LINEAR_UP,86,48,0.5568,0.4526,0.6585,-0.66
GENTLE_CONVEX_DOWN,GENTLE_CONCAVE_UP,85,41,0.4828,0.379,0.5873,0.409
FLATLINE,GENTLE_CONVEX_DOWN,84,45,0.5349,0.4296,0.6387,4.509
STEEP_LINEAR_DOWN,GENTLE_LINEAR_UP,82,40,0.4881,0.3824,0.5944,-2.274
STEEP_LINEAR_DOWN,GENTLE_CONCAVE_UP,81,41,0.506,0.3992,0.6125,-2.133
STEEP_CONVEX_DOWN,STEEP_LINEAR_DOWN,81,38,0.4699,0.3641,0.577,-11.231
GENTLE_CONVEX_DOWN,GENTLE_LINEAR_UP,80,46,0.5732,0.4654,0.6776,4.859
GENTLE_LINEAR_DOWN,GENTLE_LINEAR_DOWN,76,44,0.5769,0.4664,0.6837,1.289
STEEP_CONVEX_DOWN,GENTLE_LINEAR_DOWN,75,42,0.5584,0.4471,0.6669,6.037
STEEP_CONCAVE_UP,STEEP_LINEAR_UP,73,46,0.6267,0.5151,0.7319,11.188
FLATLINE,STEEP_LINEAR_DOWN,68,27,0.4,0.2891,0.5163,-24.585
STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,68,27,0.4,0.2891,0.5163,-7.706
STEEP_LINEAR_DOWN,GENTLE_LINEAR_DOWN,67,34,0.5072,0.3903,0.6238,3.201
STEEP_LINEAR_DOWN,NOISE,67,37,0.5507,0.4332,0.6655,0.328
NOISE,GENTLE_CONVEX_DOWN,65,38,0.5821,0.4629,0.6966,3.731
GENTLE_CONCAVE_UP,GENTLE_LINEAR_DOWN,65,31,0.4776,0.3599,0.5966,1.296
GENTLE_LINEAR_UP,NOISE,61,33,0.5397,0.4168,0.6602,0.787
FLATLINE,STEEP_LINEAR_UP,57,43,0.7458,0.6283,0.8474,20.842
STEEP_LINEAR_UP,GENTLE_LINEAR_UP,56,27,0.4828,0.3563,0.6103,-7.763
