shape,n,k_up,p_up_mean,ci95_lo,ci95_hi,mean_fwd_return
STEEP_CONCAVE_UP,10803,5312,0.4917,0.4823,0.5011,-0.099
NOISE,10437,5167,0.4951,0.4855,0.5047,-0.123
STEEP_CONVEX_DOWN,10416,5206,0.4998,0.4902,0.5094,-0.098
STEEP_LINEAR_UP,9757,4845,0.4966,0.4866,0.5065,0.073
STEEP_LINEAR_DOWN,9622,4847,0.5037,0.4938,0.5137,0.246
FLATLINE,9002,4554,0.5059,0.4956,0.5162,0.114
STEEP_CONVEX_UP,3292,1578,0.4794,0.4623,0.4964,-0.001
STEEP_CONCAVE_DOWN,3261,1680,0.5152,0.498,0.5323,0.37
GENTLE_CONCAVE_UP,860,429,0.4988,0.4655,0.5322,0.022
GENTLE_CONVEX_DOWN,855,427,0.4994,0.466,0.5329,-0.01
GENTLE_LINEAR_UP,593,275,0.4639,0.424,0.504,-0.347
GENTLE_LINEAR_DOWN,589,289,0.4907,0.4505,0.531,0.103
GENTLE_CONVEX_UP,474,217,0.458,0.4135,0.5028,-0.256
GENTLE_CONCAVE_DOWN,396,198,0.5,0.451,0.549,-0.134
