**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

shape,parent_shape,n,k_up,p_up_mean,ci95_lo,ci95_hi,mean_fwd_return
NOISE,STEEP_CONCAVE_UP,12048,5882,0.4882,0.4793,0.4971,-0.014
NOISE,STEEP_CONVEX_DOWN,11316,5596,0.4945,0.4853,0.5037,0.205
NOISE,NOISE,9991,4856,0.486,0.4762,0.4958,-0.046
NOISE,STEEP_LINEAR_UP,9793,6087,0.6215,0.6119,0.6311,1.628
NOISE,STEEP_LINEAR_DOWN,9539,3387,0.3551,0.3455,0.3647,-1.596
STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,6215,2929,0.4713,0.4589,0.4837,-0.332
STEEP_CONCAVE_UP,STEEP_LINEAR_UP,6168,3255,0.5277,0.5153,0.5402,0.527
STEEP_LINEAR_UP,STEEP_LINEAR_UP,6050,3016,0.4985,0.4859,0.5111,0.367
STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,6034,2832,0.4694,0.4568,0.4819,-0.397
NOISE,FLATLINE,5953,2906,0.4882,0.4755,0.5009,0.01
STEEP_CONVEX_DOWN,STEEP_LINEAR_DOWN,5769,2471,0.4283,0.4156,0.4411,-0.783
STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,5606,2831,0.505,0.4919,0.5181,0.324
STEEP_LINEAR_UP,STEEP_CONCAVE_UP,4163,1812,0.4353,0.4203,0.4504,-0.549
STEEP_LINEAR_DOWN,STEEP_CONVEX_DOWN,3839,2076,0.5407,0.525,0.5565,0.725
STEEP_LINEAR_DOWN,STEEP_CONCAVE_UP,3824,1911,0.4997,0.4839,0.5156,0.169
STEEP_LINEAR_UP,STEEP_CONVEX_DOWN,3755,1794,0.4778,0.4618,0.4938,-0.081
STEEP_CONCAVE_UP,NOISE,3334,1409,0.4227,0.4059,0.4395,-0.765
STEEP_LINEAR_DOWN,NOISE,3299,1685,0.5108,0.4937,0.5278,0.328
STEEP_LINEAR_UP,NOISE,3216,1469,0.4568,0.4396,0.474,-0.261
STEEP_CONCAVE_DOWN,STEEP_LINEAR_DOWN,3179,1354,0.426,0.4088,0.4432,-1.032
STEEP_CONVEX_UP,STEEP_LINEAR_UP,3175,1684,0.5304,0.513,0.5477,0.615
STEEP_CONVEX_DOWN,NOISE,3148,1690,0.5368,0.5194,0.5542,0.661
STEEP_CONCAVE_UP,STEEP_CONVEX_DOWN,3004,1442,0.48,0.4622,0.4979,-0.031
STEEP_CONVEX_DOWN,STEEP_CONCAVE_UP,2871,1384,0.4821,0.4638,0.5004,-0.017
STEEP_CONCAVE_DOWN,STEEP_CONCAVE_UP,2824,1445,0.5117,0.4932,0.5301,0.18
STEEP_CONVEX_UP,STEEP_CONCAVE_UP,2710,1159,0.4277,0.4092,0.4464,-0.649
FLATLINE,STEEP_CONCAVE_UP,2707,1281,0.4732,0.4545,0.4921,-0.348
STEEP_CONVEX_UP,STEEP_CONVEX_DOWN,2589,1200,0.4635,0.4444,0.4828,-0.418
FLATLINE,STEEP_CONVEX_DOWN,2576,1288,0.5,0.4807,0.5193,0.316
STEEP_CONCAVE_DOWN,STEEP_CONVEX_DOWN,2419,1326,0.5481,0.5283,0.5679,0.811
FLATLINE,STEEP_LINEAR_UP,2334,1305,0.5591,0.5389,0.5792,0.879
STEEP_LINEAR_UP,FLATLINE,2287,1140,0.4985,0.478,0.5189,0.258
FLATLINE,STEEP_LINEAR_DOWN,2260,939,0.4156,0.3953,0.4359,-0.902
STEEP_LINEAR_DOWN,FLATLINE,2258,1090,0.4827,0.4622,0.5034,-0.033
STEEP_LINEAR_DOWN,STEEP_LINEAR_UP,2198,1131,0.5145,0.4937,0.5354,0.48
STEEP_LINEAR_UP,STEEP_LINEAR_DOWN,2190,940,0.4293,0.4086,0.4501,-0.448
