shape,n,k_up,p_up_mean,ci95_lo,ci95_hi,mean_fwd_return
FLATLINE,3190,1648,0.5166,0.4993,0.5339,0.227
STEEP_LINEAR_DOWN,2698,1395,0.517,0.4982,0.5359,0.443
STEEP_LINEAR_UP,2635,1315,0.4991,0.48,0.5181,0.386
STEEP_CONCAVE_UP,2408,1229,0.5104,0.4904,0.5303,0.065
STEEP_CONVEX_DOWN,2202,1122,0.5095,0.4887,0.5304,0.46
NOISE,1523,777,0.5102,0.4851,0.5352,0.273
GENTLE_CONCAVE_UP,1380,732,0.5304,0.5041,0.5566,0.344
GENTLE_CONVEX_DOWN,1323,649,0.4906,0.4637,0.5175,-0.42
GENTLE_LINEAR_DOWN,679,333,0.4905,0.453,0.528,-0.677
GENTLE_LINEAR_UP,665,321,0.4828,0.4449,0.5207,-0.406
STEEP_CONVEX_UP,641,318,0.4961,0.4575,0.5347,-1.2
STEEP_CONCAVE_DOWN,613,317,0.5171,0.4776,0.5565,0.317
GENTLE_CONVEX_UP,317,162,0.511,0.4562,0.5656,0.005
GENTLE_CONCAVE_DOWN,298,156,0.5233,0.4668,0.5796,0.786
