shape,skew,n,k_up,p_up_mean,ci95_lo,ci95_hi,mean_fwd_return
FLATLINE,NONE,3149,1624,0.5157,0.4983,0.5331,0.193
STEEP_LINEAR_DOWN,NONE,2696,1394,0.517,0.4982,0.5359,0.444
STEEP_LINEAR_UP,NONE,2634,1315,0.4992,0.4802,0.5183,0.398
NOISE,NONE,1521,777,0.5108,0.4857,0.5359,0.279
STEEP_CONCAVE_UP,FRONT_SKEWED,1045,523,0.5005,0.4702,0.5307,-0.407
STEEP_CONVEX_DOWN,FRONT_SKEWED,875,438,0.5006,0.4675,0.5336,-0.044
STEEP_CONCAVE_UP,SYMMETRIC,758,381,0.5026,0.4671,0.5381,0.424
STEEP_CONVEX_DOWN,SYMMETRIC,686,363,0.5291,0.4917,0.5662,1.296
GENTLE_LINEAR_DOWN,NONE,676,331,0.4897,0.4521,0.5273,-0.767
GENTLE_LINEAR_UP,NONE,665,321,0.4828,0.4449,0.5207,-0.406
STEEP_CONVEX_DOWN,BACK_SKEWED,639,320,0.5008,0.4621,0.5394,0.25
STEEP_CONCAVE_UP,BACK_SKEWED,604,324,0.5363,0.4965,0.5758,0.417
STEEP_CONVEX_UP,BACK_SKEWED,591,298,0.5042,0.464,0.5444,-0.574
STEEP_CONCAVE_DOWN,BACK_SKEWED,569,295,0.5184,0.4774,0.5593,0.636
GENTLE_CONCAVE_UP,FRONT_SKEWED,548,297,0.5418,0.5001,0.5833,1.104
GENTLE_CONVEX_DOWN,FRONT_SKEWED,525,262,0.4991,0.4564,0.5417,-0.308
GENTLE_CONVEX_DOWN,BACK_SKEWED,476,227,0.477,0.4324,0.5218,-1.244
GENTLE_CONCAVE_UP,BACK_SKEWED,475,245,0.5157,0.4709,0.5604,-0.537
GENTLE_CONCAVE_UP,SYMMETRIC,355,189,0.5322,0.4804,0.5837,0.356
GENTLE_CONVEX_DOWN,SYMMETRIC,320,158,0.4938,0.4393,0.5483,0.598
GENTLE_CONVEX_UP,BACK_SKEWED,284,142,0.5,0.4422,0.5578,-0.145
GENTLE_CONCAVE_DOWN,BACK_SKEWED,256,133,0.5194,0.4584,0.58,0.349
STEEP_CONVEX_UP,SYMMETRIC,32,13,0.4118,0.2548,0.5786,-9.016
STEEP_CONCAVE_DOWN,SYMMETRIC,30,14,0.4688,0.3015,0.6397,-3.533
FLATLINE,BACK_SKEWED,27,16,0.5862,0.4058,0.7554,0.093
GENTLE_CONCAVE_DOWN,SYMMETRIC,25,15,0.5926,0.4057,0.7665,4.15
GENTLE_CONVEX_UP,SYMMETRIC,16,10,0.6111,0.3833,0.8156,2.578
GENTLE_CONVEX_UP,FRONT_SKEWED,16,9,0.5556,0.3292,0.7702,0.016
GENTLE_CONCAVE_DOWN,FRONT_SKEWED,15,7,0.4706,0.2465,0.7012,2.533
STEEP_CONVEX_UP,FRONT_SKEWED,13,5,0.4,0.1766,0.6486,-11.615
