shape,n,k_up,p_up_mean,ci95_lo,ci95_hi,mean_fwd_return
NOISE,369,204,0.5526,0.5018,0.6028,-0.414
FLATLINE,305,151,0.4951,0.4393,0.5509,-3.066
GENTLE_LINEAR_UP,209,107,0.5118,0.4445,0.579,-1.469
GENTLE_CONCAVE_UP,194,106,0.5459,0.476,0.6149,4.528
GENTLE_LINEAR_DOWN,179,101,0.5635,0.4909,0.6348,3.73
GENTLE_CONVEX_DOWN,148,78,0.5267,0.4468,0.6059,1.872
STEEP_LINEAR_DOWN,59,27,0.459,0.3367,0.5839,-14.008
GENTLE_CONCAVE_DOWN,43,23,0.5333,0.3885,0.6754,-6.709
GENTLE_CONVEX_UP,40,26,0.6429,0.4941,0.7788,8.169
STEEP_LINEAR_UP,39,22,0.561,0.4089,0.7074,19.763
STEEP_CONCAVE_UP,19,10,0.5238,0.3153,0.728,-22.0
STEEP_CONVEX_DOWN,17,7,0.4211,0.2153,0.6425,0.471
